symbol,span_start,span_end,stock_buy_and_hold_pct,nifty_buy_and_hold_pct,stock_minus_nifty_pct
RUSHIL,2015-12-28,2016-10-25,96.68746286393342,9.667324908676811,87.02013795525662
INDIAINFO,2006-08-28,2011-07-07,-48.264800233304165,68.44403281291346,-116.70883304621762
IBREALEST,2009-05-20,2023-04-13,-72.20470531166626,317.48823267686106,-389.6929379885273
COREPROTEC,2008-07-29,2011-07-04,41.488109253590764,34.86162989128487,6.6264793623058935
JINDALSTEL,2005-11-01,2016-12-01,-94.38197619341818,243.27457692452725,-337.65655311794546
