date,symbol,factor,prior_close,prev_close,likely
2004-03-25,AFTEKINFO,0.8426171529619806,56.55,47.65,other
2004-03-25,GRANDFONRY,0.8571428571428571,2.1,1.8,other
2004-03-25,JBFIND,1.1328467153284671,34.25,38.8,other
2004-03-25,SHREERAMA,0.8507462686567164,6.7,5.7,other
2004-03-25,SOFTSOLINT,0.894434361766485,165.3,147.85,other
2004-04-20,KEYCORPSER,1.175,4.0,4.7,other
2004-04-20,KHAITANLTD,1.159722222222222,7.2,8.35,other
2004-04-21,POLARIND,0.8846153846153846,6.5,5.75,other
2004-04-21,TAINWALCHM,1.1666666666666667,3.3,3.85,other
2004-08-16,MEDIAVIDEO,0.550314465408805,15.9,8.75,other
2004-08-16,OUDHSUG,2.0205223880597014,26.8,54.15,other
2004-08-16,UPERGANGES,1.786473429951691,51.75,92.45,other
2004-10-07,ATULPROD,1.571641791044776,33.5,52.65,other
2004-10-07,AZTEC,1.886547811993517,30.85,58.2,other
2004-10-07,BGFL,1.2081151832460733,38.2,46.15,other
2004-10-07,BPL,1.208888888888889,33.75,40.8,other
2004-10-07,CGIGARSH,1.4622507122507122,70.2,102.65,other
2004-10-07,CRESTCOMM,1.779236276849642,41.9,74.55,other
2004-10-07,ESABINDIA,1.3193570929419987,71.55,94.4,other
2004-10-07,GUJNRECOKE,1.6012433392539966,56.3,90.15,other
2004-10-07,HINDMOTOR,1.235897435897436,9.75,12.05,other
2004-10-07,ITI,1.1342756183745584,14.15,16.05,other
2004-10-07,JAINSTUDIO,1.2285714285714286,17.5,21.5,other
2004-10-07,KOJAMFIN,1.8200371057513913,26.95,49.05,other
2004-10-07,LLOYDSTEEL,1.2521739130434784,5.75,7.2,other
2004-10-07,LYKALABS,1.490947816826411,46.95,70.0,other
2004-10-07,MAHINDUGIN,1.4168039538714992,30.35,43.0,other
2004-10-07,MUKANDLTD,1.7114967462039046,23.05,39.45,other
2004-10-07,NATNLSTEEL,1.3766233766233766,11.55,15.9,other
2004-10-07,NELCO,1.296466973886329,32.55,42.2,other
2004-10-07,NILKAMPLST,1.155844155844156,50.05,57.85,other
2004-10-07,NOCIL,1.3738601823708207,16.45,22.6,other
2004-10-07,OPTOCIRCUI,2.2435094001790508,55.85,125.3,other
2004-10-07,PENTACOMMU,0.8372093023255814,2.15,1.8,other
2004-10-07,RAJASSPG,1.2716165413533835,53.2,67.65,other
2004-10-07,SANGAMIND,1.8846153846153848,16.9,31.85,other
2004-10-07,TASCPHARMA,2.3715455475946774,48.85,115.85,other
2004-10-07,UTTAMSTL,1.5078947368421052,19.0,28.65,other
2004-10-07,VARUNSHIP,1.244343891402715,22.1,27.5,other
2004-10-07,VDOCONAPPL,1.5,16.7,25.05,other
2004-10-07,WIMCO,1.2872503840245777,32.55,41.9,other
2004-12-07,PERLENGINF,0.6122448979591837,7.35,4.5,3:5
2004-12-08,SMZSCHEM,1.1578947368421053,3.8,4.4,other
