symbol_a,symbol_b,long_symbol,short_symbol,signal_entry_date,entry_fill_date,signal_exit_date,exit_fill_date,exit_reason,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pct,short_net_pct,net_pnl_pct,long_cost_pct,short_cost_pct
BANKBARODA,SBIN,BANKBARODA,SBIN,2005-02-21,2005-02-22,2005-02-28,2005-03-01,no_fill,199.1,219.1,,,,,,,
BANKBARODA,SBIN,BANKBARODA,SBIN,2005-04-29,2005-05-02,2005-04-29,,no_fill,,,,,,,,,
BANKBARODA,SBIN,BANKBARODA,SBIN,2005-04-29,2005-05-02,2005-05-05,2005-05-06,no_fill,175.0,193.15,,,,,,,
HINDPETRO,IOC,IOC,HINDPETRO,2008-09-09,2008-09-10,2008-09-30,2008-09-25,rollover,436.2,382.25,244.1,231.55,-12.671424614786796,4.955930380991392,-3.857747116897702,0.3032448807198533,0.18540513723883653
HINDPETRO,IOC,HINDPETRO,IOC,2008-10-10,2008-10-13,2008-10-14,2008-10-15,reverted,199.0,219.9,368.9,369.1,10.164133129949748,-0.2442838980753733,4.9599246159371875,0.3383794328643216,0.19006866359447003
HINDPETRO,IOC,HINDPETRO,IOC,2008-10-21,2008-10-22,2008-10-27,2008-10-28,reverted,228.9,190.0,401.65,330.9,-17.290458746788993,17.44062986928918,0.07508556125009314,0.2961380827435562,0.17420892070210384
HINDPETRO,IOC,IOC,HINDPETRO,2008-12-17,2008-12-18,2008-12-31,2008-12-24,rollover,380.05,414.95,249.25,282.3,8.846649869753978,-13.461701315947858,-2.3075257230969397,0.33635236679384295,0.2019219779338014
HINDPETRO,IOC,HINDPETRO,IOC,2009-02-26,2009-02-27,2009-02-27,,no_fill,,,,,,,,,
AXISBANK,ICICIBANK,ICICIBANK,AXISBANK,2009-06-24,2009-06-25,2009-06-30,,no_fill,,,,,,,,,
AXISBANK,ICICIBANK,ICICIBANK,AXISBANK,2009-07-27,2009-07-28,2009-07-31,2009-07-30,rollover,759.7,727.1,940.0,920.6,-4.60682056295907,1.8756622808510608,-1.3655791410540048,0.315652996814532,0.1881675063829787
HINDPETRO,IOC,IOC,HINDPETRO,2009-07-24,2009-07-27,2009-07-31,2009-07-30,rollover,523.85,538.2,326.0,359.4,2.4128803429798618,-10.44461504294477,-4.015867349982454,0.3264534357735993,0.19921626993865033
HINDPETRO,IOC,IOC,HINDPETRO,2009-08-04,2009-08-05,2009-08-13,2009-08-14,reverted,549.9,549.3,355.0,357.4,-0.4311883286415765,-0.8666831661971778,-0.6489357474193771,0.3220775812329515,0.19062682816901408
