symbol,n_trades,mean_net_pct,total_net_pct,win_rate_pct,sector,strategy
RUSHIL,5,11.819314487244377,59.096572436221884,80.0,(unmapped),mean_reversion
JBFIND,5,5.54392929083526,27.7196464541763,80.0,(unmapped),mean_reversion
AKRUTI,6,5.254517122513068,31.527102735078408,66.66666666666666,(unmapped),mean_reversion
RAJSREESUG,5,5.175020357249894,25.875101786249466,60.0,(unmapped),mean_reversion
MUKANDLTD,8,5.03254331847821,40.26034654782568,62.5,(unmapped),mean_reversion
IRCTC,5,8.901167925854548,44.505839629272735,100.0,Internet/Platform,delivery_breakout
ABFRL,10,6.242528127764726,62.42528127764726,80.0,(unmapped),delivery_breakout
GNFC,7,5.13780933106748,35.96466531747236,71.42857142857143,(unmapped),delivery_breakout
ADANIGREEN,15,5.014991403393674,75.22487105090511,60.0,Power,delivery_breakout
FRETAIL,5,4.897623562029054,24.48811781014527,40.0,(unmapped),delivery_breakout
3IINFOTECH,5,5.444328833398138,27.22164416699069,60.0,(unmapped),oi_momentum
INDIAINFO,6,4.50091858841792,27.005511530507523,50.0,(unmapped),oi_momentum
BHARATFORG,9,4.362331602499047,39.260984422491426,66.66666666666666,Auto,oi_momentum
IBREALEST,14,4.141826136325569,57.98556590855796,64.28571428571429,(unmapped),oi_momentum
SINTEX,6,4.08313502066267,24.49881012397602,33.33333333333333,(unmapped),oi_momentum
JUBILANT,5,7.198742119646383,35.993710598231914,40.0,(unmapped),participant_tilt
TANLA,6,6.3040423434787565,37.82425406087254,66.66666666666666,(unmapped),participant_tilt
YESBANK,21,5.141837255142775,107.97858235799828,52.38095238095239,Banking,participant_tilt
ESCORTS,9,5.054705898489248,45.49235308640323,66.66666666666666,(unmapped),participant_tilt
BAJAJHLDNG,5,4.703097139175919,23.515485695879597,60.0,Financial Services,participant_tilt
IBREALEST,5,10.935959234811301,54.679796174056506,80.0,(unmapped),participant_tilt_stress_gated
NMDC,6,6.086225180478691,36.517351082872146,83.33333333333334,Metals,participant_tilt_stress_gated
STAR,5,5.2761426429357074,26.380713214678536,80.0,(unmapped),participant_tilt_stress_gated
BHEL,6,4.781282043758361,28.68769226255017,66.66666666666666,Capital Goods,participant_tilt_stress_gated
INDIGO,6,4.418540150687078,26.51124090412247,50.0,(unmapped),participant_tilt_stress_gated
COREPROTEC,5,8.806050878009506,44.03025439004753,100.0,(unmapped),vol_squeeze_breakout
GITANJALI,11,8.404476601804973,92.4492426198547,72.72727272727273,(unmapped),vol_squeeze_breakout
GTCIND,5,8.117683755517096,40.58841877758548,60.0,(unmapped),vol_squeeze_breakout
INDIAINFO,8,7.317029797890728,58.53623838312583,50.0,(unmapped),vol_squeeze_breakout
AJANTPHARM,6,6.285263410379493,37.711580462276956,100.0,(unmapped),vol_squeeze_breakout
PARSVNATH,9,6.772936984883476,60.956432863951285,66.66666666666666,(unmapped),price_action_long
COREPROTEC,9,6.717350925080289,60.456158325722605,55.55555555555556,(unmapped),price_action_long
SOBHA,8,6.012542379789903,48.10033903831923,50.0,(unmapped),price_action_long
RPL,9,5.286678566934081,47.58010710240673,66.66666666666666,(unmapped),price_action_long
RUSHIL,6,5.148557514431489,30.89134508658893,83.33333333333334,(unmapped),price_action_long
BINDALAGRO,5,13.485120361404446,67.42560180702223,60.0,(unmapped),momentum
IFCI,9,13.355443250001523,120.19898925001371,77.77777777777779,Financial Services,momentum
INDIAINFO,13,11.217798731355938,145.83138350762718,76.92307692307693,(unmapped),momentum
JINDALSTEL,11,11.010793215179733,121.11872536697706,72.72727272727273,Metals,momentum
SRF,30,10.468826015887446,314.06478047662335,66.66666666666666,Chemicals,momentum
IOC,10,6.778223393545491,67.78223393545491,40.0,Oil & Gas,pairs_reversion
TVSMOTOR,12,2.5524691974856215,30.629630369827456,75.0,Auto,pairs_reversion
BPCL,41,1.1005593556808164,45.122933582913475,65.85365853658537,Oil & Gas,pairs_reversion
BANKINDIA,54,1.0395319156648168,56.13472344590011,61.111111111111114,Banking,pairs_reversion
RECLTD,45,0.7686938484904573,34.59122318207058,51.11111111111111,Financial Services,pairs_reversion
GESHIP,5,5.971824833872686,29.859124169363433,80.0,Logistics,same_sector_pairing
FSL,16,5.662489408336953,90.59983053339124,62.5,IT,same_sector_pairing
BOSCHLTD,20,2.8968001678024438,57.93600335604887,65.0,Auto,same_sector_pairing
JINDALSTEL,66,2.623985230878938,173.18302523800992,46.96969696969697,Metals,same_sector_pairing
IGL,61,2.5968449418364155,158.40754145202135,67.21311475409836,Oil & Gas,same_sector_pairing
