symbol,n_trades,mean_net_pct,total_net_pct,win_rate_pct,sector,strategy
AANJANEYA,5,-24.928310383525023,-124.64155191762512,0.0,(unmapped),mean_reversion
SHREEASHTA,5,-22.70926681260349,-113.54633406301745,20.0,(unmapped),mean_reversion
GWALCHEM,5,-15.412912023988449,-77.06456011994224,0.0,(unmapped),mean_reversion
VARUN,8,-12.197716944084974,-97.58173555267979,12.5,(unmapped),mean_reversion
PSTL,10,-10.88741985702387,-108.8741985702387,40.0,(unmapped),mean_reversion
HINDZINC,5,-4.768971817889518,-23.844859089447592,20.0,Metals,delivery_breakout
MFSL,12,-4.439779514578736,-53.27735417494483,8.333333333333332,Financial Services,delivery_breakout
OIL,5,-4.3401216864244585,-21.700608432122294,20.0,Oil & Gas,delivery_breakout
UNIONBANK,5,-3.869132660671492,-19.345663303357462,40.0,Banking,delivery_breakout
CESC,5,-3.591439525155395,-17.957197625776974,40.0,Power,delivery_breakout
UNITECH,11,-10.466753490285868,-115.13428839314454,9.090909090909092,(unmapped),oi_momentum
PUNJLLOYD,7,-6.54844846034429,-45.83913922241003,14.285714285714285,(unmapped),oi_momentum
IRB,8,-5.550982610665819,-44.40786088532655,25.0,(unmapped),oi_momentum
OPTOCIRCUI,7,-5.304762766709063,-37.13333936696344,28.57142857142857,(unmapped),oi_momentum
PRAJIND,6,-5.104302547937528,-30.625815287625166,16.666666666666664,(unmapped),oi_momentum
EDELWEISS,7,-9.339989495345211,-65.37992646741648,28.57142857142857,(unmapped),participant_tilt
RELCAPITAL,6,-7.8478219421831765,-47.08693165309906,33.33333333333333,(unmapped),participant_tilt
INDUSINDBK,10,-7.405438394982592,-74.05438394982592,40.0,Banking,participant_tilt
TATAMOTORS,7,-7.034637145636459,-49.242460019455216,28.57142857142857,(unmapped),participant_tilt
IBVENTURES,7,-6.528953595738029,-45.7026751701662,28.57142857142857,(unmapped),participant_tilt
RELCAPITAL,5,-8.882746593722304,-44.41373296861152,40.0,(unmapped),participant_tilt_stress_gated
PCJEWELLER,5,-6.327035413692412,-31.635177068462063,40.0,(unmapped),participant_tilt_stress_gated
BEL,5,-4.113229920653476,-20.56614960326738,20.0,(unmapped),participant_tilt_stress_gated
PNBHOUSING,7,-3.8593809509566017,-27.01566665669621,14.285714285714285,Financial Services,participant_tilt_stress_gated
SBICARD,5,-3.5713202190536073,-17.856601095268037,0.0,Financial Services,participant_tilt_stress_gated
ABGSHIP,5,-8.254868722488567,-41.274343612442834,0.0,(unmapped),vol_squeeze_breakout
MYSORECEM,7,-6.4708729176708255,-45.29611042369578,28.57142857142857,(unmapped),vol_squeeze_breakout
SUVEN,6,-6.128057749273825,-36.76834649564295,33.33333333333333,(unmapped),vol_squeeze_breakout
NAGARCONST,6,-5.992122854039171,-35.95273712423503,16.666666666666664,(unmapped),vol_squeeze_breakout
PUNJLLOYD,5,-5.888763285613207,-29.443816428066032,20.0,(unmapped),vol_squeeze_breakout
NATCOPHARM,5,-16.44222062563198,-82.21110312815989,40.0,Pharma,price_action_long
NOCIL,7,-9.098404807240238,-63.68883365068166,14.285714285714285,(unmapped),price_action_long
HTMT,6,-8.898249074013625,-53.38949444408175,0.0,(unmapped),price_action_long
SASKEN,6,-7.765642412287281,-46.59385447372369,16.666666666666664,(unmapped),price_action_long
STCINDIA,7,-7.619070577054606,-53.33349403938224,0.0,(unmapped),price_action_long
GLODYNE,6,-21.161070472776235,-126.96642283665742,33.33333333333333,(unmapped),momentum
ENGINERSIN,5,-21.029979246696897,-105.14989623348448,20.0,(unmapped),momentum
ORBITCORP,6,-18.536132446098943,-111.21679467659365,33.33333333333333,(unmapped),momentum
CADILAHC,5,-18.427073859393527,-92.13536929696764,40.0,(unmapped),momentum
WALCHANNAG,5,-16.838962944720304,-84.19481472360152,40.0,(unmapped),momentum
TECHM,13,-1.5738939569470267,-20.460621440311346,46.15384615384615,IT,pairs_reversion
CANBK,51,-1.3707244929621245,-69.90694914106835,54.90196078431373,Banking,pairs_reversion
BANKBARODA,8,-1.063038754751687,-8.504310038013497,25.0,Banking,pairs_reversion
BAJAJ-AUTO,12,-0.9577325493621626,-11.492790592345951,25.0,Auto,pairs_reversion
HINDPETRO,51,-0.8065619751521016,-41.13466073275718,41.17647058823529,Oil & Gas,pairs_reversion
MANAPPURAM,16,-3.3743866583071704,-53.99018653291473,50.0,Financial Services,same_sector_pairing
PERSISTENT,5,-3.1590791196393173,-15.795395598196587,60.0,IT,same_sector_pairing
HINDCOPPER,9,-2.6087000026716947,-23.47830002404525,33.33333333333333,Metals,same_sector_pairing
GMDCLTD,18,-2.470691957900813,-44.47245524221463,44.44444444444444,Metals,same_sector_pairing
AUROPHARMA,47,-1.7864160871649075,-83.96155609675066,46.808510638297875,Pharma,same_sector_pairing
