symbol,n_trades,mean_net_pct,total_net_pct,win_rate_pct,sector
GESHIP,5,5.971824833872686,29.859124169363433,80.0,Logistics
FSL,16,5.662489408336953,90.59983053339124,62.5,IT
BOSCHLTD,20,2.8968001678024438,57.93600335604887,65.0,Auto
JINDALSTEL,66,2.623985230878938,173.18302523800992,46.96969696969697,Metals
IGL,61,2.5968449418364155,158.40754145202135,67.21311475409836,Oil & Gas
CASTROLIND,14,2.5731270886445863,36.02377924102421,78.57142857142857,Chemicals
M&MFIN,19,2.4546079781182613,46.637551584246964,63.1578947368421,Financial Services
FEDERALBNK,43,2.019856648179512,86.85383587171901,58.139534883720934,Banking
EICHERMOT,14,1.993835596896442,27.91369835655019,71.42857142857143,Auto
JSWSTEEL,61,1.9862711106650028,121.16253775056518,59.01639344262295,Metals
AXISBANK,37,1.9757039940101884,73.10104777837697,56.75675675675676,Banking
RECLTD,70,1.86752168780743,130.7265181465201,62.857142857142854,Financial Services
M&M,61,1.864567998302766,113.73864789646873,62.295081967213115,Auto
UNIONBANK,40,1.7278423389692257,69.11369355876903,60.0,Banking
CUMMINSIND,55,1.6660336835908958,91.63185259749926,65.45454545454545,Auto
ITC,91,1.4214812659342178,129.35479520001383,62.637362637362635,FMCG
DRREDDY,54,1.3960826744936223,75.3884644226556,64.81481481481481,Pharma
SHREECEM,21,1.3915333581082723,29.222200520273717,61.904761904761905,Cement
HINDZINC,57,1.3663541731254363,77.88218786814987,61.40350877192983,Metals
MCX,14,1.3515189762113273,18.921265666958583,71.42857142857143,Financial Services
NHPC,31,1.345442687214712,41.70872330365607,61.29032258064516,Power
BRITANNIA,6,1.314883238413679,7.889299430482074,66.66666666666666,FMCG
APOLLOHOSP,20,1.3073488766144135,26.14697753228827,75.0,Pharma
SRF,66,1.2807083231357612,84.52674932696024,57.57575757575758,Chemicals
OIL,54,1.2642170339949812,68.26771983572898,51.85185185185185,Oil & Gas
IOC,76,1.2475022518402277,94.8101711398573,51.31578947368421,Oil & Gas
COALINDIA,29,1.2182069379795755,35.32800120140769,55.172413793103445,Metals
TORNTPHARM,13,1.1603559020917331,15.08462672719253,76.92307692307693,Pharma
HINDALCO,63,1.1262775477103617,70.95548550575279,46.03174603174603,Metals
BANKINDIA,42,1.1190893684403378,47.00175347449419,47.61904761904761,Banking
UPL,34,1.0933864093938064,37.175137919389414,55.88235294117647,Chemicals
EXIDEIND,53,0.9567892893110729,50.709832333486865,54.71698113207547,Auto
GODREJCP,12,0.9315720433239988,11.178864519887986,75.0,FMCG
INFY,41,0.9240384155919246,37.88557503926891,56.09756097560976,IT
HCLTECH,99,0.8667199834476139,85.80527836131378,56.56565656565656,IT
GLENMARK,29,0.8534761239630189,24.750807594927547,55.172413793103445,Pharma
NESTLEIND,11,0.8388473932512176,9.227321325763393,72.72727272727273,FMCG
JUBLFOOD,21,0.7878499725042308,16.544849422588847,66.66666666666666,FMCG
ONGC,69,0.7609087482352811,52.50270362823439,66.66666666666666,Oil & Gas
GRASIM,173,0.732979625003781,126.80547512565411,59.53757225433526,Cement
BHARTIARTL,159,0.7279277309562441,115.74050922204282,58.490566037735846,Telecom
KOTAKBANK,47,0.7276398534248396,34.19907311096746,63.829787234042556,Banking
BEML,60,0.7111861382768192,42.67116829660915,55.00000000000001,Capital Goods
BPCL,80,0.6080988878995789,48.64791103196631,50.0,Oil & Gas
AMBUJACEM,158,0.5865872619260204,92.68078738431122,55.69620253164557,Cement
CESC,77,0.5448111963189969,41.95046211656276,59.74025974025974,Power
TCS,96,0.5339680315292568,51.26093102680865,55.208333333333336,IT
HINDPETRO,95,0.5283295415997438,50.19130645197566,50.526315789473685,Oil & Gas
