symbol,n_trades,mean_net_pct,total_net_pct,win_rate_pct,sector
ONMOBILE,13,-4.660027834918592,-60.5803618539417,15.384615384615385,(unmapped)
JAICORPLTD,24,-4.683814524710095,-112.41154859304227,20.833333333333336,(unmapped)
GUJALKALI,12,-4.690274529574414,-56.28329435489297,16.666666666666664,(unmapped)
HINDCOPPER,6,-4.823628587330686,-28.941771523984116,16.666666666666664,Metals
BERGEPAINT,5,-4.883599660724917,-24.417998303624582,20.0,(unmapped)
NIITTECH,17,-4.886589162700774,-83.07201576591315,11.76470588235294,(unmapped)
LOVABLE,5,-5.013147632332731,-25.065738161663656,20.0,(unmapped)
TULIP,6,-5.101570072574488,-30.60942043544693,16.666666666666664,(unmapped)
KECINTL,6,-5.355798940686746,-32.13479364412048,16.666666666666664,(unmapped)
PFS,7,-5.3851899073096385,-37.69632935116747,14.285714285714285,(unmapped)
JINDALPOLY,7,-5.471839982971328,-38.302879880799296,14.285714285714285,(unmapped)
GTOFFSHORE,6,-5.6439164588425195,-33.86349875305512,16.666666666666664,(unmapped)
ITI,9,-5.648904074015215,-50.840136666136935,22.22222222222222,Capital Goods
WWIL,6,-5.780654942679164,-34.68392965607499,16.666666666666664,(unmapped)
STERLINBIO,7,-5.783654968882608,-40.48558478217826,14.285714285714285,(unmapped)
CONCOR,6,-5.974579108852049,-35.84747465311229,16.666666666666664,Logistics
NUCLEUS,7,-6.275103644667995,-43.92572551267597,14.285714285714285,(unmapped)
HFCL,6,-6.559322604996466,-39.355935629978795,16.666666666666664,(unmapped)
PRAKASH,5,-6.800024975634997,-34.00012487817499,0.0,(unmapped)
ICSA,11,-6.934763251618685,-76.28239576780554,18.181818181818183,(unmapped)
STCINDIA,7,-7.619070577054606,-53.33349403938224,0.0,(unmapped)
SASKEN,6,-7.765642412287281,-46.59385447372369,16.666666666666664,(unmapped)
HTMT,6,-8.898249074013625,-53.38949444408175,0.0,(unmapped)
NOCIL,7,-9.098404807240238,-63.68883365068166,14.285714285714285,(unmapped)
NATCOPHARM,5,-16.44222062563198,-82.21110312815989,40.0,Pharma
