symbol_a,symbol_b,long_symbol,short_symbol,signal_entry_date,entry_fill_date,signal_exit_date,exit_fill_date,exit_reason,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pct,short_net_pct,net_pnl_pct,long_cost_pct,short_cost_pct,short_contract_expiry,rolled_forward_at_entry
BHARTIARTL,TATACOMM,TATACOMM,BHARTIARTL,2021-10-25,2021-10-26,2021-10-29,2021-11-01,window_end,1347.95,1300.0,689.2,690.85,-3.874034061849473,-0.42964290191525917,-2.151838481882366,0.31678045451982645,0.19023489262913523,2021-11-25,True
IDEA,TATACOMM,IDEA,TATACOMM,2021-10-19,2021-10-20,2021-10-25,,no_fill,,,,,,,,,,,False
RELIANCE,BPCL,BPCL,RELIANCE,2021-10-20,2021-10-21,2021-10-22,2021-10-25,reverted,445.25,447.0,2740.1,2678.85,0.07018862470522552,2.047306301959783,1.0587474633325042,0.32284899460976985,0.18801357687675635,2021-11-25,True
RELIANCE,BPCL,BPCL,RELIANCE,2021-10-26,2021-10-27,2021-10-29,2021-11-01,window_end,433.45,428.0,2665.2,2542.7,-1.5776674097819814,4.410383571964584,1.416358081091301,0.3203136204175798,0.1858943809095002,2021-11-25,True
RELIANCE,ONGC,RELIANCE,ONGC,2021-10-05,2021-10-06,2021-10-13,2021-10-14,reverted,2619.95,2700.35,165.3,161.65,2.7418013440027424,2.020068469449488,2.3809349067261154,0.326959510212027,0.18803800362976406,2021-10-28,False
TATAPOWER,POWERGRID,POWERGRID,TATAPOWER,2021-09-30,2021-10-01,2021-10-29,2021-10-28,rollover,190.8,190.7,158.65,218.0,-0.3745755864779967,-37.6329904128585,-19.003782999668246,0.32216468501048223,0.2235986700283643,2021-10-28,False
TATAPOWER,NTPC,NTPC,TATAPOWER,2021-10-05,2021-10-06,2021-10-29,2021-10-28,rollover,146.45,141.3,191.9,218.0,-3.8334015237282153,-13.803061875977058,-8.818231699852637,0.3168429713212701,0.20222810838978636,2021-10-28,False
POWERGRID,NTPC,POWERGRID,NTPC,2021-09-30,2021-10-01,2021-10-13,2021-10-14,reverted,190.8,200.2,140.45,147.95,4.596811128930798,-5.534791804912782,-0.4689903379909919,0.32981360901467505,0.1948131648273407,2021-10-28,False
POWERGRID,NTPC,NTPC,POWERGRID,2021-10-29,2021-11-01,2021-10-29,,no_fill,,,185.0,,,,,,,2021-11-25,False
INFY,TCS,TCS,INFY,2021-10-11,2021-10-12,2021-10-29,2021-10-28,rollover,3706.0,3518.0,1678.05,1703.9,-5.387306978521323,-1.731881265158965,-3.559594121840144,0.3144521485159202,0.19140273352999018,2021-10-28,False
INFY,HCLTECH,HCLTECH,INFY,2021-10-14,2021-10-18,2021-10-29,2021-10-28,rollover,1240.0,1183.3,1745.0,1703.9,-4.887801327887102,2.167394977650428,-1.360203175118337,0.31522068272580644,0.18790588194842409,2021-10-28,False
HAVELLS,VOLTAS,HAVELLS,VOLTAS,2021-10-07,2021-10-08,2021-10-14,2021-10-18,reverted,1400.8,1486.65,1260.25,1320.0,5.796980599393209,-4.935398424915681,0.43079108723876436,0.33166017730582525,0.19427563181908356,2021-10-28,False
HAVELLS,VOLTAS,HAVELLS,VOLTAS,2021-10-29,2021-11-01,2021-10-29,,no_fill,,,1201.9,,,,,,,2021-11-25,False
HAVELLS,DIXON,HAVELLS,DIXON,2021-09-30,2021-10-01,2021-10-25,2021-10-26,reverted,1373.1,1309.0,4590.05,4815.7,-4.983342564605629,-5.110501115456255,-5.046921840030942,0.31507368397057756,0.19443266304288626,2021-10-28,False
VOLTAS,DIXON,VOLTAS,DIXON,2021-10-01,2021-10-04,2021-10-25,2021-10-26,reverted,1215.25,1199.0,4931.0,4815.7,-1.65736442053075,2.1503469292232897,0.24649125434626984,0.3201909994239868,0.18792117055364024,2021-10-28,False
TITAN,DMART,DMART,TITAN,2021-10-07,2021-10-08,2021-10-11,2021-10-12,reverted,4326.4,4780.0,2345.5,2365.05,10.146115744119825,-1.0242791379236946,4.560918303098065,0.33835171150147936,0.19076815945427414,2021-10-28,False
