symbol_a,symbol_b,long_symbol,short_symbol,signal_entry_date,entry_fill_date,signal_exit_date,exit_fill_date,exit_reason,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pct,short_net_pct,net_pnl_pct,long_cost_pct,short_cost_pct,short_contract_expiry,rolled_forward_at_entry
ARVINDMILL,POLARIS,POLARIS,ARVINDMILL,2005-01-31,2005-02-01,2005-02-15,,no_fill,,,,,,,,,,,False
ARVINDMILL,POLARIS,POLARIS,ARVINDMILL,2005-02-25,2005-02-28,2005-02-28,,no_fill,,,,,,,,,,,False
SESAGOA,WIPRO,WIPRO,SESAGOA,2005-02-02,2005-02-03,2005-02-28,,no_fill,,,,,,,,,,,False
CIPLA,SESAGOA,SESAGOA,CIPLA,2005-02-16,2005-02-17,2005-02-28,,no_fill,,,,,,,,,,,False
BEL,TATACHEM,BEL,TATACHEM,2005-02-01,2005-02-02,2005-02-11,,no_fill,,,,,,,,,,,False
BEL,TATACHEM,TATACHEM,BEL,2005-02-17,2005-02-18,2005-02-28,,no_fill,,,,,,,,,,,False
CROMPGREAV,NAGARFERT,NAGARFERT,CROMPGREAV,2005-02-09,2005-02-10,2005-02-28,,no_fill,,,,,,,,,,,False
IVRCLINFRA,MARUTI,MARUTI,IVRCLINFRA,2005-02-25,2005-02-28,2005-02-28,,no_fill,,,,,,,,,,,False
CADILAHC,SAIL,CADILAHC,SAIL,2005-02-28,2005-03-01,2005-02-28,,no_fill,,,,,,,,,,,False
DABUR,KTKBANK,KTKBANK,DABUR,2005-02-25,2005-02-28,2005-02-28,,no_fill,,,,,,,,,,,False
ESCORTS,VIJAYABANK,VIJAYABANK,ESCORTS,2005-02-08,2005-02-09,2005-02-28,,no_fill,,,,,,,,,,,False
I-FLEX,NATIONALUM,NATIONALUM,I-FLEX,2005-02-25,2005-02-28,2005-02-28,,no_fill,,,,,,,,,,,False
CORPBANK,HEROHONDA,HEROHONDA,CORPBANK,2005-02-24,2005-02-25,2005-02-28,,no_fill,,,,,,,,,,,False
DIVISLAB,ROLTA,DIVISLAB,ROLTA,2005-01-31,2005-02-01,2005-02-17,,no_fill,,,,,,,,,,,False
I-FLEX,SIEMENS,I-FLEX,SIEMENS,2005-02-07,2005-02-08,2005-02-28,,no_fill,,,,,,,,,,,False
