strategy,symbol,n_trades,mean_net_pct,total_net_pct
mean_reversion re-test (honest execution) [primary/train],ATULAUTO,2,4.544941235309668,9.089882470619337
mean_reversion re-test (honest execution) [primary/train],AUROPHARMA,90,-1.6299378448165571,-146.69440603349014
mean_reversion re-test (honest execution) [primary/train],AUSTRAL,3,-0.013486277703641747,-0.04045883311092524
mean_reversion re-test (honest execution) [primary/train],AVENTIS,1,7.195798445177667,7.195798445177667
mean_reversion re-test (honest execution) [primary/train],AXISBANK,64,-0.39214654504617086,-25.097378882954935
mean_reversion re-test (honest execution) [primary/train],BAGFILMS,4,0.43751979156453036,1.7500791662581214
mean_reversion re-test (honest execution) [primary/train],BAJAJ-AUTO,50,-0.04118874531614543,-2.0594372658072713
mean_reversion re-test (honest execution) [primary/train],BAJAJAUTO,16,0.3588534919541827,5.741655871266923
mean_reversion re-test (honest execution) [primary/train],BAJAJFINSV,29,-0.9762930764021107,-28.312499215661212
mean_reversion re-test (honest execution) [primary/train],BAJAJHIND,86,-1.839318829315741,-158.18141932115373
mean_reversion re-test (honest execution) [primary/train],BAJFINANCE,7,3.9734134016108484,27.81389381127594
mean_reversion re-test (honest execution) [primary/train],BALAJITELE,2,6.043526942899934,12.087053885799868
mean_reversion re-test (honest execution) [primary/train],BALRAMCHIN,82,-1.3373349950270383,-109.66146959221714
mean_reversion re-test (honest execution) [primary/train],BANKBARODA,90,0.2764984952389417,24.884864571504753
mean_reversion re-test (honest execution) [primary/train],BANKINDIA,108,-0.9073668505071694,-97.99561985477429
mean_reversion re-test (honest execution) [primary/train],BANKPUNJAB,3,4.271870775859344,12.815612327578032
mean_reversion re-test (honest execution) [primary/train],BANKRAJAS,17,-0.39484453617488297,-6.712357114973011
mean_reversion re-test (honest execution) [primary/train],BARTRONICS,11,-3.072715219405592,-33.79986741346151
mean_reversion re-test (honest execution) [primary/train],BATAINDIA,70,-0.6062362944928115,-42.436540614496806
mean_reversion re-test (honest execution) [primary/train],BBTC,3,1.5559702180854709,4.667910654256413
mean_reversion re-test (honest execution) [primary/train],BEL,55,-1.0772232321540876,-59.24727776847482
mean_reversion re-test (honest execution) [primary/train],BEML,57,-3.7683593030138915,-214.7964802717918
mean_reversion re-test (honest execution) [primary/train],BERGEPAINT,11,0.813479252101274,8.948271773114014
mean_reversion re-test (honest execution) [primary/train],BFUTILITIE,60,-1.1138014655253297,-66.82808793151978
mean_reversion re-test (honest execution) [primary/train],BGRENERGY,46,-1.5698754939961506,-72.21427272382293
mean_reversion re-test (honest execution) [primary/train],BHARATFORG,88,-0.6199674447725342,-54.557135139983004
mean_reversion re-test (honest execution) [primary/train],BHARTI,6,3.503053111685903,21.01831867011542
mean_reversion re-test (honest execution) [primary/train],BHARTIARTL,83,-0.07189836042028211,-5.967563914883415
mean_reversion re-test (honest execution) [primary/train],BHARTISHIP,9,0.3502219682565537,3.1519977143089832
mean_reversion re-test (honest execution) [primary/train],BHEL,96,-0.8662812157655272,-83.16299671349061
mean_reversion re-test (honest execution) [primary/train],BHUSANSTL,52,-1.3549537625176964,-70.45759565092021
mean_reversion re-test (honest execution) [primary/train],BILT,17,1.7268603600807182,29.35662612137221
mean_reversion re-test (honest execution) [primary/train],BINDALAGRO,30,-0.25270176950957246,-7.581053085287174
mean_reversion re-test (honest execution) [primary/train],BIOCON,71,-1.707151924483778,-121.20778663834824
mean_reversion re-test (honest execution) [primary/train],BIRLAJUTE,20,-3.2902671211215293,-65.80534242243058
mean_reversion re-test (honest execution) [primary/train],BOC,4,3.406246753734221,13.624987014936885
mean_reversion re-test (honest execution) [primary/train],BODALCHEM,1,7.351460483568915,7.351460483568915
mean_reversion re-test (honest execution) [primary/train],BOMDYEING,73,-1.153854294322051,-84.23136348550973
mean_reversion re-test (honest execution) [primary/train],BONGAIREFN,34,-0.7111164960423575,-24.177960865440156
mean_reversion re-test (honest execution) [primary/train],BOSCHLTD,5,-0.7579663589769959,-3.7898317948849796
mean_reversion re-test (honest execution) [primary/train],BPCL,84,-0.5214297570599701,-43.80009959303749
mean_reversion re-test (honest execution) [primary/train],BRFL,41,0.49364528688541864,20.239456762302165
mean_reversion re-test (honest execution) [primary/train],BRITANNIA,19,1.53731565018513,29.208997353517468
mean_reversion re-test (honest execution) [primary/train],BSELINFRA,7,-3.0438231536458464,-21.306762075520925
mean_reversion re-test (honest execution) [primary/train],CADILAHC,46,-0.023526824899227257,-1.0822339453644538
mean_reversion re-test (honest execution) [primary/train],CAIRN,69,-0.4305076367870874,-29.705026938309032
mean_reversion re-test (honest execution) [primary/train],CANBK,111,-1.8856969955559242,-209.31236650670758
mean_reversion re-test (honest execution) [primary/train],CARERATING,1,1.0641366701257684,1.0641366701257684
mean_reversion re-test (honest execution) [primary/train],CASTROL,10,1.2048287015848154,12.048287015848153
mean_reversion re-test (honest execution) [primary/train],CASTROLIND,11,-0.053030270796795946,-0.5833329787647554
mean_reversion re-test (honest execution) [primary/train],CEAT,13,0.15569686988207082,2.0240593084669207
mean_reversion re-test (honest execution) [primary/train],CEATLTD,18,-0.9573983335721228,-17.23317000429821
mean_reversion re-test (honest execution) [primary/train],CENBNK,3,-2.3614711018595322,-7.084413305578597
mean_reversion re-test (honest execution) [primary/train],CENTBOP,3,10.72209921010627,32.16629763031881
mean_reversion re-test (honest execution) [primary/train],CENTENKA,4,-1.9810213239689807,-7.924085295875923
mean_reversion re-test (honest execution) [primary/train],CENTRALBK,41,-1.6124252096645544,-66.10943359624673
mean_reversion re-test (honest execution) [primary/train],CENTURYPLY,3,-1.9614616976580355,-5.884385092974107
mean_reversion re-test (honest execution) [primary/train],CENTURYTEX,83,-0.8344860789542724,-69.26234455320461
mean_reversion re-test (honest execution) [primary/train],CESC,77,-1.3546198691935258,-104.3057299279015
mean_reversion re-test (honest execution) [primary/train],CHAMBLFERT,57,0.8900273234500441,50.731557436652515
mean_reversion re-test (honest execution) [primary/train],CHENNPETRO,44,-1.7214382969380764,-75.74328506527536
mean_reversion re-test (honest execution) [primary/train],CHOLAFIN,5,-1.4630003076594829,-7.315001538297414
mean_reversion re-test (honest execution) [primary/train],CHOLAINV,1,2.931627955840351,2.931627955840351
mean_reversion re-test (honest execution) [primary/train],CIPLA,78,-1.0353502143248676,-80.75731671733968
mean_reversion re-test (honest execution) [primary/train],CMC,1,13.895840622757728,13.895840622757728
mean_reversion re-test (honest execution) [primary/train],COALINDIA,48,1.0715649323209169,51.43511675140401
mean_reversion re-test (honest execution) [primary/train],COCHINREFN,8,-0.6924186149154391,-5.539348919323513
mean_reversion re-test (honest execution) [primary/train],COLGATE,14,-0.5585843003770761,-7.8201802052790645
mean_reversion re-test (honest execution) [primary/train],COLPAL,36,0.9399213670625299,33.83716921425108
mean_reversion re-test (honest execution) [primary/train],CONCOR,40,-0.6098254383154572,-24.393017532618288
mean_reversion re-test (honest execution) [primary/train],COREEDUTEC,5,-6.401519749904513,-32.007598749522565
mean_reversion re-test (honest execution) [primary/train],COREPROTEC,19,0.32461978442478734,6.167775904070959
mean_reversion re-test (honest execution) [primary/train],CORPBANK,32,-1.126621925001258,-36.05190160004025
mean_reversion re-test (honest execution) [primary/train],COX&KINGS,28,-2.0538403438325346,-57.507529627310966
mean_reversion re-test (honest execution) [primary/train],CREWBOS,2,5.1899794577358485,10.379958915471697
mean_reversion re-test (honest execution) [primary/train],CRISIL,1,2.160060040621995,2.160060040621995
mean_reversion re-test (honest execution) [primary/train],CROMPGREAV,95,0.6126062300674501,58.197591856407755
mean_reversion re-test (honest execution) [primary/train],CUMMINSIND,74,-1.5406863006938853,-114.01078625134751
mean_reversion re-test (honest execution) [primary/train],D-LINK,6,0.01900834673036156,0.11405008038216935
mean_reversion re-test (honest execution) [primary/train],DABUR,60,0.5771119222910116,34.626715337460695
mean_reversion re-test (honest execution) [primary/train],DALMIACEM,4,4.066238938731116,16.264955754924465
mean_reversion re-test (honest execution) [primary/train],DBREALTY,7,-5.273440346909969,-36.91408242836978
mean_reversion re-test (honest execution) [primary/train],DCB,43,1.647725365223245,70.85219070459954
mean_reversion re-test (honest execution) [primary/train],DCBBANK,16,-0.5115723435499118,-8.185157496798588
mean_reversion re-test (honest execution) [primary/train],DCHL,48,-0.4048699469474227,-19.43375745347629
mean_reversion re-test (honest execution) [primary/train],DCMSRMCONS,9,2.5347289681673932,22.81256071350654
mean_reversion re-test (honest execution) [primary/train],DEEPAKFERT,12,-0.449230418961964,-5.3907650275435675
mean_reversion re-test (honest execution) [primary/train],DELTACORP,48,-1.7740775986104194,-85.15572473330013
mean_reversion re-test (honest execution) [primary/train],DEN,8,0.43375182817242475,3.470014625379398
mean_reversion re-test (honest execution) [primary/train],DENABANK,82,-1.3798782060185097,-113.1500128935178
mean_reversion re-test (honest execution) [primary/train],DEWANHOUS,5,-1.4435973416860013,-7.217986708430006
mean_reversion re-test (honest execution) [primary/train],DHAMPURSUG,32,-3.094497234326097,-99.0239114984351
mean_reversion re-test (honest execution) [primary/train],DHANBANK,16,-4.511233646059754,-72.17973833695606
mean_reversion re-test (honest execution) [primary/train],DHFL,18,-0.39462390873825715,-7.103230357288629
mean_reversion re-test (honest execution) [primary/train],DISHMAN,25,-0.11700353889505682,-2.925088472376421
mean_reversion re-test (honest execution) [primary/train],DISHTV,71,-1.6666724395938377,-118.33374321116247
mean_reversion re-test (honest execution) [primary/train],DIVISLAB,78,-0.9524733321554998,-74.29291990812898
mean_reversion re-test (honest execution) [primary/train],DLF,82,-0.8723538586121184,-71.53301640619371
mean_reversion re-test (honest execution) [primary/train],DOLPHINOFF,3,0.5483148214838184,1.6449444644514553
mean_reversion re-test (honest execution) [primary/train],DRREDDY,70,-0.7829834765748623,-54.80884336024036
mean_reversion re-test (honest execution) [primary/train],DSKULKARNI,4,-7.108989481275737,-28.435957925102947
mean_reversion re-test (honest execution) [primary/train],DWARKESH,11,-6.568460959659716,-72.25307055625687
mean_reversion re-test (honest execution) [primary/train],EASUNREYRL,2,-4.173970361681747,-8.347940723363495
mean_reversion re-test (honest execution) [primary/train],EDELWEISS,4,-0.42368955792181806,-1.6947582316872722
mean_reversion re-test (honest execution) [primary/train],EDUCOMP,68,-2.281378177475151,-155.1337160683103
mean_reversion re-test (honest execution) [primary/train],EICHERMOT,4,-0.611334418153271,-2.445337672613084
