pair,entry,exit_reason,pnl_pct
GODREJCP/MARICO,2014-05-02,reverted,-1.2000780993342786
FSL/HCLTECH,2014-06-03,reverted,1.7173954424366977
HCLTECH/OFSS,2014-05-30,reverted,2.4990869622201597
ASHOKLEY/CUMMINSIND,2014-06-24,window_end,-0.8651208389247933
APOLLOHOSP/DIVISLAB,2014-06-30,reverted,1.3038485092235708
APOLLOHOSP/DIVISLAB,2014-07-22,window_end,4.8267356968094255
DABUR/ITC,2014-07-14,reverted,1.5200988011936423
DABUR/ITC,2014-07-22,window_end,3.2593211498757158
INDIANB/YESBANK,2014-07-14,window_end,-4.084172150819465
BANKBARODA/FEDERALBNK,2014-07-25,window_end,0.11341401166423681
CANBK/HDFCBANK,2014-07-09,window_end,-1.7390652776689441
CIPLA/LUPIN,2014-08-01,reverted,1.6857450074124203
IGL/ONGC,2014-08-01,reverted,3.6915320053732383
IGL/ONGC,2014-08-19,reverted,2.9824882826534282
BRITANNIA/ITC,2014-07-31,reverted,0.8155580423011899
BRITANNIA/ITC,2014-08-18,window_end,1.7338361558796644
AXISBANK/FEDERALBNK,2014-09-15,window_end,-3.264609292998194
IFCI/M&MFIN,2014-09-24,window_end,-0.012269404005105233
SBIN/UNIONBANK,2014-09-30,window_end,0.0
JSWSTEEL/TATASTEEL,2014-10-27,reverted,3.1942172067250585
APOLLOHOSP/LUPIN,2014-10-17,reverted,1.5976780076106034
AUROPHARMA/LUPIN,2014-11-03,reverted,-0.9826968249522117
BHARATFORG/M&M,2014-11-03,reverted,-7.259242029274171
HEROMOTOCO/TVSMOTOR,2014-11-17,window_end,-3.24202179998288
ASHOKLEY/BAJAJ-AUTO,2014-11-10,reverted,0.15744307992580087
EICHERMOT/TVSMOTOR,2014-12-11,reverted,3.069982069716776
JSWENERGY/TATAPOWER,2014-12-19,window_end,-1.0677158566975986
RPOWER/SUZLON,2014-12-04,reverted,2.698345158512078
RPOWER/SUZLON,2014-12-31,window_end,0.0
HCLTECH/TCS,2014-12-16,reverted,1.083457445160374
MARICO/NESTLEIND,2015-01-09,reverted,2.0611003122765204
MARICO/NESTLEIND,2015-01-27,reverted,2.644765754992462
DABUR/NESTLEIND,2015-01-06,reverted,1.6679310477791476
DABUR/NESTLEIND,2015-01-23,reverted,2.0652308402365205
OFSS/TATAELXSI,2015-01-07,reverted,-7.225889731698842
BAJAJ-AUTO/EICHERMOT,2015-01-27,window_end,-1.161693305462863
PNB/UNIONBANK,2015-01-23,window_end,4.178951240180262
BPCL/RELIANCE,2015-02-20,window_end,-1.17017836581651
DABUR/GODREJCP,2015-02-04,reverted,4.6262546395052
PNB/SBIN,2015-03-13,reverted,1.0978679886729625
PNB/SBIN,2015-03-31,window_end,0.0
DABUR/NESTLEIND,2015-03-04,reverted,1.5762142017924363
APOLLOHOSP/BIOCON,2015-03-03,reverted,1.7131185552103856
APOLLOHOSP/BIOCON,2015-03-31,window_end,0.0
AXISBANK/YESBANK,2015-04-15,reverted,1.206253363724713
AXISBANK/YESBANK,2015-04-23,reverted,2.2611956671247047
BANKINDIA/FEDERALBNK,2015-04-09,reverted,-0.9051253105353263
COALINDIA/HINDZINC,2015-04-09,reverted,2.889633954205195
BHARATFORG/MRF,2015-04-17,reverted,3.984402659986946
FEDERALBNK/UNIONBANK,2015-04-30,reverted,3.564956825287957
BEML/SIEMENS,2015-05-08,reverted,1.440456651801314
BEML/SIEMENS,2015-05-29,window_end,0.0
BHARTIARTL/TATACOMM,2015-05-29,window_end,0.0
DABUR/PAGEIND,2015-05-29,window_end,0.0
NTPC/POWERGRID,2015-06-23,reverted,1.9920845686437705
CANBK/ICICIBANK,2015-06-08,window_end,-7.390501563098501
BANKBARODA/HDFCBANK,2015-06-11,window_end,-4.8114770985196955
ADANIPOWER/NTPC,2015-07-28,window_end,1.6590287375106594
M&MFIN/RECLTD,2015-07-22,reverted,2.1658905486125035
CUMMINSIND/EXIDEIND,2015-08-06,reverted,2.315063608827339
ITC/PAGEIND,2015-07-31,reverted,3.373401824592459
DRREDDY/GLENMARK,2015-07-31,time,6.763041190563879
AUROPHARMA/CIPLA,2015-09-16,reverted,2.2605217134352653
AUROPHARMA/CIPLA,2015-09-29,window_end,-0.9150955660976345
DIVISLAB/NATCOPHARM,2015-09-23,window_end,-4.690984047027758
CANBK/FEDERALBNK,2015-10-06,reverted,0.9921353812895772
CANBK/FEDERALBNK,2015-10-21,window_end,0.13914498925636787
