symbol,signal_date,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,shares,gross_pnl_pct,net_pnl_pct,cost_pct
PATNI,2008-10-23,2008-10-24,147.1,,,2009-01-27,117.85,time,60,67,-19.884432358939495,-20.176130576954453,0.2916982180149558
DISHTV,2009-01-22,2009-01-23,17.9,,,2009-04-29,31.0,time,60,558,73.18435754189944,72.74968462905028,0.4346729128491621
CUMMINSIND,2009-01-27,2009-01-28,200.0,,,2009-05-05,209.0,time,60,50,4.499999999999993,4.170841782999993,0.329158217
NTPC,2009-01-27,2009-01-28,190.1,,,2009-05-05,195.0,time,60,52,2.577590741714886,2.251385779800104,0.3262049619147817
BPCL,2009-01-29,2009-01-30,395.0,,,2009-05-07,364.4,time,60,25,-7.74683544303798,-8.057179753012663,0.31034430997468354
GMDCLTD,2009-01-29,2009-01-30,40.0,,,2009-05-07,64.3,time,60,250,60.74999999999999,60.33442907049999,0.41557092949999996
JINDALSTEL,2009-01-29,2009-01-30,905.0,,,2009-05-07,1675.0,time,60,11,85.0828729281768,84.62992120662983,0.4529517215469613
LT,2009-01-30,2009-02-02,679.0,,,2009-05-08,986.0,time,60,14,45.21354933726067,44.82184590721649,0.3917034300441826
MAHSEAMLES,2009-01-30,2009-02-02,129.7,,,2009-05-08,197.4,time,60,77,52.19737856592137,51.79494639583656,0.40243217008481114
MOSERBAER,2009-01-30,2009-02-02,63.1,,,2009-05-08,69.0,time,60,158,9.350237717908083,9.013628439619652,0.336609278288431
ICSA,2009-02-02,2009-02-03,86.3,,,2009-05-11,128.0,time,60,115,48.31981460023176,47.9233392447277,0.39647535550405566
JAICORPLTD,2009-02-02,2009-02-03,68.4,,,2009-05-11,178.4,time,60,146,160.8187134502924,160.2494143614035,0.5692990888888889
GLAXO,2009-02-18,2009-02-19,1205.0,,,2009-05-27,1123.0,time,60,8,-6.804979253112031,-7.11677046705394,0.31179121394190873
CONCOR,2009-04-16,2009-04-17,768.1,,,2009-07-14,944.95,time,60,13,23.024345788308807,22.666729989675815,0.35761579863299053
PFC,2009-04-17,2009-04-20,158.8,,,2009-07-15,217.0,time,60,62,36.6498740554156,36.271326365994945,0.37854768942065486
ROLTA,2009-04-21,2009-04-22,104.8,,,2009-07-17,120.0,time,60,95,14.503816793893144,14.159290453435128,0.34452634045801533
ACC,2009-04-22,2009-04-23,647.0,,,2009-07-20,818.4,time,60,15,26.491499227202464,26.128557097310654,0.36294212989180835
CIPLA,2009-04-24,2009-04-27,241.05,,,2009-07-22,284.5,time,60,41,18.02530595312175,17.675369809458612,0.3499361436631405
JPASSOCIAT,2009-04-27,2009-04-28,132.0,,,2009-07-23,222.0,time,60,75,68.18181818181819,67.75483030000001,0.42698788181818176
PETRONET,2009-04-27,2009-04-28,53.4,,,2009-07-23,69.1,time,60,187,29.400749063670407,29.03333766853932,0.36741139513108617
TECHM,2009-04-27,2009-04-28,330.1,,,2009-07-23,734.2,time,60,30,122.41744925780066,121.90714318939715,0.5103060684035142
WALCHANNAG,2009-04-27,2009-04-28,133.0,,,2009-07-23,203.5,time,60,75,53.00751879699248,52.60384206842105,0.4036767285714286
FSL,2009-04-29,2009-05-04,16.25,,,2009-07-27,26.3,time,60,615,61.84615384615384,61.42889897661538,0.4172548695384616
NAGARFERT,2009-04-29,2009-05-04,23.3,,,2009-07-27,35.4,time,60,429,51.931330472102985,51.52930701201715,0.4020234600858369
ALOKTEXT,2009-05-04,2009-05-05,14.1,,,2009-07-28,21.4,time,60,709,51.77304964539007,51.37126934042553,0.40178030496453904
CESC,2009-05-04,2009-05-05,250.0,,,2009-07-28,311.9,time,60,40,24.759999999999984,24.399717844239984,0.36028215576
EDUCOMP,2009-05-04,2009-05-05,2340.0,,,2009-07-28,4260.0,time,60,4,82.05128205128204,81.60298753846153,0.44829451282051286
GTOFFSHORE,2009-05-04,2009-05-05,290.0,,,2009-07-28,436.0,time,60,34,50.34482758620689,49.94524135310344,0.3995862331034484
SIEMENS,2009-05-04,2009-05-05,348.0,,,2009-07-28,470.45,time,60,28,35.18678160919539,34.81048156043102,0.3763000487643679
ESSAROIL,2009-05-19,2009-05-20,158.0,,,2009-08-12,133.9,time,60,63,-15.253164556962018,-15.551977448987333,0.29881289202531647
