hold_days,atr_stop_multiple,risk_reward,n_resolved,mean_net_pct,t_stat,win_rate_pct,hit_rate_pct
7,1.5,1.0,24916,-0.7577882794061566,-1.2565527625431798,45.9744742334243,44.505016528446326
3,1.0,2.5,36458,-0.7585685335517379,-1.50787521090056,40.22711064786878,7.318017552916881
3,1.5,3.0,31673,-0.7632823121544577,-1.4265666894048217,44.11012534335238,1.3817663817663817
15,1.5,1.0,22222,-0.7665601542047996,-0.9306092394299758,46.237962379623795,46.008941578339275
15,1.0,2.0,26946,-0.7679265139450642,-0.8849649555033949,32.29421806576116,28.455716915524647
7,1.5,1.5,23484,-0.7682348233632167,-0.567255391846819,43.11446090955544,27.533401046956794
3,1.0,3.0,36364,-0.7707079409769955,-1.4358187824797382,40.171598284017165,3.7457206148889037
10,1.0,2.0,28021,-0.7740232688102765,-1.4673460365093274,33.9281253345705,26.252983293556085
7,1.0,2.5,29066,-0.7784939017147414,-0.5629368383629763,35.374664556526525,15.598986608758596
7,2.5,1.0,19414,-0.7845239150850669,-1.1705567695568275,47.66663232718656,39.115191986644405
7,2.0,1.0,21086,-0.7860814599459004,-1.3430493034519473,46.86521862847387,42.34243275792854
3,1.0,1.0,39980,-0.7864520132944959,-3.907051386989004,43.73686843421711,42.48314310468226
10,1.5,1.5,21453,-0.7888412354220533,-0.34655493001469095,41.35086001957768,31.08127109111361
10,1.0,2.5,27179,-0.8055700600540027,-0.8425209196408573,32.56190441149417,19.110745560985052
5,1.0,1.0,36591,-0.8064087390466267,-2.9723139924951147,44.352436391462376,43.97513076088029
10,2.0,1.0,18895,-0.8085594189277555,-1.1152266613709312,46.62609155861339,44.17010807486161
7,1.0,3.0,28818,-0.8087707618365654,-0.3597146060427378,35.092650426816576,9.872364039955604
7,1.0,1.0,35233,-0.8132190588732061,-3.2925981848157075,44.554820764624075,44.4942622436822
7,3.0,1.0,18570,-0.8158131159325919,-1.3793528721954647,47.802907915993536,36.09981014374831
10,1.0,1.0,34568,-0.8166073393218629,-3.0405707117955694,44.73212219393659,44.767176617293714
15,1.0,1.0,34173,-0.8192997491400823,-3.069589100884671,44.889240043309044,44.94854586129754
7,1.5,2.0,23174,-0.826793800789921,-0.30662167708858656,42.50453093984638,14.774408284023668
15,1.0,2.5,25813,-0.8307369249095904,-0.04914407249871014,29.92678107930113,22.11464507080487
10,2.5,1.0,16901,-0.8316991019778955,-0.8946974294264552,47.1451393408674,42.0703933747412
10,1.0,3.0,26812,-0.858584660039008,-0.7722653452446302,31.978218708041172,13.136967667678142
15,1.5,1.5,19867,-0.8673670992506206,-0.29600547084494067,39.60839583228469,33.69455006337136
7,2.0,1.5,20619,-0.8676757382498775,-0.9245809131975317,45.71026722925457,20.406162464985993
10,1.5,2.0,20970,-0.8708867535011263,-0.4148149005188598,40.16690510252742,18.807991306528464
7,1.5,2.5,23074,-0.8732260567937052,-0.33693456964380086,42.32902834359019,7.298167908194081
7,2.5,1.5,19221,-0.8800946413934857,-1.162534630991007,47.10993184537745,15.079365079365079
15,1.0,3.0,25279,-0.8868672086357119,-0.08734800012451614,28.723446338858338,16.64228593719524
7,3.0,1.5,18489,-0.8957998997168283,-1.4477943596876424,47.49310400778842,11.115297663903542
10,2.0,1.5,18229,-0.9009524163391209,-0.7669660327706553,44.55537879203467,24.81962481962482
15,2.0,1.0,17108,-0.90409578838995,-1.1037220041345908,46.35258358662614,45.39944903581267
10,3.0,1.0,15813,-0.9045151944196839,-0.7860155666796916,47.473597672800864,39.10710452886886
7,1.5,3.0,23054,-0.907831047066747,-0.26421268532644493,42.22694543246291,3.7180156657963446
7,3.0,2.0,18473,-0.9116196188263407,-1.444627003051226,47.46386618307801,3.555373927257867
7,3.0,2.5,18473,-0.924764134769968,-1.5762320602890025,47.447626265360256,1.1725293132328307
7,3.0,3.0,18472,-0.926565364850574,-1.5476960770392512,47.44478129060199,0.3799071338117349
7,2.5,2.0,19188,-0.9276721954979962,-1.0763076524445485,46.966854283927454,5.205622071837585
10,1.5,2.5,20846,-0.9409752757018047,-0.255965841677841,39.825386165211555,10.515635089013928
7,2.0,2.0,20527,-0.9422567763845205,-0.9118403681871057,45.46207434111171,8.287560581583199
7,2.5,2.5,19179,-0.9425735307619844,-1.233131230463807,46.94718181344179,1.8598382749326146
7,2.5,3.0,19179,-0.9510271282739672,-1.296343541937318,46.936753741070966,0.7631507222676479
10,2.5,1.5,16622,-0.9522554734184467,-0.6772727753981931,46.27000360967393,19.23300406740267
15,2.5,1.0,14683,-0.9560184762071957,-1.0588222148177777,47.09528025607846,44.09923213230951
7,2.0,2.5,20499,-0.9716821472524911,-0.8246089970331484,45.39245816869116,3.56839422259983
10,1.5,3.0,20805,-0.9885067534232801,-0.2708329962982258,39.65392934390771,5.694849368318756
10,2.0,2.0,18093,-0.9885703580598445,-0.6524945031951828,44.19941413806445,11.794654221467967
7,2.0,3.0,20489,-0.9889609423267752,-0.9506915889782979,45.37556737761726,1.4074717636837533
15,1.5,2.0,19148,-1.0064019542362945,-0.05331478257520937,37.30937956966785,22.774342546375625
10,2.5,2.0,16582,-1.0111502790142886,-0.5650559920289243,46.080086841153054,7.670203359858532
10,3.0,1.5,15705,-1.0213709186639874,-0.7215626802020108,46.9277300222859,14.891077290361086
10,2.5,2.5,16571,-1.027614156160737,-0.6151068378455348,46.0261903325086,3.1510658016682114
10,2.0,2.5,18064,-1.0323315418662016,-0.5696326756165324,44.08768821966342,5.428354814253222
10,2.5,3.0,16570,-1.0441216216087357,-0.6708999970076545,46.0108630054315,1.2517713745866792
10,2.0,3.0,18050,-1.0488313503384743,-0.6573792539049268,44.038781163434905,2.485151609878087
10,3.0,2.0,15688,-1.051698942923075,-0.7543771242472954,46.83197348291688,5.18444666001994
10,3.0,2.5,15686,-1.0715857962101312,-0.815822988748963,46.812444217773816,1.722356183258698
10,3.0,3.0,15686,-1.0736204186748675,-0.7534750578471933,46.812444217773816,0.9030913511635985
15,1.5,2.5,18928,-1.0885328018970457,0.22584220601458282,36.46449704142012,14.790123456790123
15,2.0,1.5,16142,-1.091576340387847,-0.33208315292332596,42.44827158964193,28.724622592399793
15,3.0,1.0,13385,-1.1019361538606511,-0.8197948636736054,47.13485244676877,41.73010380622837
15,1.5,3.0,18839,-1.1476507019965512,0.27254370729514726,36.169648070492066,8.964546494237705
15,2.5,1.5,14259,-1.1730867018625792,-0.4388105097260946,44.918998527245954,24.077951360927685
15,2.0,2.0,15914,-1.224091965760605,0.00041584287998345094,41.49805202965942,16.22882396268107
15,3.0,1.5,13199,-1.246249313290225,-0.3628428287992788,46.00348511250852,19.685414680648236
15,2.5,2.0,14172,-1.2718256769514507,-0.4615918561650615,44.49618966977138,11.461856444945509
15,2.0,2.5,15859,-1.2837305700573602,0.07354433685654183,41.26363579040292,8.562240385903792
15,2.5,2.5,14159,-1.2839032368764953,-0.3735009173472111,44.40991595451656,5.698860227954409
15,2.5,3.0,14157,-1.2918625609504548,-0.4029012683598391,44.40912622730804,2.6022304832713754
15,2.0,3.0,15845,-1.299387612227152,0.09836773362562325,41.19280530135689,4.783821478382148
15,3.0,2.0,13171,-1.309536827911275,-0.39770089181609325,45.82036291853314,8.24265505984766
15,3.0,2.5,13169,-1.3201650113584533,-0.37551680230133155,45.81213455843268,3.379152348224513
15,3.0,3.0,13169,-1.322841496866194,-0.33876283369975224,45.81213455843268,1.575262543757293
