hold_days,atr_stop_multiple,risk_reward,n_resolved,mean_net_pct,t_stat,win_rate_pct,hit_rate_pct
5,3.0,1.0,22020,-0.6012066100715989,-0.5055769499609208,47.54314259763851,35.05642519111758
5,2.5,1.0,22662,-0.6223125150735399,-0.5537550122842934,47.54214102903539,38.06672369546621
3,3.0,1.0,28710,-0.6387895945564955,-1.7636845565042796,45.83420411006618,30.977917981072554
5,3.0,1.5,21959,-0.6411215361467829,-0.5820351460205355,47.36554487909285,8.984175599795813
5,3.0,2.0,21949,-0.6536773135975534,-0.646618693062625,47.36434461706684,2.571115973741794
3,3.0,1.5,28666,-0.6548625929191177,-1.7001033065313054,45.75455243145189,7.081911262798635
5,3.0,2.5,21949,-0.660771172993643,-0.6749728688497421,47.36434461706684,0.5583472920156337
5,3.0,3.0,21949,-0.6611264687828118,-0.6715201300987259,47.36434461706684,0.2799552071668533
3,3.0,2.0,28654,-0.6616264913487496,-1.7796569360114292,45.745794653451526,1.4492753623188406
3,3.0,3.0,28653,-0.6621323030036838,-1.8010341259391578,45.747391198129336,0.1834862385321101
3,3.0,2.5,28654,-0.662425647641008,-1.816906082275764,45.745794653451526,0.45745654162854527
3,2.5,1.0,29161,-0.6669248876138674,-1.9197052474186111,45.65001200233188,33.09596473380807
5,2.5,1.5,22523,-0.6705069009995668,-0.5145733167529976,47.23171868756382,12.590579710144928
5,2.0,1.0,24054,-0.6884886113928268,-0.580230150542877,46.81134114908123,40.53016672664028
5,2.5,2.0,22500,-0.6901753614948503,-0.5338224932919088,47.199999999999996,3.598800399866711
3,2.5,1.5,29058,-0.6921460362600088,-1.7475100596420818,45.515864822079976,9.733700642791552
5,2.5,2.5,22495,-0.7000388062946497,-0.6208528363774299,47.18826405867971,1.194947080914988
3,2.5,2.0,29038,-0.7023691900755328,-1.7215175350494463,45.474894965217985,2.6732673267326734
5,2.0,1.5,23728,-0.7031503045857199,-0.33473368013052324,46.2618004045853,16.71172693477526
3,2.0,1.0,30138,-0.703984671847141,-1.7768127475148319,45.616829252106974,36.23748463024767
5,2.5,3.0,22495,-0.7040895304881843,-0.6344441749486384,47.18826405867971,0.27567195037904896
5,1.5,2.0,25964,-0.7073774616865975,-0.12429600580330719,43.97242335541519,11.359797297297296
5,1.5,1.5,26184,-0.7079755982370749,-0.4173536977460009,44.22930033608311,23.91598305237537
3,2.5,2.5,29034,-0.7080810178345884,-1.8599453720978028,45.47427154370738,0.75642965204236
3,2.5,3.0,29034,-0.7087587930711678,-1.8850493856885968,45.47427154370738,0.25342118601115055
5,1.5,1.0,27331,-0.7160117776649985,-1.0988067021430241,46.108814167063045,43.13943597461231
3,1.5,1.5,31874,-0.7215711499132021,-1.612530750536643,44.33393988831022,17.68393659806009
5,1.0,2.5,31461,-0.7235986326584701,-0.28744917180364926,37.73560916690506,12.034448048316744
3,1.5,1.0,32575,-0.7259039363299006,-2.4203867228855356,45.00997697620875,40.2116850127011
5,1.0,2.0,31900,-0.7262705916129093,-0.7874927614818743,38.13166144200627,20.123543591803937
5,2.0,2.0,23667,-0.7266282700404383,-0.3470149894551439,46.148645793721215,6.506069802731411
5,1.5,2.5,25905,-0.7278389044952301,-0.08857258892432324,43.89500096506465,5.357545680126325
3,2.0,1.5,29931,-0.7282005167296481,-1.5195740315325186,45.417794260131636,12.124151309408342
5,1.0,3.0,31294,-0.732336269040485,-0.17474761995905874,37.58547964466032,6.8537121797539085
3,1.5,2.0,31729,-0.7403259804218844,-1.4384384609440217,44.20246462226985,7.267130620985011
5,1.5,3.0,25888,-0.7403508875172957,-0.0674685311998963,43.85815822002472,2.3504770770304866
3,2.0,2.0,29888,-0.7406377705749206,-1.480546193453461,45.379416488222695,4.13135593220339
5,1.0,1.5,33155,-0.7412794431585479,-1.2016436422074153,39.62901523148846,31.036089461199595
5,2.0,2.5,23652,-0.741694227123334,-0.3578892627107925,46.144089294774226,2.356902356902357
15,1.0,1.5,29366,-0.7462765910277902,-1.355026880710345,36.991759177279846,35.91357848046931
10,1.0,1.5,30079,-0.7463496828147319,-1.5412847490431447,37.63422986136507,34.88943488943489
3,1.0,2.0,36675,-0.7468861047160898,-1.783529689394779,40.38173142467621,14.125
3,1.0,1.5,37465,-0.7469103205451265,-2.053185276536199,41.073001468036836,26.3184329482672
3,2.0,2.5,29874,-0.7491243905250963,-1.4624549576184678,45.3437771975631,1.443355119825708
5,2.0,3.0,23646,-0.7497563815584253,-0.41645195711072236,46.12196566015393,1.023890784982935
3,2.0,3.0,29870,-0.7536970516525385,-1.5750375697921375,45.32976230331436,0.4674182018146824
3,1.5,2.5,31681,-0.755562343649135,-1.4233826913771972,44.13686436665509,3.202797202797203
7,1.0,1.5,31264,-0.7560577009675912,-1.617365388299661,38.510747185261,33.52897444927026
10,1.5,1.0,23295,-0.7567473740619088,-1.1955543520431167,46.0098733633827,45.47406850638892
7,1.0,2.0,29662,-0.7574334869521051,-1.0563661405802862,36.15400175308475,23.59675036927622
