symbol,company_name,index_name,action,announcement_date,effective_date,source_url
ADANIPOWER,Adani Power Ltd.,CNX Midcap Index,included,2010-10-01,"October 7, 2010",https://www.niftyindices.com/Press_Release/ind_prs01102010.pdf
ZEEL,Zee Entertainment Enterprises Ltd.,CNX Nifty Junior,excluded,2010-10-01,"October 7, 2010",https://www.niftyindices.com/Press_Release/ind_prs01102010.pdf
RNRL,Reliance Natural Resources Ltd.,CNX Nifty Junior,excluded,2010-10-01,"October 7, 2010",https://www.niftyindices.com/Press_Release/ind_prs01102010.pdf
EXIDEIND,Exide Industries Ltd.,CNX Nifty Junior,included,2010-10-01,"October 7, 2010",https://www.niftyindices.com/Press_Release/ind_prs01102010.pdf
TATACHEM,Tata Chemicals Ltd.,CNX Nifty Junior,included,2010-10-01,"October 7, 2010",https://www.niftyindices.com/Press_Release/ind_prs01102010.pdf
ZEEL,Zee Entertainment Enterprises Ltd.,CNX Service Sector Index,excluded,2010-10-01,"October 7, 2010",https://www.niftyindices.com/Press_Release/ind_prs01102010.pdf
SRTRANSFIN,Shriram Transport Finance Co. Ltd.,CNX Service Sector Index,included,2010-10-01,"October 7, 2010",https://www.niftyindices.com/Press_Release/ind_prs01102010.pdf
ZEEL,Zee Entertainment Enterprises Ltd.,S&P CNX 500 Index,excluded,2010-10-01,"October 7, 2010",https://www.niftyindices.com/Press_Release/ind_prs01102010.pdf
RNRL,Reliance Natural Resources Ltd.,S&P CNX 500 Index,excluded,2010-10-01,"October 7, 2010",https://www.niftyindices.com/Press_Release/ind_prs01102010.pdf
JUBLFOOD,Jubilant Foodworks Ltd.,S&P CNX 500 Index,included,2010-10-01,"October 7, 2010",https://www.niftyindices.com/Press_Release/ind_prs01102010.pdf
JPPOWER,Jaiprakash Power Ventures Ltd.,S&P CNX 500 Index,included,2010-10-01,"October 7, 2010",https://www.niftyindices.com/Press_Release/ind_prs01102010.pdf
RNRL,Reliance Natural Resources Ltd.,,excluded,2010-10-08,"November 26, 2010",https://www.niftyindices.com/Press_Release/ind_prs08102010.pdf
HDIL,Housing Development and Infrastructure Ltd.,,included,2010-10-08,"November 26, 2010",https://www.niftyindices.com/Press_Release/ind_prs08102010.pdf
JUBILANT,Jubilant Life Sciences Ltd.,CNX Midcap Index,excluded,2010-11-22,"November 25, 2010",https://www.niftyindices.com/Press_Release/ind_prs22112010.pdf
IFCI,IFCI Ltd.,CNX Midcap Index,included,2010-11-22,"November 25, 2010",https://www.niftyindices.com/Press_Release/ind_prs22112010.pdf
JUBILANT,Jubilant Life Sciences Ltd.,S&P CNX 500 Index,excluded,2010-11-22,"November 25, 2010",https://www.niftyindices.com/Press_Release/ind_prs22112010.pdf
SUNTECK,Sunteck Realty Ltd.,S&P CNX 500 Index,included,2010-11-22,"November 25, 2010",https://www.niftyindices.com/Press_Release/ind_prs22112010.pdf
MID-DAY,Mid-Day Multimedia Ltd.,,excluded,2011-01-18,"January 20, 2011",https://www.niftyindices.com/Press_Release/ind_prs18012011.pdf
