symbol,company_name,index_name,action,announcement_date,effective_date,source_url
RELCAPITAL,Reliance Capital Ltd.,S&P CNX Nifty Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
COALINDIA,Coal India Ltd.,S&P CNX Nifty Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
SEINVEST,S.E. Investments Limited,,excluded,2011-10-03,"October 4, 2011",https://www.niftyindices.com/Press_Release/ind_prs03102011.pdf
ABAN,Aban Offshore Limited,,included,2011-10-03,"October 4, 2011",https://www.niftyindices.com/Press_Release/ind_prs03102011.pdf
JINDALSAW,Jindal Saw Limited,CNX 200 Index,excluded,2011-11-17,"November 22, 2011",https://www.niftyindices.com/Press_Release/ind_prs17112011.pdf
APOLLOHOSP,Apollo Hospitals Enterprises Limited,CNX 200 Index,included,2011-11-17,"November 22, 2011",https://www.niftyindices.com/Press_Release/ind_prs17112011.pdf
JINDALSAW,Jindal Saw Limited,CNX Metal Index,excluded,2011-11-17,"November 22, 2011",https://www.niftyindices.com/Press_Release/ind_prs17112011.pdf
GMDCLTD,Gujarat Mineral Development Corporation Limited,CNX Metal Index,included,2011-11-17,"November 22, 2011",https://www.niftyindices.com/Press_Release/ind_prs17112011.pdf
JINDALSAW,Jindal Saw Limited,CNX Midcap Index,excluded,2011-11-17,"November 22, 2011",https://www.niftyindices.com/Press_Release/ind_prs17112011.pdf
UNITECH,Unitech Limited,CNX Midcap Index,included,2011-11-17,"November 22, 2011",https://www.niftyindices.com/Press_Release/ind_prs17112011.pdf
JINDALSAW,Jindal Saw Limited,S&P CNX 500 Index,excluded,2011-11-17,"November 22, 2011",https://www.niftyindices.com/Press_Release/ind_prs17112011.pdf
FUTUREVENT,Future Ventures India Limited,S&P CNX 500 Index,included,2011-11-17,"November 22, 2011",https://www.niftyindices.com/Press_Release/ind_prs17112011.pdf
IBREALEST,Indiabulls Real Estate Limited,CNX Midcap Index,excluded,2011-12-01,,https://www.niftyindices.com/Press_Release/ind_prs01122011.pdf
