date,cgst_rs_crore,sgst_rs_crore,igst_total_rs_crore,igst_domestic_rs_crore,igst_imports_rs_crore,cess_total_rs_crore,cess_domestic_rs_crore,cess_imports_rs_crore,total_rs_crore
2021-06-01,16424.0,20397.0,49079.0,23317.0,25762.0,6949.0,6140.0,809.0,92849.0
2021-07-01,22197.0,28541.0,57864.0,29964.0,27900.0,7790.0,6975.0,815.0,116392.0
2021-08-01,20522.0,26605.0,56247.0,29363.0,26884.0,8646.0,8000.0,646.0,112020.0
2021-09-01,20578.0,26767.0,60911.0,31356.0,29555.0,8754.0,8131.0,623.0,117010.0
2021-10-01,23861.0,30421.0,67361.0,34363.0,32998.0,8484.0,7785.0,699.0,130127.0
2021-11-01,23978.0,31127.0,66815.0,34650.0,32165.0,9606.0,8953.0,653.0,131526.0
2021-12-01,22578.0,28658.0,69155.0,31628.0,37527.0,9389.0,8775.0,614.0,129780.0
2022-01-01,24869.0,32239.0,74182.0,36983.0,37199.0,9696.0,9160.0,536.0,140986.0
2022-02-01,24435.0,30779.0,67471.0,33634.0,33837.0,10340.0,9702.0,638.0,133025.0
2022-03-01,25830.0,32378.0,74470.0,35339.0,39131.0,9417.0,8436.0,981.0,142095.0
2022-04-01,33159.0,41793.0,81939.0,45234.0,36705.0,10649.0,9792.0,857.0,167540.0
2022-05-01,25036.0,32001.0,73345.0,35876.0,37469.0,10502.0,9571.0,931.0,140885.0
2022-06-01,25306.0,32406.0,75887.0,35785.0,40102.0,11018.0,9821.0,1197.0,144616.0
2022-07-01,25751.0,32807.0,79518.0,38098.0,41420.0,10920.0,9925.0,995.0,148995.0
2022-08-01,24710.0,30951.0,77782.0,35715.0,42067.0,10169.0,9151.0,1018.0,143611.0
2022-09-01,25271.0,31813.0,80464.0,39249.0,41215.0,10138.0,9282.0,856.0,147686.0
2022-10-01,26039.0,33396.0,81778.0,44481.0,37297.0,10505.0,9680.0,825.0,151718.0
2022-11-01,25681.0,32651.0,77103.0,38468.0,38635.0,10433.0,9616.0,817.0,145868.0
2022-12-01,26711.0,33357.0,78435.0,38172.0,40263.0,11005.0,10155.0,850.0,149507.0
2023-01-01,29051.0,36847.0,80995.0,42561.0,38434.0,10661.0,9863.0,798.0,157554.0
2023-02-01,27662.0,34915.0,75069.0,39380.0,35689.0,11931.0,11139.0,792.0,149577.0
2023-03-01,29546.0,37314.0,82907.0,40404.0,42503.0,10355.0,9395.0,960.0,160122.0
2023-04-01,38440.0,47412.0,89158.0,54186.0,34972.0,12025.0,11124.0,901.0,187035.0
2023-05-01,28411.0,35828.0,81363.0,39591.0,41772.0,11489.0,10431.0,1057.0,157090.0
2023-06-01,31013.0,38292.0,80292.0,41256.0,39035.0,11900.0,10872.0,1028.0,161497.0
2023-07-01,29773.0,37623.0,85930.0,44691.0,41239.0,11779.0,10939.0,840.0,165105.0
2023-08-01,28328.0,35794.0,83251.0,39701.0,43550.0,11695.0,10679.0,1016.0,159069.0
2023-09-01,29818.0,37657.0,83623.0,42477.0,41145.0,11613.0,10733.0,881.0,162712.0
2023-10-01,30062.0,38171.0,91315.0,49188.0,42127.0,12456.0,11162.0,1294.0,172003.0
2023-11-01,30420.0,38226.0,87009.0,47810.0,39198.0,12275.0,11239.0,1036.0,167929.0
2023-12-01,30443.0,37935.0,84255.0,42721.0,41534.0,12249.0,11170.0,1079.0,164882.0
2024-01-01,32685.0,40895.0,88550.0,48952.0,39598.0,11976.0,11173.0,803.0,174106.0
2024-02-01,31785.0,39615.0,84098.0,45505.0,38593.0,12839.0,11854.0,984.0,168337.0
2024-03-01,34532.0,43746.0,87947.0,47625.0,40322.0,12259.0,11263.0,996.0,178484.0
2024-04-01,43846.0,53538.0,99623.0,61797.0,37826.0,13260.0,12252.0,1008.0,210267.0
2024-05-01,32409.0,40265.0,87781.0,47902.0,39879.0,12284.0,11207.0,1076.0,172739.0
2024-06-01,32627.0,40715.0,87310.0,47270.0,40040.0,13160.0,12188.0,972.0,173812.0
2024-07-01,32386.0,40289.0,96447.0,49437.0,47009.0,12953.0,11923.0,1029.0,182075.0
2024-08-01,30862.0,38411.0,93621.0,44593.0,49028.0,12068.0,11120.0,948.0,174962.0
2024-09-01,31422.0,39283.0,90594.0,46087.0,44507.0,11941.0,11059.0,883.0,173240.0
2024-10-01,33821.0,41864.0,99111.0,54878.0,44233.0,12550.0,11688.0,862.0,187346.0
2024-11-01,34141.0,43047.0,91828.0,50093.0,41736.0,13253.0,12398.0,855.0,182269.0
2024-12-01,32836.0,40499.0,91221.0,47783.0,43438.0,12301.0,11471.0,830.0,176857.0
2025-01-01,36077.0,44942.0,101075.0,53623.0,47453.0,13412.0,12483.0,929.0,195506.0
2025-02-01,35204.0,43704.0,90870.0,50049.0,40821.0,13868.0,12987.0,880.0,183646.0
2025-03-01,38145.0,49891.0,95853.0,50071.0,45782.0,12253.0,11116.0,1137.0,196141.0
2025-04-01,48634.0,59372.0,115259.0,69504.0,45754.0,13451.0,12293.0,1159.0,236716.0
2025-05-01,35434.0,43902.0,108836.0,58767.0,50070.0,12879.0,11683.0,1196.0,201050.0
2025-06-01,34558.0,43268.0,93280.0,48680.0,44600.0,13491.0,12400.0,1091.0,184597.0
2025-07-01,35470.0,44059.0,103536.0,51910.0,51626.0,12670.0,11584.0,1086.0,195735.0
2025-08-01,34076.0,42854.0,97186.0,48639.0,48546.0,12199.0,11392.0,807.0,186315.0
2025-09-01,33646.0,41836.0,101883.0,49853.0,52031.0,11652.0,11190.0,462.0,189017.0
2025-10-01,36547.0,45134.0,106443.0,55647.0,50796.0,7812.0,7724.0,88.0,195936.0
2025-11-01,34843.0,42522.0,92910.0,46934.0,45976.0,4756.0,4737.0,19.0,175032.0
2025-12-01,34289.0,41368.0,98894.0,46917.0,51977.0,4550.0,4536.0,15.0,179101.0
2026-01-01,38792.0,47817.0,106775.0,54522.0,52253.0,5940.0,5848.0,92.0,199324.0
2026-02-01,37473.0,45900.0,100236.0,52399.0,47837.0,5219.0,5219.0,0.07,188828.0
2026-03-01,40549.0,53268.0,106246.0,52385.0,53861.0,103.0,103.0,0.03,200167.0
