symbol_a,symbol_b,long_symbol,short_symbol,signal_entry_date,entry_fill_date,signal_exit_date,exit_fill_date,exit_reason,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pct,short_net_pct,net_pnl_pct,long_cost_pct,short_cost_pct,short_contract_expiry,rolled_forward_at_entry
RELIANCE,GAIL,RELIANCE,GAIL,2011-01-31,2011-02-01,2011-02-03,2011-02-04,reverted,925.1,947.4,470.05,463.25,2.0846018608799026,1.2579331283905966,1.6712674946352495,0.32594834990811805,0.1887214828209765,2011-02-24,False
RELIANCE,GAIL,GAIL,RELIANCE,2011-02-22,2011-02-23,2011-02-28,2011-03-01,window_end,441.0,429.0,991.2,977.0,-3.0391534285714314,1.2438728490718416,-0.8976402897497949,0.318064993197279,0.18873409200968524,2011-03-31,True
ONGC,GAIL,GAIL,ONGC,2011-02-07,2011-02-08,2011-02-28,2011-02-24,rollover,454.0,438.5,299.7,264.95,-3.731097291850219,11.415315869202535,3.8421092886761583,0.31700037555066085,0.17961239239239243,2011-02-24,False
RELIANCE,ONGC,ONGC,RELIANCE,2011-03-16,2011-03-17,2011-03-18,2011-03-21,reverted,269.85,273.0,1041.5,997.35,0.8432767151750931,4.052863249159863,2.448069982167478,0.324038459922179,0.18621500336053767,2011-03-31,False
RELIANCE,ONGC,RELIANCE,ONGC,2011-04-25,2011-04-26,2011-04-29,2011-05-02,window_end,1009.0,983.9,307.05,306.0,-2.806035163072347,0.15225079628725244,-1.326892183392547,0.31842366654112986,0.18971305324865653,2011-05-26,True
RELIANCE,GAIL,RELIANCE,GAIL,2011-04-26,2011-04-27,2011-04-29,2011-05-02,window_end,1005.0,983.9,486.0,477.0,-2.4185223772537303,1.6634940740740711,-0.3775141515898296,0.31901988969154227,0.18835777777777776,2011-05-26,True
ONGC,GAIL,GAIL,ONGC,2011-04-04,2011-04-05,2011-04-07,2011-04-08,reverted,460.9,475.0,301.75,293.8,2.7322870658711236,2.4469761623860724,2.589631614128598,0.32694487164243874,0.18765515492957743,2011-04-28,False
ONGC,GAIL,GAIL,ONGC,2011-04-27,2011-04-28,2011-04-29,2011-05-02,window_end,476.0,476.0,314.0,306.0,-0.3222452,2.360037579617834,1.0188961898089168,0.3222452,0.18773312101910825,2011-05-26,True
RELIANCE,ONGC,ONGC,RELIANCE,2011-05-24,2011-05-25,2011-05-31,2011-06-01,window_end,266.3,283.0,916.9,955.95,5.939243731956429,-4.452758715236136,0.7432425083601464,0.33187906188509203,0.19384280292289238,2011-06-30,True
RELIANCE,GAIL,GAIL,RELIANCE,2011-05-20,2011-05-23,2011-05-23,2011-05-24,reverted,422.0,435.0,919.4,915.65,2.753591070616107,0.2182208092234065,1.4859059399197567,0.32697764976303323,0.18965389166847943,2011-06-30,True
