symbol_a,symbol_b,long_symbol,short_symbol,signal_entry_date,entry_fill_date,signal_exit_date,exit_fill_date,exit_reason,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pct,short_net_pct,net_pnl_pct,long_cost_pct,short_cost_pct,short_contract_expiry,rolled_forward_at_entry
ASHOKLEY,SESAGOA,SESAGOA,ASHOKLEY,2005-02-16,2005-02-17,2005-02-28,,no_fill,,,,,,,,,,,False
ORIENTBANK,VIJAYABANK,VIJAYABANK,ORIENTBANK,2005-02-17,2005-02-18,2005-02-18,,no_fill,,,,,,,,,,,False
ORIENTBANK,VIJAYABANK,ORIENTBANK,VIJAYABANK,2005-02-23,2005-02-24,2005-02-28,,no_fill,,,,,,,,,,,False
AUROPHARMA,BILT,AUROPHARMA,BILT,2005-02-18,2005-02-21,2005-02-28,,no_fill,,,,,,,,,,,False
AUROPHARMA,CADILAHC,CADILAHC,AUROPHARMA,2005-03-03,2005-03-04,2005-03-17,,no_fill,,,,,,,,,,,False
HINDPETRO,IVRCLINFRA,HINDPETRO,IVRCLINFRA,2005-02-28,2005-03-01,2005-03-22,,no_fill,,,,,,,,,,,False
HINDPETRO,IVRCLINFRA,HINDPETRO,IVRCLINFRA,2005-03-31,2005-04-01,2005-03-31,,no_fill,,,,,,,,,,,False
APOLLOTYRE,STERLINBIO,APOLLOTYRE,STERLINBIO,2005-03-09,2005-03-10,2005-03-31,,no_fill,,,,,,,,,,,False
ANDHRABANK,INDUSINDBK,ANDHRABANK,INDUSINDBK,2005-04-07,2005-04-08,2005-04-21,,no_fill,,,,,,,,,,,False
BIRLAJUTE,GNFC,BIRLAJUTE,GNFC,2005-04-01,2005-04-04,2005-04-20,,no_fill,,,,,,,,,,,False
BEL,POLARIS,POLARIS,BEL,2005-03-31,2005-04-01,2005-04-08,,no_fill,,,,,,,,,,,False
BEL,POLARIS,POLARIS,BEL,2005-04-15,2005-04-18,2005-04-29,,no_fill,,,,,,,,,,,False
I-FLEX,TATAPOWER,TATAPOWER,I-FLEX,2005-05-02,2005-05-03,2005-05-12,,no_fill,,,,,,,,,,,False
INDHOTEL,NUCLEUS,INDHOTEL,NUCLEUS,2005-05-11,2005-05-12,2005-05-30,,no_fill,,,,,,,,,,,False
ACC,RIIL,ACC,RIIL,2005-06-03,2005-06-06,2005-06-16,,no_fill,,,,,,,,,,,False
ACC,RIIL,ACC,RIIL,2005-06-27,2005-06-28,2005-06-30,,no_fill,,,,,,,,,,,False
BPCL,SATYAMCOMP,BPCL,SATYAMCOMP,2005-06-06,2005-06-07,2005-06-27,,no_fill,,,,,,,,,,,False
NATIONALUM,ORIENTBANK,NATIONALUM,ORIENTBANK,2005-06-07,2005-06-08,2005-06-09,,no_fill,,,,,,,,,,,False
AUROPHARMA,REL,REL,AUROPHARMA,2005-07-20,2005-07-21,2005-07-29,,no_fill,,,,,,,,,,,False
IDBI,ONGC,IDBI,ONGC,2005-06-30,2005-07-01,2005-07-01,,no_fill,,,,,,,,,,,False
IDBI,ONGC,ONGC,IDBI,2005-07-08,2005-07-11,2005-07-21,,no_fill,,,,,,,,,,,False
HOTELEELA,WIPRO,WIPRO,HOTELEELA,2005-08-11,2005-08-12,2005-08-31,,no_fill,,,,,,,,,,,False
ALBK,BALRAMCHIN,BALRAMCHIN,ALBK,2005-09-08,2005-09-09,2005-09-19,,no_fill,,,,,,,,,,,False
ALBK,BALRAMCHIN,ALBK,BALRAMCHIN,2005-09-28,2005-09-29,2005-09-30,,no_fill,,,,,,,,,,,False
PNB,RANBAXY,RANBAXY,PNB,2005-09-09,2005-09-12,2005-09-30,,no_fill,,,,,,,,,,,False
BHUSANSTL,GLENMARK,BHUSANSTL,GLENMARK,2005-09-13,2005-09-14,2005-09-30,,no_fill,,,,,,,,,,,False
HCL-INSYS,MOSERBAER,MOSERBAER,HCL-INSYS,2005-10-25,2005-10-26,2005-10-31,,no_fill,,,,,,,,,,,False
AUROPHARMA,GUJALKALI,GUJALKALI,AUROPHARMA,2005-10-19,2005-10-20,2005-10-31,,no_fill,,,,,,,,,,,False
GAIL,ONGC,ONGC,GAIL,2005-10-24,2005-10-25,2005-10-31,,no_fill,,,,,,,,,,,False
INDIACEM,RIIL,INDIACEM,RIIL,2005-11-17,2005-11-18,2005-11-22,,no_fill,,,,,,,,,,,False
INDHOTEL,TATAMOTORS,TATAMOTORS,INDHOTEL,2005-10-31,2005-11-01,2005-11-11,,no_fill,,,,,,,,,,,False
INDHOTEL,TATAMOTORS,TATAMOTORS,INDHOTEL,2005-11-28,2005-11-29,2005-11-30,,no_fill,,,,,,,,,,,False
BAJAJHIND,MAHSEAMLES,MAHSEAMLES,BAJAJHIND,2005-12-13,2005-12-14,2005-12-29,,no_fill,,,,,,,,,,,False
NIITLTD,PETRONET,PETRONET,NIITLTD,2005-12-08,2005-12-09,2005-12-14,,no_fill,,,,,,,,,,,False
NIITLTD,PETRONET,NIITLTD,PETRONET,2005-12-28,2005-12-29,2005-12-30,,no_fill,,,,,,,,,,,False
