symbol_a,symbol_b,long_symbol,short_symbol,signal_entry_date,entry_fill_date,signal_exit_date,exit_fill_date,exit_reason,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pct,short_net_pct,net_pnl_pct,long_cost_pct,short_cost_pct,short_contract_expiry,rolled_forward_at_entry
GMDCLTD,IGL,IGL,GMDCLTD,2005-02-02,2005-02-03,2005-02-10,,no_fill,,,,,,,,,,,False
NUCLEUS,RAYMOND,NUCLEUS,RAYMOND,2005-02-07,2005-02-08,2005-02-21,,no_fill,,,,,,,,,,,False
APTECHT,GLENMARK,APTECHT,GLENMARK,2005-03-01,2005-03-02,2005-03-22,,no_fill,,,,,,,,,,,False
CORPBANK,SCI,SCI,CORPBANK,2005-03-01,2005-03-02,2005-03-07,,no_fill,,,,,,,,,,,False
CORPBANK,SCI,SCI,CORPBANK,2005-03-31,2005-04-01,2005-03-31,,no_fill,,,,,,,,,,,False
BHARATFORG,RAYMOND,RAYMOND,BHARATFORG,2005-03-07,2005-03-08,2005-03-09,,no_fill,,,,,,,,,,,False
PRISMCEM,TATAMOTORS,TATAMOTORS,PRISMCEM,2005-04-04,2005-04-05,2005-04-08,,no_fill,,,,,,,,,,,False
PRISMCEM,TATAMOTORS,PRISMCEM,TATAMOTORS,2005-04-20,2005-04-21,2005-04-29,,no_fill,,,,,,,,,,,False
GRASIM,TATACHEM,GRASIM,TATACHEM,2005-04-05,2005-04-06,2005-04-20,,no_fill,,,,,,,,,,,False
HEROHONDA,UNIONBANK,UNIONBANK,HEROHONDA,2005-04-28,2005-04-29,2005-04-29,,no_fill,,,,,,,,,,,False
HINDPETRO,SBIN,HINDPETRO,SBIN,2005-05-19,2005-05-20,2005-05-23,,no_fill,,,,,,,,,,,False
HINDPETRO,SBIN,HINDPETRO,SBIN,2005-05-25,2005-05-26,2005-05-30,,no_fill,,,,,,,,,,,False
MRPL,SBIN,SBIN,MRPL,2005-04-29,2005-05-02,2005-05-05,,no_fill,,,,,,,,,,,False
MRPL,SBIN,MRPL,SBIN,2005-05-18,2005-05-19,2005-05-31,,no_fill,,,,,,,,,,,False
IGL,KOTAKBANK,IGL,KOTAKBANK,2005-05-31,2005-06-01,2005-06-15,,no_fill,,,,,,,,,,,False
ONGC,REL,ONGC,REL,2005-06-06,2005-06-07,2005-06-27,,no_fill,,,,,,,,,,,False
M&M,NATIONALUM,M&M,NATIONALUM,2005-07-15,2005-07-18,2005-07-29,,no_fill,,,,,,,,,,,False
FEDERALBNK,MRPL,MRPL,FEDERALBNK,2005-07-01,2005-07-04,2005-07-18,,no_fill,,,,,,,,,,,False
BAJAJAUTO,LICHSGFIN,LICHSGFIN,BAJAJAUTO,2005-07-29,2005-08-01,2005-07-29,,no_fill,,,,,,,,,,,False
