symbol,strategy,leg,entry_date,exit_date,own_return_pct,nifty_window_return_pct,sector_peer_return_pct,excess_vs_nifty_pct,excess_vs_sector_pct,nifty_trailing_63d_return_pct,stress_composite_at_entry
TATAELXSI,delivery_breakout,long,2021-06-29,2021-07-01,13.97499398264578,-0.4346459492839072,3.0423810609776636,14.409639931929686,10.932612921668117,9.937591187373052,31.812169312169313
TATAELXSI,delivery_breakout,long,2021-09-17,2021-09-20,12.837953038738824,-1.0705055117528173,-1.480822717646704,13.908458550491641,14.318775756385529,12.068712798093228,47.75132275132275
TATAELXSI,delivery_breakout,long,2022-03-21,2022-03-28,19.8480823986945,0.6098985839136484,0.340478299927959,19.238183814780854,19.507604098766542,0.7795021548171244,82.01058201058201
TATAELXSI,delivery_breakout,long,2022-05-24,2022-06-02,0.2466469503023186,3.118420603839356,5.08311682994296,-2.871773653537037,-4.836469879640641,-6.81581775943968,78.9021164021164
TATAELXSI,delivery_breakout,long,2022-07-22,2022-08-02,5.378410458163258,3.7441423013316877,2.0206787434989395,1.6342681568315705,3.3577317146643186,-1.3831584969874244,58.73015873015873
IRCTC,delivery_breakout,long,2021-02-05,2021-02-12,13.04015133152549,1.6017555321037769,28.089255129295367,11.438395799421713,-15.049103797769877,25.324348154679434,22.817460317460316
IRCTC,delivery_breakout,long,2021-05-28,2021-06-08,10.188036072474064,1.9723821154276067,2.8364993540360706,8.215653957046458,7.351536718437994,5.178287918123159,21.36243386243386
IRCTC,delivery_breakout,long,2021-07-14,2021-07-26,1.9793102806257927,-0.18607350218715624,,2.165383782812949,,9.301403673266794,37.03703703703703
IRCTC,delivery_breakout,long,2021-10-05,2021-10-08,18.30903149675248,0.40903811517032374,-78.89733343780199,17.899993381582156,97.20636493455447,12.554667542399912,59.126984126984134
IRCTC,delivery_breakout,long,2022-10-25,2022-11-04,0.9893104478949064,2.609825926649645,-0.3194088418877383,-1.6205154787547384,1.3087192897826447,5.603653230219874,62.6984126984127
ABFRL,delivery_breakout,long,2021-01-12,2021-01-21,11.891741584085496,0.18470898035836125,,11.707032603727136,,22.06446259518311,30.886243386243383
