year,stock_days,symbols,pct_usable,median_price,p05_price,median_quantum_pct
2000,919,4,75.95212187159956,20.6,3.145,0.04854368932038835
2001,992,4,75.3024193548387,17.175,3.15,0.058852756741938794
2002,1004,4,97.01195219123505,22.2,5.45,0.04504504504504504
2003,28355,120,85.23364485981308,19.15,1.27,0.052219321148825076
2004,28216,127,91.31343918344201,34.765,2.99,0.028764562654537643
2005,32077,131,95.01511986781806,45.97,5.0,0.021753317380900587
2006,33604,141,96.69087013450779,61.62,8.416000000000004,0.01622849724115547
2007,37891,159,97.96521601435697,82.55,9.79,0.012113870381586919
2008,40151,165,97.6887250628876,72.45,10.3,0.013802622498274674
2009,40178,169,97.33436208870526,71.275,8.95,0.014030164923481421
2010,44389,181,99.16195453828651,119.4,21.15,0.008375209380234507
2011,45034,187,98.99853444064485,118.8,16.0,0.008417508417508417
2012,46717,191,98.74563863261767,113.15,13.0,0.008837825894829872
2013,47367,191,98.8705216712057,111.3,10.65,0.008984725965858042
2014,46413,191,99.722060629565,154.76,17.7,0.006461617989144482
2015,47894,200,99.55317993903203,173.9,20.25,0.005750431282346176
2016,49327,208,99.47695987998459,186.84,24.05,0.005352172982230786
2017,51987,220,99.81918556562218,257.0,31.743000000000002,0.0038910505836575876
2018,54878,231,99.83417763038011,288.0,29.9,0.003472222222222222
2019,56927,236,99.24815992411334,269.6,19.25,0.0037091988130563795
2020,60509,244,98.78034672528054,268.5,15.612000000000004,0.0037243947858473002
2021,61562,256,99.82131834573276,442.5,29.3,0.0022598870056497176
2022,63753,261,100.0,501.5,35.9,0.0019940179461615153
2023,64601,267,100.0,566.0,55.35,0.0017667844522968198
2024,67188,279,100.0,850.4749999999999,102.79350000000001,0.001175813525120401
2025,70308,294,100.0,882.275,100.7435,0.0011334334541984298
2026,44394,294,100.0,868.25,105.67500000000001,0.001151742009789807
