label,n_trades,mean_net_pct,t_stat,n_buckets,placebo_mean,placebo_max,beats_best_placebo,percentile_vs_placebos,signal,split
UNGATED (baseline),20499,-0.9716821472524911,-0.8246089970331484,616,-0.6157137990487384,-0.5701476925210732,False,0.0,mean_reversion,primary
CALM-TERCILE-GATED,2398,-0.3498550028272812,-1.0667221077539084,147,0.051301587774672384,0.2444560045143168,False,0.0,mean_reversion,primary
STRESSED-TERCILE-GATED,6833,-0.7886431844406326,-0.3398870973319529,134,-0.7636165855147051,-0.7056231870556511,False,30.0,mean_reversion,primary
UNGATED (baseline),2194,0.07686752968880094,-1.9481130415670311,170,0.3684503256722625,0.6131070798090048,False,0.0,delivery_breakout,delivery
CALM-TERCILE-GATED,1421,0.29573931432048983,-0.6947068793049267,93,0.5694201017441483,0.8348282389236518,False,3.3333333333333335,delivery_breakout,delivery
STRESSED-TERCILE-GATED,464,-1.0209170929953648,-2.169273761025203,61,-0.8367217277542379,-0.4027297635281143,False,16.666666666666664,delivery_breakout,delivery
UNGATED (baseline),2448,-0.6272720050426498,-4.524196006424618,328,0.3204440014019265,0.5218685987401855,False,0.0,oi_momentum,primary
CALM-TERCILE-GATED,737,-0.611989092197854,-1.914512310580067,112,0.16067285531643236,0.4813235791021409,False,0.0,oi_momentum,primary
STRESSED-TERCILE-GATED,284,-1.7092483263758815,-3.571227386303171,73,-1.0958200816757375,-0.3246977682575877,False,10.0,oi_momentum,primary
UNGATED (baseline),2916,-0.5152768107504366,1.999294167646228,125,-0.20979496359112573,-0.07866122987068781,False,0.0,participant_tilt,delivery
CALM-TERCILE-GATED,1043,0.3837105499929441,2.202063027089716,74,0.22505189474961157,0.5261910534347358,False,93.33333333333333,participant_tilt,delivery
STRESSED-TERCILE-GATED,1729,-1.21704517539715,-0.07600731202298884,39,-0.9447274747740793,-0.7731110694621085,False,0.0,participant_tilt,delivery
UNGATED (baseline),4792,-0.3819995458716935,-5.984968856407491,558,0.25077383151568383,0.38039549520688887,False,0.0,vol_squeeze_breakout,primary
CALM-TERCILE-GATED,1285,0.2503891768181226,-1.2587010728856234,141,0.5095908460755081,0.7616233279057419,False,0.0,vol_squeeze_breakout,primary
STRESSED-TERCILE-GATED,597,-1.4818578677813032,-4.404690611116046,111,-0.9780962927952733,-0.3718736223567692,False,0.0,vol_squeeze_breakout,primary
UNGATED (baseline),8807,-0.590941119880795,-6.170574796786849,618,0.046403070630185,0.19005582252559697,False,0.0,price_action_long,primary
CALM-TERCILE-GATED,2025,0.3927281052016456,-0.6825296935208074,150,0.5413030377592079,0.8558800012514532,False,13.333333333333334,price_action_long,primary
STRESSED-TERCILE-GATED,1260,-1.5745263083223295,-3.196562804794559,125,-0.9088077168315676,-0.5691173578937112,False,0.0,price_action_long,primary
