variant,window,sector,n_trades,mean_net_pct,win_rate_pct,t_stat,n_buckets
random,train,Oil & Gas,309,0.6487036904795923,57.28155339805825,3.245032393430344,219
random,train,Cement,265,0.5858666541504135,64.52830188679245,4.779029909708509,196
random,train,Chemicals,173,0.5643732768691844,62.42774566473989,1.459660001428521,130
random,train,Auto,281,0.395631161243927,61.92170818505338,2.192108556102362,206
random,train,Metals,274,0.37128347372800796,59.12408759124088,1.7721800465518662,206
random,train,FMCG,209,0.3573338243911992,62.67942583732058,1.6124860969781798,156
random,train,Banking,298,0.2801580982565996,57.71812080536913,0.615851430049752,210
random,train,IT,283,0.2542094154120258,57.59717314487632,1.3253022171795226,208
random,train,Logistics,26,0.20526479927597038,65.38461538461539,0.1843901341710242,25
random,train,Financial Services,234,0.17147760946972215,60.68376068376068,0.6461702498985675,171
random,train,Telecom,213,0.03301786688890135,59.154929577464785,0.6282498947884978,156
random,train,Power,279,0.026238277316204345,59.49820788530465,0.39391295845568963,212
random,train,Pharma,242,-0.0395564587867981,59.09090909090909,-0.439001568404436,190
random,train,Capital Goods,242,-0.05499527042263225,54.54545454545454,-0.11188971771583464,180
random,train,Consumer Durables,77,-0.13280807920471852,63.63636363636363,-0.19056473705657104,73
random,val,Insurance,55,0.85025693496518,72.72727272727273,2.7077180353761947,37
random,val,Logistics,54,0.7944112652155584,68.51851851851852,2.0005897647490185,54
random,val,Retail,34,0.759322400799336,67.64705882352942,1.4706153607823271,33
random,val,Realty,39,0.4881887802426652,64.1025641025641,0.8432631653270116,34
random,val,Chemicals,143,0.4390811468374727,58.74125874125874,0.6421873309873891,106
random,val,Power,134,0.3886556706378685,64.92537313432835,1.0592872562835298,101
random,val,Capital Goods,129,0.38844519956911594,53.48837209302325,0.6470810642114053,95
random,val,Consumer Durables,66,0.3788202134351797,66.66666666666666,1.107510097047182,60
random,val,Oil & Gas,157,0.3690470691957385,61.146496815286625,1.1449117268464453,120
random,val,IT,124,0.36574774995683706,57.25806451612904,0.9251945668415983,96
random,val,Cement,160,0.18506205860292352,58.12500000000001,1.270238734544724,119
random,val,FMCG,145,0.07176577419826739,62.758620689655174,-0.0699451323704907,108
random,val,Banking,140,0.04158033871023692,60.0,0.1791230326604107,107
random,val,Pharma,138,-0.026286255162883188,57.2463768115942,0.3783241076790323,104
random,val,Auto,164,-0.04452703662717942,60.36585365853659,-0.5014914695325089,121
random,val,Metals,154,-0.8568438808915945,49.35064935064935,-2.095381214052284,115
random,val,Financial Services,122,-0.9077586910762834,51.63934426229508,-2.267184794193713,94
random,val,Telecom,110,-1.0213460789879616,49.09090909090909,-1.1403562283794069,74
liquidity,train,Oil & Gas,313,0.6262722717460527,60.063897763578275,2.721841396406727,209
liquidity,train,Financial Services,293,0.5840859031982207,60.40955631399317,1.3933589774061543,201
liquidity,train,Pharma,284,0.5701992085539876,67.25352112676056,4.166736755588838,191
liquidity,train,Chemicals,169,0.502478502788155,59.76331360946746,1.3071682819801271,133
liquidity,train,Cement,302,0.47285000643174385,60.9271523178808,4.0500154293829125,204
liquidity,train,FMCG,276,0.3304879770354763,59.78260869565217,2.454904439373308,187
liquidity,train,IT,291,0.2749161934238824,60.824742268041234,2.1314013913687764,201
liquidity,train,Capital Goods,278,0.2684545829497202,60.431654676258994,1.4308557960812138,202
liquidity,train,Banking,305,0.24786699405660634,60.983606557377044,1.603809366571367,203
liquidity,train,Logistics,26,0.20526479927597038,65.38461538461539,0.1843901341710242,25
liquidity,train,Metals,291,0.04052863235375447,58.4192439862543,0.4830307219308832,199
liquidity,train,Telecom,213,0.03301786688890142,59.154929577464785,0.6282498947884978,156
liquidity,train,Auto,309,-0.090233699741876,56.310679611650485,0.17003601960143666,199
liquidity,train,Consumer Durables,77,-0.13280807920471852,63.63636363636363,-0.19056473705657104,73
liquidity,train,Power,274,-0.6450259036415508,49.27007299270073,-1.2768884772525504,188
liquidity,val,Banking,166,0.9981682496754555,59.63855421686747,1.4762363149800934,102
liquidity,val,Insurance,55,0.85025693496518,72.72727272727273,2.7077180353761947,37
liquidity,val,Logistics,54,0.7944112652155584,68.51851851851852,2.0005897647490185,54
liquidity,val,Retail,34,0.7593224007993361,67.64705882352942,1.4706153607823271,33
liquidity,val,Oil & Gas,169,0.5332500228165514,56.80473372781065,1.296309962782879,103
liquidity,val,Power,168,0.4324665451685598,64.28571428571429,2.3302599845540772,108
liquidity,val,Realty,41,0.4101176748129436,63.41463414634146,0.740613731366071,36
liquidity,val,Consumer Durables,80,0.19340193372846995,65.0,0.7274286248211881,70
liquidity,val,Chemicals,153,0.05404528659385818,58.16993464052288,-0.06622421077177998,107
liquidity,val,Cement,170,0.008197585181345111,57.05882352941176,0.27617616081084106,112
liquidity,val,Pharma,163,-0.02262108848029511,55.21472392638037,0.07487427449743402,102
liquidity,val,FMCG,155,-0.055933569611424774,49.67741935483871,-0.13368636399447753,108
liquidity,val,Metals,160,-0.06502790631352946,60.62499999999999,1.055733551048437,106
liquidity,val,Financial Services,167,-0.21852740703439644,57.48502994011976,-1.2703733740313308,109
liquidity,val,Auto,154,-0.23067113931820582,53.896103896103895,-0.7909051475478386,112
liquidity,val,IT,152,-0.23862811922856447,47.368421052631575,-0.9349646514148554,102
liquidity,val,Capital Goods,150,-0.5994479235978062,49.333333333333336,-1.2375400648699417,95
liquidity,val,Telecom,110,-1.0213460789879614,49.09090909090909,-1.1403562283794069,74
