delay,n_trades,mean_net_pct,t_stat,stop_pct,hit_pct,placebo_stop_pct,placebo_hit_pct,percentile_vs_placebos,beats_best_placebo
0,4792,-0.3819995458716935,-5.984968856407491,20.589498500870576,12.44472520530638,11.985445844239507,13.461391950253166,0.0,False
1,4789,-0.022604599048472413,-2.5674701407269818,15.760838196796257,13.096960926193923,12.426833333568183,12.801217694678082,0.0,False
2,4802,0.0773770804724346,-1.7651134564207416,14.087920314202677,12.838360402165506,13.548882247977517,11.779968060510658,43.333333333333336,False
3,4805,0.14734930979734107,-2.088134946321159,14.864292383181223,11.462450592885375,13.844195831629762,11.766507451161006,70.0,False
