hypothesis_id,n_trades,win_rate_pct,avg_winner_pct,avg_loser_pct,profit_factor,gross_expectancy_pct,net_expectancy_pct,avg_holding_days,costs_pct_of_abs_gross,max_drawdown_pct,cagr_pct,sharpe,long_only_result_pct,short_only_result_pct,bull_result_pct,bear_result_pct,sideways_result_pct,is_pairs,title,split,window,decision,t_stat,beats_best_placebo,n_buckets
5d7650b1840e,20499,45.39245816869116,6.680597062312176,-7.332630695135218,0.7573324061869511,-0.6504361641992745,-0.9716821472524911,8.559441923996292,49.38931762022944,-75.33649575763526,-9.489255865838064,-0.7610893260357384,-0.9716821472524911,,-0.9685564054823684,-0.5053567352043026,-1.4531210470342966,False,mean_reversion re-test (honest execution),primary,train,rejected,-0.8246089970331484,False,616
61fcd3023c4b,2194,47.03737465815861,4.879646684291631,-4.188595540492026,1.034650139981717,0.39972680039246067,0.07686752968880095,8.792160437556973,80.76998349539468,-25.876927070616475,0.3844772855388978,0.08823986468846154,0.07686752968880095,,0.410759055551996,-0.5265243635168315,-0.3741508154029043,False,delivery_breakout (honest execution),delivery,train,rejected,-1.9481130415670311,False,170
80aff81a749e,2448,41.66666666666667,6.693687583197261,-5.856528853785444,0.8163889457283349,-0.3054961161191309,-0.6272720050426498,8.529411764705882,105.32896228312094,-73.54413160409717,-9.062671159932778,-0.73922842499511,-0.6272720050426498,,-0.11039350669494294,-2.655346361059076,-0.7276312237777331,False,oi_momentum (honest execution),primary,train,rejected,-4.524196006424618,False,328
ee447825d3a7,2916,48.25102880658436,6.564023663501205,-7.116055980579502,0.8600736447054824,-0.19332860718333567,-0.5152768107504366,8.844993141289438,166.5290037815222,-38.04420865052853,0.2600366935914922,0.0724671875362809,-0.5152768107504366,,0.07176723231585957,-0.9493182342956301,-0.6740020119876509,False,participant_tilt (honest execution),delivery,train,rejected,1.999294167646228,False,125
663cebb9f054,4792,43.34307178631052,6.275519133110697,-5.4750626384118135,0.87685388086257,-0.059846283288083994,-0.3819995458716935,8.424457429048415,538.3012024871283,-70.16923393681286,-8.313774526819827,-0.5639643827156027,-0.3819995458716935,,-0.3984482764726455,-1.5627288363634735,-0.08665359377711301,False,vol_squeeze_breakout (honest execution),primary,train,rejected,-5.984968856407491,False,558
e39de46a0f24,4802,46.52228238234069,6.133841666542434,-5.191369759590018,1.027871318396126,0.40023713516564163,0.07737708047243456,8.920658059142024,80.66719110399102,-78.17466772486335,-7.205966486071469,-0.2760040981703067,0.07737708047243456,,0.26964120998148344,-0.6721264885302729,-0.13291992628360058,False,"vol_squeeze_breakout (delay=2, honest execution)",primary,train,rejected,-1.7651134564207416,False,550
ddc14822fb70,8807,42.64789372090383,6.86552781061459,-6.1356842010410935,0.8320686265342883,-0.26910933263443065,-0.590941119880795,8.443397297604179,119.59146273219517,-73.10973441645963,-9.450545674640122,-0.8714594609293373,-0.590941119880795,,-0.17869505191149218,-1.8272716422320314,-0.7490381383053965,False,price_action LONG (honest execution),primary,train,rejected,-6.170574796786849,False,618
0b11b017cef9,216,61.111111111111114,1.4702089985921794,-1.8576490960382326,1.243683982774963,0.6888481196325452,0.1760419617914634,9.453703703703704,74.4440092417803,,,,0.21816300235313282,0.13392092122979393,0.4340250513819748,-0.18109109534342532,0.07570929135251121,True,pairs_reversion (honest fills + costs),primary,train,rejected,0.5776570522850745,False,154
c55019a896e7,3409,59.753593429158116,2.3942892591452667,-2.872085685519932,1.2377021417087788,0.7871377289817256,0.274762587370361,9.724259313581696,65.09345477241887,,,,0.11388711526731253,0.43563805947340956,0.3624624795582516,0.5407322306944075,0.03497819158092776,True,same_sector_pairing (random draw),primary,train,accepted,3.4913311580438458,True,470
1d82fec2bbbc,3705,59.70310391363023,2.1765350077243504,-2.6211079684444543,1.2302859404735358,0.7552956935270883,0.24323380302258918,9.839946018893388,67.79621476633433,,,,-0.03795781824837806,0.5244254242935564,0.3275320443191653,0.5006136172935678,0.022332387450539625,True,same_sector_pairing (liquidity-ranked),primary,train,accepted,3.703167914004793,True,469
