date,yield_pct
2011-11-01,8.8689666667
2011-12-01,8.55358
2012-01-01,8.614225
2012-02-01,8.917875
2012-03-01,9.02266
2012-04-01,8.572475
2012-05-01,8.4155
2012-06-01,8.28594
2012-07-01,8.206575
2012-08-01,8.23584
2012-09-01,8.133475
2012-10-01,8.09175
2012-11-01,8.16898
2012-12-01,8.17525
2013-01-01,8.02915
2013-02-01,7.977
2013-03-01,8.1022
2013-04-01,7.7581
2013-05-01,7.3854
2013-06-01,7.4353
2013-07-01,8.6662
2013-08-01,11.33402
2013-09-01,10.517525
2013-10-01,9.022925
2013-11-01,8.8048
2013-12-01,8.687475
2014-01-01,8.75446
2014-02-01,9.0856
2014-03-01,9.1275
2014-04-01,8.8875
2014-05-01,8.76574
2014-06-01,8.55145
2014-07-01,8.5724
2014-08-01,8.63724
2014-09-01,8.582875
2014-10-01,8.46986
2014-11-01,8.2901
2014-12-01,8.29015
2015-01-01,8.30268
2015-02-01,8.32145
2015-03-01,8.279675
2015-04-01,7.8658
2015-05-01,7.92696
2015-06-01,7.6851
2015-07-01,7.51024
2015-08-01,7.3937
2015-09-01,7.4353
2015-10-01,7.0778
2015-11-01,7.1339
2015-12-01,7.196225
2016-01-01,5.79854
2016-02-01,5.514075
2016-03-01,7.258525
2016-04-01,6.91176
2016-05-01,6.708575
2016-06-01,6.801725
2016-07-01,6.60484
2016-08-01,6.5634
2016-09-01,6.5385
2016-10-01,6.36665
2016-11-01,6.1289
2016-12-01,6.11642
2017-01-01,6.2425
2017-02-01,6.1598
2017-03-01,5.9263
2017-04-01,6.0358
2017-05-01,6.4073
2017-06-01,6.28178
2017-07-01,6.201175
2017-08-01,6.13915
2017-09-01,6.09984
2017-10-01,6.08745
2017-11-01,6.1081
2017-12-01,6.16602
2018-01-01,6.3356
2018-02-01,6.377925
2018-03-01,6.2322
2018-04-01,6.128775
2018-05-01,6.304575
2018-06-01,6.48878
2018-07-01,6.553
2018-08-01,6.76234
2018-09-01,7.019675
2018-10-01,6.988525
2018-11-01,6.8702
2018-12-01,6.666975
2019-01-01,6.63585
2019-02-01,6.48055
2019-03-01,6.3563
2019-04-01,6.304575
2019-05-01,6.37288
2019-06-01,6.004775
2019-07-01,5.829275
2019-08-01,5.48894
2019-09-01,5.344725
2019-10-01,5.18005
2019-11-01,5.02596
2019-12-01,4.98035
2020-01-01,5.0745
2020-02-01,5.0875
2020-03-01,4.984025
2020-04-01,4.1341
2020-05-01,3.42324
2020-06-01,3.311025
2020-07-01,3.2174
2020-08-01,3.23405
2020-09-01,3.27515
2020-10-01,3.25342
2020-11-01,3.055575
2020-12-01,3.0983
2021-01-01,3.21354
2021-02-01,3.264625
2021-03-01,3.27135
2021-04-01,3.33488
2021-05-01,3.37055
2021-06-01,3.438275
2021-07-01,3.42586
2021-08-01,3.348625
2021-09-01,3.3057
2021-10-01,3.46616
2021-11-01,3.56
2021-12-01,3.58154
2022-01-01,3.630025
2022-02-01,3.786225
2022-03-01,3.77975
2022-04-01,3.9255
2022-05-01,4.6956
2022-06-01,5.02425
2022-07-01,5.31202
2022-08-01,5.578275
2022-09-01,5.80714
2022-10-01,6.287125
2022-11-01,6.45805
2022-12-01,6.38934
2023-01-01,6.41075
2023-02-01,6.693325
2023-03-01,6.875175
2023-04-01,6.812025
2023-05-01,6.86335
2023-06-01,6.76382
2023-07-01,6.723425
2023-08-01,6.800625
2023-09-01,6.83792
2023-10-01,6.89355
2023-11-01,6.93485
2023-12-01,6.9534
2024-01-01,6.9638
2024-02-01,7.032125
2024-03-01,6.92498
2024-04-01,6.88555
2024-05-01,6.93736
2024-06-01,6.829325
2024-07-01,6.747925
2024-08-01,6.63938
2024-09-01,6.63815
2024-10-01,6.458775
2024-11-01,6.46916
2024-12-01,6.4745
2025-01-01,6.59302
2025-02-01,6.4538666667
2025-03-01,6.501125
2025-04-01,6.042975
2025-05-01,5.79088
2025-06-01,5.428975
2025-07-01,5.38235
2025-08-01,5.46808
2025-09-01,5.49675
2025-10-01,5.4531
2025-11-01,5.4064
2025-12-01,5.288525
2026-01-01,5.411075
2026-02-01,5.32
2026-03-01,5.32
2026-04-01,5.24
2026-05-01,5.39
2026-06-01,5.34
