symbol,signal_date,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,shares,gross_pnl_pct,net_pnl_pct,cost_pct
AMBUJACEM,2021-10-11,2021-10-12,402.85,,,2021-11-12,424.0,time,21,24,5.250093086756857,4.919782557254561,0.33031052950229617
ASIANPAINT,2021-10-11,2021-10-12,3280.0,,,2021-11-12,3089.0,time,21,3,-5.823170731707316,-6.136470225426828,0.3132994937195122
ASTRAL,2021-10-11,2021-10-12,2271.0,,,2021-11-12,2350.0,time,21,4,3.4786437692646333,3.1510545862615507,0.3275891830030824
BAJFINANCE,2021-10-11,2021-10-12,7810.0,,,2021-11-12,7500.0,time,21,1,-3.969270166453265,-4.285417670422535,0.31614750396927016
BHARTIARTL,2021-10-11,2021-10-12,691.0,,,2021-11-12,733.0,time,21,14,6.078147612156304,5.746565003762671,0.3315826083936325
CHOLAFIN,2021-10-11,2021-10-12,571.75,,,2021-11-12,644.9,time,21,17,12.79405334499344,12.452153587599474,0.3418997573939659
COFORGE,2021-10-11,2021-10-12,5378.5,,,2021-11-12,5431.0,time,21,1,0.9761085804592451,0.6523638570791205,0.3237447233801246
CONCOR,2021-10-11,2021-10-12,687.6,,,2021-11-12,688.0,time,21,14,0.05817335660267542,-0.2641612108202449,0.3223345674229203
DIVISLAB,2021-10-11,2021-10-12,5185.2,,,2021-11-12,4895.45,time,21,1,-5.588019748515006,-5.901680487288823,0.31366073877381784
DMART,2021-10-11,2021-10-12,4780.0,,,2021-11-12,5044.95,time,21,2,5.54288702928869,5.212126702119234,0.3307603271694561
GODREJCP,2021-10-11,2021-10-12,1020.65,,,2021-11-12,957.8,time,21,9,-6.157840591779751,-6.470625956958803,0.3127853651790526
HDFCBANK,2021-10-11,2021-10-12,1625.0,,,2021-11-12,1550.0,time,21,6,-4.61538461538461,-4.930539541538455,0.31515492615384616
HDFCLIFE,2021-10-11,2021-10-12,716.9,,,2021-11-12,708.85,time,21,13,-1.122890221788253,-1.4434104086343962,0.3205201868461432
HINDUNILVR,2021-10-11,2021-10-12,2625.0,,,2021-11-12,2388.0,time,21,3,-9.02857142857143,-9.336946702400002,0.3083752738285715
ICICIBANK,2021-10-11,2021-10-12,706.5,,,2021-11-12,772.7,time,21,14,9.370134465675871,9.033494621486204,0.33663984418966747
INDIAMART,2021-10-11,2021-10-12,8799.95,,,2021-11-12,7551.0,time,21,1,-14.192694276672036,-14.493136290714162,0.30044201404212517
INFY,2021-10-11,2021-10-12,1677.0,,,2021-11-12,1743.0,time,21,5,3.9355992844364973,3.6073081144901646,0.3282911699463328
KOTAKBANK,2021-10-11,2021-10-12,1980.0,,,2021-11-12,2068.0,time,21,5,4.444444444444451,4.11537157333334,0.3290728711111111
LT,2021-10-11,2021-10-12,1710.5,,,2021-11-12,1940.0,time,21,5,13.417129494299918,13.074272551125407,0.3428569431745104
M&M,2021-10-11,2021-10-12,888.0,,,2021-11-12,934.0,time,21,11,5.180180180180183,4.849977052702705,0.33020312747747743
MARUTI,2021-10-11,2021-10-12,7687.9,,,2021-11-12,7530.0,time,21,1,-2.0538768714473354,-2.3729668523966194,0.3190899809492839
MPHASIS,2021-10-11,2021-10-12,3126.0,,,2021-11-12,3405.0,time,21,3,8.925143953934732,8.589187715738955,0.3359562381957773
NAUKRI,2021-10-11,2021-10-12,6632.25,,,2021-11-12,6169.0,time,21,1,-6.984809076859289,-7.296324031550382,0.3115149546910928
PIDILITIND,2021-10-11,2021-10-12,2474.0,,,2021-11-12,2490.0,time,21,4,0.6467259498787348,0.32348723265965634,0.32323871721907843
PIIND,2021-10-11,2021-10-12,3265.0,,,2021-11-12,2769.9,time,21,3,-15.163859111791734,-15.462809197163862,0.2989500853721287
