symbol,check,count
SRF,flat_ohlc,1
STARHEALTH,flat_ohlc,52
SUPREMEIND,flat_ohlc,8
SUZLON,flat_ohlc,78
SWANCORP,flat_ohlc,3
TATACOMM,flat_ohlc,7
TATAINVEST,flat_ohlc,830
TIINDIA,flat_ohlc,1
ULTRACEMCO,flat_ohlc,1
VEDL,flat_ohlc,468
WELCORP,flat_ohlc,3
WHIRLPOOL,flat_ohlc,1
WOCKPHARMA,flat_ohlc,14
YESBANK,flat_ohlc,5
ZENSARTECH,flat_ohlc,1
ZYDUSLIFE,flat_ohlc,1
