symbol,first,last,rows,span_days,gap_rate
BRIGADE,2007-12-31,2026-08-13,4597,4597,0.0
BRITANNIA,2003-01-27,2026-08-13,5804,5804,0.0
BSE,2017-02-03,2026-08-13,2357,2357,0.0
CAMS,2020-10-05,2026-08-13,1453,1453,0.0
CANBK,2003-01-01,2026-08-13,5822,5822,0.0
CASTROLIND,2007-08-16,2026-08-13,4691,4691,0.0
CDSL,2017-06-30,2026-08-13,2258,2258,0.0
CESC,2003-01-27,2026-08-13,5804,5804,0.0
CGCL,2010-10-29,2026-08-13,3901,3901,0.0
CGPOWER,2003-01-27,2026-08-13,5804,5804,0.0
CHAMBLFERT,2003-01-27,2026-08-13,5804,5804,0.0
CHOLAFIN,2003-01-27,2026-08-13,5804,5804,0.0
CHOLAHLDNG,2017-09-25,2026-08-13,2199,2199,0.0
CIPLA,2003-01-27,2026-08-13,5804,5804,0.0
COALINDIA,2010-11-04,2026-08-13,3897,3897,0.0
COCHINSHIP,2017-08-11,2026-08-13,2228,2228,0.0
COFORGE,2004-08-30,2026-08-13,5427,5427,0.0
COHANCE,2015-01-01,2026-08-13,1615,2873,0.4378698224852071
COLPAL,2003-01-27,2026-08-13,5804,5804,0.0
CONCOR,2003-01-27,2026-08-13,5804,5804,0.0
COROMANDEL,2003-01-27,2026-08-13,5804,5804,0.0
CREDITACC,2018-08-23,2026-08-13,1973,1973,0.0
CROMPTON,2016-05-13,2026-08-13,2538,2538,0.0
CUB,2003-01-27,2026-08-13,5804,5804,0.0
CUMMINSIND,2003-01-27,2026-08-13,5804,5804,0.0
DABUR,2003-01-27,2026-08-13,5804,5804,0.0
DATAPATTNS,2021-12-24,2026-08-13,1149,1149,0.0
DEEPAKFERT,2003-01-27,2026-08-13,5804,5804,0.0
DELHIVERY,2016-01-18,2026-08-13,1056,2615,0.5961759082217973
DEVYANI,2021-08-16,2026-08-13,1238,1238,0.0
DIVISLAB,2003-03-12,2026-08-13,5773,5773,0.0
DIXON,2017-09-18,2026-08-13,2204,2204,0.0
DLF,2007-07-05,2026-08-13,4720,4720,0.0
DMART,2017-03-21,2026-08-13,2327,2327,0.0
DRREDDY,2003-01-01,2026-08-13,5822,5822,0.0
EICHERMOT,2003-01-27,2026-08-13,5804,5804,0.0
ENRIN,2025-06-19,2026-08-13,285,285,0.0
EXIDEIND,2003-01-27,2026-08-13,5804,5804,0.0
FEDERALBNK,2000-01-04,2026-08-13,6570,6570,0.0
FIRSTCRY,2024-08-13,2026-08-13,496,496,0.0
FIVESTAR,2022-11-21,2026-08-13,925,925,0.0
FORCEMOT,2019-08-20,2026-08-13,1656,1732,0.04387990762124716
FORTIS,2007-05-09,2026-08-13,4761,4761,0.0
FSL,2007-02-22,2026-08-13,4811,4811,0.0
GAIL,2003-01-27,2026-08-13,5804,5804,0.0
GESHIP,2003-01-27,2026-08-13,5804,5804,0.0
GLAND,2020-11-20,2026-08-13,1419,1419,0.0
GLENMARK,2003-01-27,2026-08-13,5804,5804,0.0
GMDCLTD,2003-01-27,2026-08-13,5804,5804,0.0
GMRAIRPORT,2006-08-21,2026-08-13,4936,4936,0.0
GODFRYPHLP,2003-01-27,2026-08-13,5804,5804,0.0
GODREJCP,2003-01-01,2026-08-13,5822,5822,0.0
GODREJPROP,2010-01-05,2026-08-13,4107,4107,0.0
GPIL,2006-04-25,2026-08-13,5018,5018,0.0
GRASIM,2003-01-27,2026-08-13,5804,5804,0.0
GROWW,2025-11-12,2026-08-13,186,186,0.0
GRSE,2018-10-10,2026-08-13,1942,1942,0.0
GVT&D,2008-06-30,2026-08-13,4474,4474,0.0
HAL,2018-03-28,2026-08-13,2074,2074,0.0
HAVELLS,2003-01-01,2026-08-13,5822,5822,0.0
HBLENGINE,2007-01-04,2026-08-13,4843,4843,0.0
HCLTECH,2003-01-27,2026-08-13,5804,5804,0.0
HDFCAMC,2018-08-06,2026-08-13,1984,1984,0.0
HDFCBANK,2003-01-01,2026-08-13,5822,5822,0.0
