symbol,date,prev_close,close,ratio,pct_move,matched_fraction,likely_unadjusted_action,volume_ratio_vs_20d
BAJFINANCE,2009-07-14,1.0,1.5,1.5,50.0,,False,1.0137436817370669
BAJFINANCE,2009-10-01,2.0,3.0,1.5,50.0,,False,29.342198857280447
BANDHANBNK,2020-03-26,154.75,215.6,1.3932148626817447,39.32148626817447,,False,2.6334396045120294
BOSCHLTD,2004-07-08,1386.12,13324.5,9.612804086226301,861.2804086226301,,False,0.04698594953920532
BOSCHLTD,2004-07-09,13324.5,1381.15,0.10365492138541785,-89.63450786145822,,False,0.714760537845596
CANBK,2017-10-25,56.24,79.24,1.4089615931721193,40.89615931721193,,False,17.610784761085338
CGPOWER,2015-01-01,64.18,186.55,2.906668744157058,190.6668744157058,,False,0.27217470228057333
CGPOWER,2016-03-15,155.3,44.0,0.283322601416613,-71.66773985833869,,False,11.373661962436072
COHANCE,2020-03-24,219.0,103.55,0.4728310502283105,-52.71689497716895,,False,5.062254560291042
FEDERALBNK,2004-11-29,29.2,10.2,0.3493150684931507,-65.06849315068493,,False,2.8049495863553293
GAIL,2004-05-18,9.86,14.67,1.4878296146044625,48.78296146044625,,False,2.8554159799040724
HAVELLS,2003-12-30,3.69,7.55,2.046070460704607,104.60704607046071,,False,0.3431212006126674
HAVELLS,2009-05-06,16.15,21.97,1.3603715170278639,36.03715170278639,,False,100.84398854075123
HINDPETRO,2008-09-02,8.6,12.2,1.4186046511627908,41.86046511627908,,False,4.0761425189589655
HINDPETRO,2009-05-18,17.1,23.75,1.3888888888888888,38.888888888888886,,False,0.033520614768441474
IDEA,2019-11-19,4.45,6.05,1.3595505617977528,35.95505617977528,,False,4.585669279034882
IDEA,2020-02-19,3.0,4.2,1.4000000000000001,40.000000000000014,,False,6.856446414866635
IDEA,2020-03-18,4.85,3.15,0.6494845360824743,-35.051546391752574,,False,3.3733182726318924
INDUSINDBK,2020-03-26,301.3,435.9,1.4467308330567539,44.67308330567539,,False,2.763186343208203
IOC,2003-05-16,0.0,0.48,inf,inf,,False,8.365499366432438
IOC,2003-05-19,0.48,0.28,0.5833333333333334,-41.666666666666664,,False,4.693921237481579
IOC,2003-05-20,0.28,0.71,2.535714285714285,153.57142857142853,,False,5.930167474072959
IOC,2003-05-21,0.71,1.23,1.7323943661971832,73.23943661971832,,False,6.828687150149188
IOC,2003-05-22,1.23,1.71,1.3902439024390243,39.02439024390243,,False,10.84074163546322
IOC,2003-05-23,1.71,2.33,1.3625730994152048,36.257309941520475,,False,10.926539087866193
IOC,2003-05-26,2.33,3.18,1.3648068669527897,36.480686695278976,,False,10.845933661736824
IOC,2003-05-30,3.13,4.56,1.4568690095846644,45.68690095846644,,False,12.58031193948374
IOC,2006-06-15,10.93,14.86,1.3595608417200367,35.95608417200366,,False,3.0299519593016733
JINDALSTEL,2003-12-19,17.38,9.13,0.5253164556962026,-47.46835443037975,,False,2.024333212011306
JINDALSTEL,2003-12-22,9.13,17.69,1.9375684556407449,93.75684556407448,,False,0.6576068063634051
JMFINANCIL,2006-10-10,0.14,30.99,221.35714285714283,22035.714285714283,,False,
LICHSGFIN,2007-10-29,46.35,63.35,1.366774541531823,36.67745415318231,,False,14.69183539752711
MFSL,2000-05-10,262.6,134.1,0.5106626047220106,-48.933739527798934,,False,1.3808278658865456
MFSL,2007-03-12,449.9,92.4,0.2053789731051345,-79.46210268948654,,False,19.455806065442935
MFSL,2016-01-27,224.7,348.6,1.5514018691588787,55.14018691588787,,False,0.029771317137202456
MPHASIS,2008-10-13,73.7,102.4,1.3894165535956582,38.94165535956582,,False,0.5920116205501043
NEULANDLAB,2008-10-13,38.7,91.96,2.3762273901808784,137.62273901808783,,False,
NMDC,2022-10-27,15.75,29.25,1.8571428571428572,85.71428571428572,,False,2.3578030813516975
OFSS,2003-07-10,230.0,328.5,1.4282608695652175,42.82608695652175,,False,5.472256895290569
OFSS,2004-05-18,113.5,166.5,1.4669603524229076,46.696035242290755,,False,1.7161452508015638
OFSS,2009-01-27,178.5,242.0,1.3557422969187676,35.57422969187676,,False,25.976703485870033
PNB,2017-10-25,130.51,190.81,1.4620335606466939,46.203356064669386,,False,31.964455437012475
RAMCOCEM,2003-11-06,34.95,353.7,10.12017167381974,912.0171673819741,,False,0.4583145248098892
TATACHEM,2020-03-04,719.65,314.95,0.4376432988258181,-56.23567011741819,,False,4.884857431514216
UNIONBANK,2017-10-25,120.07,162.25,1.3512950778712418,35.12950778712418,,False,11.623360387730193
VEDL,2004-12-14,0.0,0.05,inf,inf,,False,5.243697701872241
VEDL,2004-12-15,0.05,0.0,0.0,-100.0,,False,2.3508310708398557
VEDL,2004-12-16,0.0,0.45,inf,inf,,False,3.5773226987414932
VEDL,2004-12-17,0.45,0.75,1.6666666666666665,66.66666666666666,,False,2.1708390832404874
VEDL,2004-12-20,0.75,1.35,1.8,80.0,,False,3.276626715535282
VEDL,2005-01-07,0.9,1.3,1.4444444444444444,44.44444444444444,,False,0.629213314441882
VEDL,2005-01-11,0.95,0.55,0.5789473684210527,-42.10526315789473,,False,0.9522953282752218
VEDL,2005-01-12,0.55,0.0,0.0,-100.0,,False,1.1793870662286732
VEDL,2005-01-13,0.0,0.25,inf,inf,,False,0.9740578613472068
VEDL,2005-01-14,0.25,0.7,2.8,179.99999999999997,,False,1.855366398470583
VEDL,2005-01-17,0.7,1.75,2.5,150.0,,False,2.5680582075916063
VEDL,2005-01-19,1.6,2.25,1.40625,40.625,,False,4.150919455882884
VEDL,2005-01-24,1.85,3.1,1.6756756756756757,67.56756756756756,,False,4.031110438164067
VEDL,2005-01-27,3.05,4.25,1.3934426229508197,39.34426229508197,,False,4.761928626990419
VEDL,2005-09-19,10.25,14.7,1.4341463414634146,43.414634146341456,,False,24.987091739537455
WELCORP,2005-05-24,35.58,58.11,1.6332209106239461,63.32209106239461,,False,
YESBANK,2020-03-06,36.8,16.15,0.4388586956521739,-56.114130434782616,,False,9.133365928934765
YESBANK,2020-03-11,21.25,28.8,1.3552941176470588,35.52941176470588,,False,2.8385001576290665
YESBANK,2020-03-16,25.55,37.1,1.452054794520548,45.205479452054796,,False,1.0011674786492375
YESBANK,2020-03-17,37.1,58.65,1.5808625336927222,58.08625336927222,,False,1.3508941002741648
