label,n_trades,mean_net_pct,t_stat,n_buckets,placebo_mean,placebo_max,beats_best_placebo,percentile_vs_placebos,signal,split
UNGATED (baseline),20499,-0.9716821472524911,-0.8246089970331484,616,-0.6157137990487384,-0.5701476925210732,False,0.0,mean_reversion,primary
CALM-GATED,4871,-0.8058209846718108,-1.4319531514545982,212,-0.3086267468583135,-0.21523056491401207,False,0.0,mean_reversion,primary
STRESSED-GATED,9045,-0.7029079037041446,-0.793960144940051,192,-0.6659739623391759,-0.5990543862308167,False,13.333333333333334,mean_reversion,primary
UNGATED (baseline),2194,0.07686752968880094,-1.9481130415670311,170,0.3684503256722625,0.6131070798090048,False,0.0,delivery_breakout,delivery
CALM-GATED,1576,0.18530002145456848,-0.22188246670026077,112,0.4361537713528976,0.6949146188712677,False,0.0,delivery_breakout,delivery
STRESSED-GATED,651,-0.12656937632455553,-1.7617345957788246,73,0.3302649670755473,0.7667997169970979,False,0.0,delivery_breakout,delivery
UNGATED (baseline),2448,-0.6272720050426498,-4.524196006424618,328,0.3204440014019265,0.5218685987401855,False,0.0,oi_momentum,primary
CALM-GATED,1055,-0.7366729241461712,-3.1095765777849076,153,-0.12628919320720886,0.15303562484378402,False,0.0,oi_momentum,primary
STRESSED-GATED,515,-0.8894968077589798,-2.973655542006365,112,-0.3950359936379975,-0.017486817386260917,False,0.0,oi_momentum,primary
UNGATED (baseline),2916,-0.5152768107504366,1.999294167646228,125,-0.20979496359112573,-0.07866122987068781,False,0.0,participant_tilt,delivery
CALM-GATED,1253,0.28937324751611837,1.7860097941643305,83,0.3642618830226832,0.508829674010341,False,16.666666666666664,participant_tilt,delivery
STRESSED-GATED,1763,-1.1180871665963024,0.7255349739238761,49,-0.6712740677201253,-0.5130436466257311,False,0.0,participant_tilt,delivery
UNGATED (baseline),4792,-0.3819995458716935,-5.984968856407491,558,0.25077383151568383,0.38039549520688887,False,0.0,vol_squeeze_breakout,primary
CALM-GATED,1818,0.01489036414504704,-1.986876954373139,204,0.31716361422088474,0.7309956111105518,False,0.0,vol_squeeze_breakout,primary
STRESSED-GATED,970,-0.934811107975136,-4.161941974141897,161,-0.4497486081626206,0.05332217828518295,False,0.0,vol_squeeze_breakout,primary
UNGATED (baseline),8807,-0.590941119880795,-6.170574796786849,618,0.046403070630185,0.19005582252559697,False,0.0,price_action_long,primary
CALM-GATED,3027,0.006535339518668617,-2.024520614103889,212,0.13569425811751215,0.37226758234979374,False,13.333333333333334,price_action_long,primary
STRESSED-GATED,2057,-1.1458192881968294,-3.3326223625049707,184,-0.5737403410502254,-0.37027951786623836,False,0.0,price_action_long,primary
