date,index
2026-04-01,167.0
2026-03-01,160.8
2026-02-01,158.4
2026-01-01,157.6
2025-12-01,157.2
2025-11-01,156.2
2025-10-01,155.1
2025-09-01,155.0
2025-08-01,155.2
2025-07-01,154.4
2025-06-01,153.7
2025-05-01,153.7
2025-04-01,154.2
2025-03-01,154.8
2025-02-01,154.9
2025-01-01,155.0
2024-12-01,155.7
2024-11-01,156.4
2024-10-01,156.7
2024-09-01,154.7
2024-08-01,154.4
2024-07-01,155.3
2024-06-01,154.0
2024-05-01,153.5
2024-04-01,152.9
2024-03-01,151.4
2024-02-01,151.2
2024-01-01,151.2
2023-12-01,151.8
2023-11-01,153.1
2023-10-01,152.5
2023-09-01,151.8
2023-08-01,152.5
2023-07-01,152.1
2023-06-01,148.9
2023-05-01,149.4
2023-04-01,151.1
2023-03-01,151.0
2023-02-01,150.9
2023-01-01,150.7
2022-12-01,150.5
2022-11-01,152.5
2022-10-01,152.9
2022-09-01,151.9
2022-08-01,153.2
2022-07-01,154.0
2022-06-01,155.4
2022-05-01,155.0
2022-04-01,152.3
2022-03-01,148.9
2022-02-01,145.3
2022-01-01,143.8
2021-12-01,143.3
2021-11-01,143.7
2021-10-01,140.7
2021-09-01,137.4
2021-08-01,136.2
2021-07-01,135.0
2021-06-01,133.7
2021-05-01,132.9
2021-04-01,132.0
2021-03-01,129.9
2021-02-01,128.1
2021-01-01,126.5
2020-12-01,125.4
2020-11-01,125.1
2020-10-01,123.6
2020-09-01,122.9
2020-08-01,122.0
2020-07-01,121.0
2020-06-01,119.3
2020-05-01,117.5
2020-04-01,119.2
2020-03-01,120.4
2020-02-01,122.2
2020-01-01,123.4
2019-12-01,123.0
2019-11-01,122.3
2019-10-01,122.0
2019-09-01,121.3
2019-08-01,121.5
2019-07-01,121.3
2019-06-01,121.5
2019-05-01,121.6
2019-04-01,121.1
2019-03-01,119.9
2019-02-01,119.5
2019-01-01,119.2
2018-12-01,119.7
2018-11-01,121.6
2018-10-01,122.0
2018-09-01,120.9
2018-08-01,120.1
2018-07-01,119.9
2018-06-01,119.1
2018-05-01,118.3
2018-04-01,117.3
2018-03-01,116.3
2018-02-01,116.1
2018-01-01,116.0
2017-12-01,115.7
2017-11-01,116.4
2017-10-01,115.6
2017-09-01,114.9
2017-08-01,114.8
2017-07-01,113.9
2017-06-01,112.7
2017-05-01,112.9
2017-04-01,113.2
2017-03-01,113.2
2017-02-01,113.0
2017-01-01,112.6
2016-12-01,111.7
2016-11-01,111.9
2016-10-01,111.5
2016-09-01,111.4
2016-08-01,111.2
2016-07-01,111.8
2016-06-01,111.7
2016-05-01,110.4
2016-04-01,109.0
2016-03-01,107.7
2016-02-01,107.1
2016-01-01,108.0
2015-12-01,109.4
2015-11-01,109.9
2015-10-01,110.1
2015-09-01,109.9
2015-08-01,110.0
2015-07-01,111.1
2015-06-01,111.8
2015-05-01,111.4
2015-04-01,110.2
2015-03-01,109.9
2015-02-01,109.6
2015-01-01,110.8
2014-12-01,112.1
2014-11-01,114.1
2014-10-01,115.6
2014-09-01,116.4
2014-08-01,117.2
2014-07-01,116.7
2014-06-01,115.2
2014-05-01,114.8
2014-04-01,114.1
2014-03-01,114.3
2014-02-01,113.6
2014-01-01,113.6
2013-12-01,113.4
2013-11-01,114.3
2013-10-01,114.6
2013-09-01,114.3
2013-08-01,112.9
2013-07-01,111.2
2013-06-01,110.1
2013-05-01,108.6
2013-04-01,108.6
2013-03-01,108.6
2013-02-01,108.4
2013-01-01,108.0
2012-12-01,107.1
2012-11-01,107.3
2012-10-01,107.4
2012-09-01,107.6
2012-08-01,106.9
2012-07-01,106.2
2012-06-01,105.3
2012-05-01,105.3
2012-04-01,104.7
