date,reserve_type,currency,value
2022-03-01,Reserve Tranche Position,₹ Crores,38988.28
2022-03-01,Reserve Tranche Position,US $ Millions,5143.09
2022-03-01,SDRs,SDRs Millions,13656.77
2022-03-01,SDRs,₹ Crores,143051.88
2022-03-01,SDRs,US $ Millions,18891.27
2022-03-01,Total,₹ Crores,4598818.5
2022-03-01,Total,US $ Millions,607309.13
2022-02-01,Foreign Currency Assets,₹ Crores,4266208.36
2022-02-01,Foreign Currency Assets,US $ Millions,566295.31
2022-02-01,Gold,₹ Crores,311418.32
2022-02-01,Gold,US $ Millions,41337.58
2022-02-01,Reserve Tranche Position,₹ Crores,39174.2
2022-02-01,Reserve Tranche Position,US $ Millions,5189.45
2022-02-01,SDRs,SDRs Millions,13656.77
2022-02-01,SDRs,₹ Crores,143444.7
2022-02-01,SDRs,US $ Millions,19040.81
2022-02-01,Total,₹ Crores,4760245.58
2022-02-01,Total,US $ Millions,631863.15
2022-01-01,Foreign Currency Assets,₹ Crores,4230069.2
2022-01-01,Foreign Currency Assets,US $ Millions,566689.29
2022-01-01,Gold,₹ Crores,291762.59
2022-01-01,Gold,US $ Millions,39086.53
2022-01-01,Reserve Tranche Position,₹ Crores,38818.03
2022-01-01,Reserve Tranche Position,US $ Millions,5177.99
2022-01-01,SDRs,SDRs Millions,13656.65
2022-01-01,SDRs,₹ Crores,141771.73
2022-01-01,SDRs,US $ Millions,18992.72
2022-01-01,Total,₹ Crores,4702421.55
2022-01-01,Total,US $ Millions,629946.53
2021-12-01,Foreign Currency Assets,₹ Crores,4234326.83
2021-12-01,Foreign Currency Assets,US $ Millions,569889.04
2021-12-01,Gold,₹ Crores,292779.16
2021-12-01,Gold,US $ Millions,39404.52
2021-12-01,Reserve Tranche Position,₹ Crores,38689.64
2021-12-01,Reserve Tranche Position,US $ Millions,5207.04
2021-12-01,SDRs,SDRs Millions,13656.65
2021-12-01,SDRs,₹ Crores,142016.59
2021-12-01,SDRs,US $ Millions,19113.71
2021-12-01,Total,₹ Crores,4707812.22
2021-12-01,Total,US $ Millions,633614.31
2021-11-01,Foreign Currency Assets,₹ Crores,4322604.78
2021-11-01,Foreign Currency Assets,US $ Millions,574939.09
2021-11-01,Gold,₹ Crores,291542.65
2021-11-01,Gold,US $ Millions,38777.37
2021-11-01,Reserve Tranche Position,₹ Crores,38953.91
2021-11-01,Reserve Tranche Position,US $ Millions,5187.73
2021-11-01,SDRs,SDRs Millions,13656.65
2021-11-01,SDRs,₹ Crores,143544.86
2021-11-01,SDRs,US $ Millions,19092.55
2021-11-01,Total,₹ Crores,4796646.2
2021-11-01,Total,US $ Millions,637996.74
2021-10-01,Foreign Currency Assets,₹ Crores,4324964.52
2021-10-01,Foreign Currency Assets,US $ Millions,577553.68
2021-10-01,Gold,₹ Crores,286576.62
2021-10-01,Gold,US $ Millions,38269.3
2021-10-01,Reserve Tranche Position,₹ Crores,39200.68
2021-10-01,Reserve Tranche Position,US $ Millions,5241.73
2021-10-01,SDRs,SDRs Millions,13656.57
2021-10-01,SDRs,₹ Crores,144745.47
2021-10-01,SDRs,US $ Millions,19329.24
2021-10-01,Total,₹ Crores,4795487.29
2021-10-01,Total,US $ Millions,640393.95
2021-09-01,Foreign Currency Assets,₹ Crores,4260725.58
2021-09-01,Foreign Currency Assets,US $ Millions,573599.48
2021-09-01,Gold,₹ Crores,277730.96
2021-09-01,Gold,US $ Millions,37389.48
2021-09-01,Reserve Tranche Position,₹ Crores,37645.02
2021-09-01,Reserve Tranche Position,US $ Millions,5069.69
2021-09-01,SDRs,SDRs Millions,13656.57
2021-09-01,SDRs,₹ Crores,143391.97
2021-09-01,SDRs,US $ Millions,19304.12
2021-09-01,Total,₹ Crores,4719493.53
2021-09-01,Total,US $ Millions,635362.77
2021-08-01,Foreign Currency Assets,₹ Crores,4222398.36
2021-08-01,Foreign Currency Assets,US $ Millions,578411.53
2021-08-01,Gold,₹ Crores,275492.54
2021-08-01,Gold,US $ Millions,37738.76
2021-08-01,Reserve Tranche Position,₹ Crores,37491.71
2021-08-01,Reserve Tranche Position,US $ Millions,5125.07
2021-08-01,SDRs,SDRs Millions,13656.57
2021-08-01,SDRs,₹ Crores,141823.04
2021-08-01,SDRs,US $ Millions,19427.84
2021-08-01,Total,₹ Crores,4677205.65
2021-08-01,Total,US $ Millions,640703.2
2021-07-01,Foreign Currency Assets,₹ Crores,4284026.53
2021-07-01,Foreign Currency Assets,US $ Millions,575781.38
2021-07-01,Gold,₹ Crores,279542.85
2021-07-01,Gold,US $ Millions,37571.09
2021-07-01,Reserve Tranche Position,₹ Crores,38355.18
2021-07-01,Reserve Tranche Position,US $ Millions,5156.16
2021-07-01,SDRs,SDRs Millions,1086.95
2021-07-01,SDRs,₹ Crores,11554.89
2021-07-01,SDRs,US $ Millions,1553.0
2021-07-01,Total,₹ Crores,4613479.45
2021-07-01,Total,US $ Millions,620061.63
2021-06-01,Foreign Currency Assets,₹ Crores,4227231.34
2021-06-01,Foreign Currency Assets,US $ Millions,568665.43
2021-06-01,Gold,₹ Crores,265715.84
2021-06-01,Gold,US $ Millions,35745.24
2021-06-01,Reserve Tranche Position,₹ Crores,38016.22
2021-06-01,Reserve Tranche Position,US $ Millions,5113.45
2021-06-01,SDRs,SDRs Millions,1086.95
2021-06-01,SDRs,₹ Crores,11528.4
2021-06-01,SDRs,US $ Millions,1550.85
2021-06-01,Total,₹ Crores,4542491.81
2021-06-01,Total,US $ Millions,611074.97
2021-05-01,Foreign Currency Assets,₹ Crores,4023928.24
2021-05-01,Foreign Currency Assets,US $ Millions,554069.3
2021-05-01,Gold,₹ Crores,277988.33
2021-05-01,Gold,US $ Millions,38277.22
2021-05-01,Reserve Tranche Position,₹ Crores,36373.76
2021-05-01,Reserve Tranche Position,US $ Millions,5015.61
2021-05-01,SDRs,SDRs Millions,1048.63
2021-05-01,SDRs,₹ Crores,11002.18
2021-05-01,SDRs,US $ Millions,1514.93
2021-05-01,Total,₹ Crores,4349292.52
2021-05-01,Total,US $ Millions,598877.06
2021-04-01,Foreign Currency Assets,₹ Crores,4045136.92
2021-04-01,Foreign Currency Assets,US $ Millions,546059.39
2021-04-01,Gold,₹ Crores,262709.18
2021-04-01,Gold,US $ Millions,35463.52
2021-04-01,Reserve Tranche Position,₹ Crores,36936.41
2021-04-01,Reserve Tranche Position,US $ Millions,4989.84
2021-04-01,SDRs,SDRs Millions,1048.63
2021-04-01,SDRs,₹ Crores,11168.48
2021-04-01,SDRs,US $ Millions,1507.65
2021-04-01,Total,₹ Crores,4355950.99
2021-04-01,Total,US $ Millions,588020.4
2021-03-01,Foreign Currency Assets,₹ Crores,3924167.84
2021-03-01,Foreign Currency Assets,US $ Millions,536693.39
2021-03-01,Gold,₹ Crores,247723.01
2021-03-01,Gold,US $ Millions,33880.13
2021-03-01,Reserve Tranche Position,₹ Crores,36198.01
2021-03-01,Reserve Tranche Position,US $ Millions,4924.58
2021-03-01,SDRs,SDRs Millions,1048.63
2021-03-01,SDRs,₹ Crores,10863.73
2021-03-01,SDRs,US $ Millions,1485.79
2021-03-01,Total,₹ Crores,4218952.59
2021-03-01,Total,US $ Millions,576983.89
2021-02-01,Foreign Currency Assets,₹ Crores,3986597.68
2021-02-01,Foreign Currency Assets,US $ Millions,542614.98
2021-02-01,Gold,₹ Crores,260238.57
2021-02-01,Gold,US $ Millions,35421.02
2021-02-01,Reserve Tranche Position,₹ Crores,36529.45
2021-02-01,Reserve Tranche Position,US $ Millions,5001.24
2021-02-01,SDRs,SDRs Millions,1048.62
2021-02-01,SDRs,₹ Crores,11145.34
2021-02-01,SDRs,US $ Millions,1516.99
2021-02-01,Total,₹ Crores,4294511.04
2021-02-01,Total,US $ Millions,584554.23
2021-01-01,Foreign Currency Assets,₹ Crores,3992051.12
2021-01-01,Foreign Currency Assets,US $ Millions,547153.88
2021-01-01,Gold,₹ Crores,266246.2
2021-01-01,Gold,US $ Millions,36491.93
2021-01-01,Reserve Tranche Position,₹ Crores,37679.06
2021-01-01,Reserve Tranche Position,US $ Millions,5164.92
2021-01-01,SDRs,SDRs Millions,1048.53
2021-01-01,SDRs,₹ Crores,11022.26
2021-01-01,SDRs,US $ Millions,1510.72
2021-01-01,Total,₹ Crores,4306998.64
2021-01-01,Total,US $ Millions,590321.45
2020-12-01,Foreign Currency Assets,₹ Crores,3961574.81
2020-12-01,Foreign Currency Assets,US $ Millions,542157.16
2020-12-01,Gold,₹ Crores,270053.7
2020-12-01,Gold,US $ Millions,36957.92
2020-12-01,Reserve Tranche Position,₹ Crores,37588.85
2020-12-01,Reserve Tranche Position,US $ Millions,5145.38
2020-12-01,SDRs,SDRs Millions,1048.53
2020-12-01,SDRs,₹ Crores,11034.9
2020-12-01,SDRs,US $ Millions,1510.17
2020-12-01,Total,₹ Crores,4280252.26
2020-12-01,Total,US $ Millions,585770.63
2020-11-01,Foreign Currency Assets,₹ Crores,3951005.72
2020-11-01,Foreign Currency Assets,US $ Millions,533454.72
2020-11-01,Gold,₹ Crores,260651.11
2020-11-01,Gold,US $ Millions,35192.45
2020-11-01,Reserve Tranche Position,₹ Crores,34531.89
2020-11-01,Reserve Tranche Position,US $ Millions,4679.23
2020-11-01,SDRs,SDRs Millions,1048.53
2020-11-01,SDRs,₹ Crores,11068.5
2020-11-01,SDRs,US $ Millions,1494.44
2020-11-01,Total,₹ Crores,4257257.22
2020-11-01,Total,US $ Millions,574820.84
2020-10-01,Foreign Currency Assets,₹ Crores,3835630.34
2020-10-01,Foreign Currency Assets,US $ Millions,517586.31
2020-10-01,Gold,₹ Crores,270410.62
2020-10-01,Gold,US $ Millions,36489.66
2020-10-01,Reserve Tranche Position,₹ Crores,34282.71
2020-10-01,Reserve Tranche Position,US $ Millions,4634.48
2020-10-01,SDRs,SDRs Millions,1048.46
2020-10-01,SDRs,₹ Crores,10968.07
2020-10-01,SDRs,US $ Millions,1480.06
2020-10-01,Total,₹ Crores,4151291.74
2020-10-01,Total,US $ Millions,560190.51
2020-09-01,Foreign Currency Assets,₹ Crores,3705027.12
2020-09-01,Foreign Currency Assets,US $ Millions,502162.08
2020-09-01,Gold,₹ Crores,268775.99
2020-09-01,Gold,US $ Millions,36428.65
2020-09-01,Reserve Tranche Position,₹ Crores,34102.82
2020-09-01,Reserve Tranche Position,US $ Millions,4621.12
2020-09-01,SDRs,SDRs Millions,1048.46
2020-09-01,SDRs,₹ Crores,10886.31
2020-09-01,SDRs,US $ Millions,1475.48
2020-09-01,Total,₹ Crores,4018792.24
2020-09-01,Total,US $ Millions,544687.33
2020-08-01,Foreign Currency Assets,₹ Crores,3672340.29
2020-08-01,Foreign Currency Assets,US $ Millions,498887.43
2020-08-01,Gold,₹ Crores,278600.87
2020-08-01,Gold,US $ Millions,37847.93
2020-08-01,Reserve Tranche Position,₹ Crores,34283.14
2020-08-01,Reserve Tranche Position,US $ Millions,4658.35
2020-08-01,SDRs,SDRs Millions,1048.46
2020-08-01,SDRs,₹ Crores,10946.85
2020-08-01,SDRs,US $ Millions,1487.13
2020-08-01,Total,₹ Crores,3996171.15
2020-08-01,Total,US $ Millions,542880.84
2020-07-01,Foreign Currency Assets,₹ Crores,3671792.02
2020-07-01,Foreign Currency Assets,US $ Millions,490828.8
2020-07-01,Gold,₹ Crores,281462.74
2020-07-01,Gold,US $ Millions,37624.69
2020-07-01,Reserve Tranche Position,₹ Crores,34688.11
2020-07-01,Reserve Tranche Position,US $ Millions,4639.17
2020-07-01,SDRs,SDRs Millions,1048.43
2020-07-01,SDRs,₹ Crores,11035.68
2020-07-01,SDRs,US $ Millions,1475.2
2020-07-01,Total,₹ Crores,3998978.55
2020-07-01,Total,US $ Millions,534567.86
2020-06-01,Foreign Currency Assets,₹ Crores,3517514.26
2020-06-01,Foreign Currency Assets,US $ Millions,465832.99
2020-06-01,Gold,₹ Crores,256020.59
2020-06-01,Gold,US $ Millions,33905.43
2020-06-01,Reserve Tranche Position,₹ Crores,34111.66
2020-06-01,Reserve Tranche Position,US $ Millions,4516.49
1991-11-01,SDRs,₹ Crores,116.0
2020-06-01,SDRs,SDRs Millions,1048.43
2020-06-01,SDRs,₹ Crores,10923.25
2020-06-01,SDRs,US $ Millions,1446.59
2020-06-01,Total,₹ Crores,3818569.76
2020-06-01,Total,US $ Millions,505701.5
2020-05-01,Foreign Currency Assets,₹ Crores,3441104.72
2020-05-01,Foreign Currency Assets,US $ Millions,455065.43
2020-05-01,Gold,₹ Crores,248765.15
2020-05-01,Gold,US $ Millions,32897.7
2020-05-01,Reserve Tranche Position,₹ Crores,31449.27
2020-05-01,Reserve Tranche Position,US $ Millions,4157.93
2020-05-01,SDRs,SDRs Millions,1048.43
2020-05-01,SDRs,₹ Crores,10877.37
2020-05-01,SDRs,US $ Millions,1438.47
2020-05-01,Total,₹ Crores,3732196.51
2020-05-01,Total,US $ Millions,493559.53
2020-04-01,Foreign Currency Assets,₹ Crores,3328720.01
2020-04-01,Foreign Currency Assets,US $ Millions,443315.69
2020-04-01,Gold,₹ Crores,242360.25
2020-04-01,Gold,US $ Millions,32277.3
2020-04-01,Reserve Tranche Position,₹ Crores,30488.51
2020-04-01,Reserve Tranche Position,US $ Millions,4058.91
2020-04-01,SDRs,SDRs Millions,1045.26
2020-04-01,SDRs,₹ Crores,10704.95
2020-04-01,SDRs,US $ Millions,1425.67
2020-04-01,Total,₹ Crores,3612273.72
2020-04-01,Total,US $ Millions,481077.57
2020-03-01,Foreign Currency Assets,₹ Crores,3333815.1
2020-03-01,Foreign Currency Assets,US $ Millions,442212.72
2020-03-01,Gold,₹ Crores,230526.96
2020-03-01,Gold,US $ Millions,30578.16
2020-03-01,Reserve Tranche Position,₹ Crores,27013.05
2020-03-01,Reserve Tranche Position,US $ Millions,3583.3
2020-03-01,SDRs,SDRs Millions,1045.26
2020-03-01,SDRs,₹ Crores,10800.32
2020-03-01,SDRs,US $ Millions,1432.6
2020-03-01,Total,₹ Crores,3602155.43
2020-03-01,Total,US $ Millions,477806.78
2020-02-01,Foreign Currency Assets,₹ Crores,3220842.62
2020-02-01,Foreign Currency Assets,US $ Millions,446318.29
2020-02-01,Gold,₹ Crores,215749.58
2020-02-01,Gold,US $ Millions,29896.83
2020-02-01,Reserve Tranche Position,₹ Crores,26028.41
2020-02-01,Reserve Tranche Position,US $ Millions,3605.57
2020-02-01,SDRs,SDRs Millions,1045.26
2020-02-01,SDRs,₹ Crores,10358.81
2020-02-01,SDRs,US $ Millions,1435.44
2020-02-01,Total,₹ Crores,3472979.42
2020-02-01,Total,US $ Millions,481256.13
2020-01-01,Foreign Currency Assets,₹ Crores,3120105.66
2020-01-01,Foreign Currency Assets,US $ Millions,437248.02
2020-01-01,Gold,₹ Crores,206919.67
2020-01-01,Gold,US $ Millions,28997.49
2020-01-01,Reserve Tranche Position,₹ Crores,25852.17
2020-01-01,Reserve Tranche Position,US $ Millions,3615.2
2020-01-01,SDRs,SDRs Millions,1045.76
1991-11-01,SDRs,US $ Millions,45.0
2020-01-01,SDRs,₹ Crores,10267.46
2020-01-01,SDRs,US $ Millions,1438.87
2020-01-01,Total,₹ Crores,3363144.96
2020-01-01,Total,US $ Millions,471299.58
2019-12-01,Foreign Currency Assets,₹ Crores,3045619.42
2019-12-01,Foreign Currency Assets,US $ Millions,426879.6
2019-12-01,Gold,₹ Crores,198561.81
2019-12-01,Gold,US $ Millions,27830.78
2019-12-01,Reserve Tranche Position,₹ Crores,26419.11
2019-12-01,Reserve Tranche Position,US $ Millions,3706.7
2019-12-01,SDRs,SDRs Millions,1045.76
2019-12-01,SDRs,₹ Crores,10317.43
2019-12-01,SDRs,US $ Millions,1446.11
2019-12-01,Total,₹ Crores,3280917.77
2019-12-01,Total,US $ Millions,459863.19
2019-11-01,Foreign Currency Assets,₹ Crores,3008961.4
2019-11-01,Foreign Currency Assets,US $ Millions,419445.2
2019-11-01,Gold,₹ Crores,191886.79
2019-11-01,Gold,US $ Millions,26748.76
2019-11-01,Reserve Tranche Position,₹ Crores,26028.25
2019-11-01,Reserve Tranche Position,US $ Millions,3628.87
2019-11-01,SDRs,SDRs Millions,1045.76
2019-11-01,SDRs,₹ Crores,10299.45
2019-11-01,SDRs,US $ Millions,1435.73
2019-11-01,Total,₹ Crores,3237175.89
2019-11-01,Total,US $ Millions,451258.56
2019-10-01,Foreign Currency Assets,₹ Crores,2931401.67
2019-10-01,Foreign Currency Assets,US $ Millions,413014.83
2019-10-01,Gold,₹ Crores,191717.9
2019-10-01,Gold,US $ Millions,27011.77
2019-10-01,Reserve Tranche Position,₹ Crores,25817.31
2019-10-01,Reserve Tranche Position,US $ Millions,3646.02
2019-10-01,SDRs,SDRs Millions,1046.31
2019-10-01,SDRs,₹ Crores,10223.41
2019-10-01,SDRs,US $ Millions,1440.41
2019-10-01,Total,₹ Crores,3159160.29
2019-10-01,Total,US $ Millions,445113.03
2019-09-01,Foreign Currency Assets,₹ Crores,2846803.66
2019-09-01,Foreign Currency Assets,US $ Millions,402026.18
2019-09-01,Gold,₹ Crores,188712.54
2019-09-01,Gold,US $ Millions,26650.02
2019-09-01,Reserve Tranche Position,₹ Crores,25471.49
2019-09-01,Reserve Tranche Position,US $ Millions,3603.52
2019-09-01,SDRs,SDRs Millions,1046.31
2005-11-01,SDRs,US $ Millions,4.0
2019-09-01,SDRs,₹ Crores,10107.83
2019-09-01,SDRs,US $ Millions,1427.43
2019-09-01,Total,₹ Crores,3071095.52
2019-09-01,Total,US $ Millions,433707.15
2019-08-01,Foreign Currency Assets,₹ Crores,2829675.66
2019-08-01,Foreign Currency Assets,US $ Millions,395962.08
2019-08-01,Gold,₹ Crores,195371.2
2019-08-01,Gold,US $ Millions,27338.68
2019-08-01,Reserve Tranche Position,₹ Crores,25953.77
2019-08-01,Reserve Tranche Position,US $ Millions,3616.82
2019-08-01,SDRs,SDRs Millions,1046.31
2019-08-01,SDRs,₹ Crores,10231.47
2019-08-01,SDRs,US $ Millions,1431.71
2019-08-01,Total,₹ Crores,3061232.1
2019-08-01,Total,US $ Millions,428349.29
2019-07-01,Foreign Currency Assets,₹ Crores,2740411.46
2019-07-01,Foreign Currency Assets,US $ Millions,398238.64
2019-07-01,Gold,₹ Crores,175510.02
2019-07-01,Gold,US $ Millions,25505.25
2019-07-01,Reserve Tranche Position,₹ Crores,25033.14
2019-07-01,Reserve Tranche Position,US $ Millions,3635.53
2019-07-01,SDRs,SDRs Millions,1047.48
2019-07-01,SDRs,₹ Crores,9914.76
2019-07-01,SDRs,US $ Millions,1440.82
2019-07-01,Total,₹ Crores,2950869.38
2019-07-01,Total,US $ Millions,428820.24
2019-06-01,Foreign Currency Assets,₹ Crores,2761640.0
2019-06-01,Foreign Currency Assets,US $ Millions,400714.6
2019-06-01,Gold,₹ Crores,167500.0
2019-06-01,Gold,US $ Millions,24304.5
2019-06-01,Reserve Tranche Position,₹ Crores,23170.0
2019-06-01,Reserve Tranche Position,US $ Millions,3361.8
2019-06-01,SDRs,SDRs Millions,1047.48
2019-06-01,SDRs,₹ Crores,10040.0
2019-06-01,SDRs,US $ Millions,1456.2
2019-06-01,Total,₹ Crores,2962350.0
2019-06-01,Total,US $ Millions,429837.1
2019-05-01,Foreign Currency Assets,₹ Crores,2751290.0
2019-05-01,Foreign Currency Assets,US $ Millions,394134.7
2019-05-01,Gold,₹ Crores,160260.0
2019-05-01,Gold,US $ Millions,22958.7
2019-05-01,Reserve Tranche Position,₹ Crores,23250.0
2019-05-01,Reserve Tranche Position,US $ Millions,3331.4
2019-05-01,SDRs,SDRs Millions,1047.48
2019-05-01,SDRs,₹ Crores,10070.0
2019-05-01,SDRs,US $ Millions,1443.0
2019-05-01,Total,₹ Crores,2944870.0
2019-05-01,Total,US $ Millions,421867.8
2019-04-01,Foreign Currency Assets,₹ Crores,2730380.0
2019-04-01,Foreign Currency Assets,US $ Millions,390966.3
2019-04-01,Gold,₹ Crores,160780.0
2019-04-01,Gold,US $ Millions,23021.6
2019-04-01,Reserve Tranche Position,₹ Crores,23400.0
2019-04-01,Reserve Tranche Position,US $ Millions,3351.1
2019-04-01,SDRs,SDRs Millions,1049.29
2019-04-01,SDRs,₹ Crores,10150.0
2019-04-01,SDRs,US $ Millions,1454.1
2019-04-01,Total,₹ Crores,2924710.0
2019-04-01,Total,US $ Millions,418793.1
2019-03-01,Foreign Currency Assets,₹ Crores,2665563.51
2019-03-01,Foreign Currency Assets,US $ Millions,385356.86
2019-03-01,Gold,₹ Crores,159584.51
2019-03-01,Gold,US $ Millions,23070.91
2019-03-01,Reserve Tranche Position,₹ Crores,20657.48
2019-03-01,Reserve Tranche Position,US $ Millions,2986.42
2019-03-01,SDRs,SDRs Millions,1049.29
2019-03-01,SDRs,₹ Crores,10076.04
2019-03-01,SDRs,US $ Millions,1456.68
2019-03-01,Total,₹ Crores,2855881.54
2019-03-01,Total,US $ Millions,412870.87
2019-02-01,Foreign Currency Assets,₹ Crores,2667230.0
2019-02-01,Foreign Currency Assets,US $ Millions,374635.1
2019-02-01,Gold,₹ Crores,165550.0
2019-02-01,Gold,US $ Millions,23253.1
2019-02-01,Reserve Tranche Position,₹ Crores,21410.0
2019-02-01,Reserve Tranche Position,US $ Millions,3007.4
2019-02-01,SDRs,SDRs Millions,1049.29
2019-02-01,SDRs,₹ Crores,10440.0
2019-02-01,SDRs,US $ Millions,1466.9
2019-02-01,Total,₹ Crores,2864630.0
2019-02-01,Total,US $ Millions,402362.5
2019-01-01,Foreign Currency Assets,₹ Crores,2652190.0
2019-01-01,Foreign Currency Assets,US $ Millions,373372.1
2019-01-01,Gold,₹ Crores,161150.0
2019-01-01,Gold,US $ Millions,22686.2
2019-01-01,Reserve Tranche Position,₹ Crores,18890.0
2019-01-01,Reserve Tranche Position,US $ Millions,2658.8
2019-01-01,SDRs,SDRs Millions,1051.67
2019-01-01,SDRs,₹ Crores,10460.0
2019-01-01,SDRs,US $ Millions,1473.1
2019-01-01,Total,₹ Crores,2842690.0
2019-01-01,Total,US $ Millions,400190.2
2018-12-01,Foreign Currency Assets,₹ Crores,2580910.0
2018-12-01,Foreign Currency Assets,US $ Millions,369798.5
2018-12-01,Gold,₹ Crores,151380.0
2018-12-01,Gold,US $ Millions,21689.9
2018-12-01,Reserve Tranche Position,₹ Crores,18430.0
2018-12-01,Reserve Tranche Position,US $ Millions,2640.0
2018-12-01,SDRs,SDRs Millions,1051.67
2018-12-01,SDRs,₹ Crores,10210.0
2018-12-01,SDRs,US $ Millions,1462.7
2018-12-01,Total,₹ Crores,2760930.0
2018-12-01,Total,US $ Millions,395591.1
2018-11-01,Foreign Currency Assets,₹ Crores,2566790.0
2018-11-01,Foreign Currency Assets,US $ Millions,368487.6
2018-11-01,Gold,₹ Crores,147330.0
2018-11-01,Gold,US $ Millions,21150.0
2018-11-01,Reserve Tranche Position,₹ Crores,18290.0
2018-11-01,Reserve Tranche Position,US $ Millions,2625.7
2018-11-01,SDRs,SDRs Millions,1051.67
2018-11-01,SDRs,₹ Crores,10130.0
2018-11-01,SDRs,US $ Millions,1454.7
2018-11-01,Total,₹ Crores,2742540.0
2018-11-01,Total,US $ Millions,393718.0
2018-10-01,Foreign Currency Assets,₹ Crores,2715130.0
2018-10-01,Foreign Currency Assets,US $ Millions,367189.0
2018-10-01,Gold,₹ Crores,154020.0
2018-10-01,Gold,US $ Millions,20815.5
2018-10-01,Reserve Tranche Position,₹ Crores,19410.0
2018-10-01,Reserve Tranche Position,US $ Millions,2623.6
2018-10-01,SDRs,SDRs Millions,1053.99
2018-10-01,SDRs,₹ Crores,10780.0
2018-10-01,SDRs,US $ Millions,1456.8
2018-10-01,Total,₹ Crores,2899340.0
2018-10-01,Total,US $ Millions,392084.9
2018-09-01,Foreign Currency Assets,₹ Crores,2727650.0
2018-09-01,Foreign Currency Assets,US $ Millions,376243.0
2018-09-01,Gold,₹ Crores,147590.0
2018-09-01,Gold,US $ Millions,20343.4
2018-09-01,Reserve Tranche Position,₹ Crores,17910.0
2018-09-01,Reserve Tranche Position,US $ Millions,2468.1
2018-09-01,SDRs,SDRs Millions,1053.99
2018-09-01,SDRs,₹ Crores,10670.0
2018-09-01,SDRs,US $ Millions,1470.6
2018-09-01,Total,₹ Crores,2903820.0
2018-09-01,Total,US $ Millions,400525.1
2018-08-01,Foreign Currency Assets,₹ Crores,2664880.0
2018-08-01,Foreign Currency Assets,US $ Millions,375986.5
2018-08-01,Gold,₹ Crores,143000.0
2018-08-01,Gold,US $ Millions,20162.3
2018-08-01,Reserve Tranche Position,₹ Crores,17560.0
2018-08-01,Reserve Tranche Position,US $ Millions,2476.0
2018-08-01,SDRs,SDRs Millions,1053.99
2018-08-01,SDRs,₹ Crores,10480.0
2018-08-01,SDRs,US $ Millions,1477.1
2018-08-01,Total,₹ Crores,2835920.0
2018-08-01,Total,US $ Millions,400101.9
2018-07-01,Foreign Currency Assets,₹ Crores,2600070.0
2018-07-01,Foreign Currency Assets,US $ Millions,379174.5
2018-07-01,Gold,₹ Crores,140870.0
2018-07-01,Gold,US $ Millions,20533.6
2018-07-01,Reserve Tranche Position,₹ Crores,17030.0
2018-07-01,Reserve Tranche Position,US $ Millions,2482.2
2018-07-01,SDRs,SDRs Millions,1056.7
2018-07-01,SDRs,₹ Crores,10180.0
2018-07-01,SDRs,US $ Millions,1484.5
2018-07-01,Total,₹ Crores,2768150.0
2018-07-01,Total,US $ Millions,403674.8
2018-06-01,Foreign Currency Assets,₹ Crores,2609810.0
2018-06-01,Foreign Currency Assets,US $ Millions,380767.6
2018-06-01,Gold,₹ Crores,144020.0
2018-06-01,Gold,US $ Millions,21002.1
2018-06-01,Reserve Tranche Position,₹ Crores,17040.0
2018-06-01,Reserve Tranche Position,US $ Millions,2484.3
2018-06-01,SDRs,SDRs Millions,1056.7
2018-06-01,SDRs,₹ Crores,10190.0
2018-06-01,SDRs,US $ Millions,1486.3
2018-06-01,Total,₹ Crores,2781060.0
2018-06-01,Total,US $ Millions,405740.3
2018-05-01,Foreign Currency Assets,₹ Crores,2613800.0
2018-05-01,Foreign Currency Assets,US $ Millions,387661.0
2018-05-01,Gold,₹ Crores,142930.0
2018-05-01,Gold,US $ Millions,21189.7
2018-05-01,Reserve Tranche Position,₹ Crores,13660.0
2018-05-01,Reserve Tranche Position,US $ Millions,2025.4
2018-05-01,SDRs,SDRs Millions,1056.7
2018-05-01,SDRs,₹ Crores,10100.0
2018-05-01,SDRs,US $ Millions,1496.9
2018-05-01,Total,₹ Crores,2780490.0
2018-05-01,Total,US $ Millions,412373.0
2018-04-01,Foreign Currency Assets,₹ Crores,2638730.0
2018-04-01,Foreign Currency Assets,US $ Millions,395276.8
2018-04-01,Gold,₹ Crores,144660.0
2018-04-01,Gold,US $ Millions,21661.5
2018-04-01,Reserve Tranche Position,₹ Crores,13730.0
2018-04-01,Reserve Tranche Position,US $ Millions,2055.7
2018-04-01,SDRs,SDRs Millions,1059.3
2018-04-01,SDRs,₹ Crores,10170.0
2018-04-01,SDRs,US $ Millions,1523.0
2018-04-01,Total,₹ Crores,2807290.0
2018-04-01,Total,US $ Millions,420517.0
2018-03-01,Foreign Currency Assets,₹ Crores,2597570.0
2018-03-01,Foreign Currency Assets,US $ Millions,399442.0
2018-03-01,Gold,₹ Crores,139740.0
2018-03-01,Gold,US $ Millions,21484.2
2018-03-01,Reserve Tranche Position,₹ Crores,13520.0
2018-03-01,Reserve Tranche Position,US $ Millions,2078.6
2018-03-01,SDRs,SDRs Millions,1059.3
2018-03-01,SDRs,₹ Crores,10020.0
2018-03-01,SDRs,US $ Millions,1540.0
2018-03-01,Total,₹ Crores,2760850.0
2018-03-01,Total,US $ Millions,424544.8
2018-02-01,Foreign Currency Assets,₹ Crores,2576470.0
