date,index,growth_rate_pct
2007-07-01,262.5,8.7
2007-07-01,136.6,16.2
2007-06-01,262.1,9.0
2007-06-01,136.7,19.7
2007-05-01,136.9,19.3
2007-05-01,272.0,11.7
2007-04-01,258.3,12.2
2007-04-01,128.2,17.8
2007-03-01,144.9,14.4
2007-03-01,304.2,16.6
2007-02-01,261.2,11.9
2007-02-01,127.8,13.7
2007-01-01,274.7,12.6
2007-01-01,134.9,13.8
2006-12-01,272.9,14.3
2006-12-01,132.8,13.7
2006-11-01,125.5,20.0
2006-11-01,256.2,15.9
2006-10-01,117.7,9.7
2006-10-01,242.0,5.3
2006-09-01,250.9,12.3
2006-09-01,118.2,13.2
2006-08-01,114.3,9.8
2006-08-01,241.8,10.3
2006-07-01,117.6,14.8
2006-07-01,241.4,12.9
2006-06-01,114.2,9.8
2006-06-01,240.5,9.5
2006-05-01,243.6,10.7
2006-05-01,114.8,11.3
2006-04-01,230.2,9.5
2006-04-01,108.8,9.8
2006-03-01,261.0,8.1
2006-03-01,126.7,26.7
2006-02-01,112.4,12.4
2006-02-01,233.4,8.0
2006-01-01,244.0,8.3
2006-01-01,118.5,18.5
2005-12-01,238.7,5.2
2005-12-01,116.8,16.8
2005-11-01,104.6,4.6
2005-11-01,221.0,5.7
2005-10-01,229.8,9.6
2005-10-01,107.3,7.3
2005-09-01,104.4,4.4
2005-09-01,223.5,7.1
2005-08-01,104.1,4.1
2005-08-01,219.2,7.5
2005-07-01,213.9,4.5
2005-07-01,102.4,2.4
2005-06-01,104.0,4.0
2005-06-01,219.7,12.1
2005-05-01,103.1,3.1
2005-05-01,220.0,11.4
2005-04-01,99.1,-0.9
2005-04-01,210.3,8.2
2005-03-01,241.5,
2005-02-01,216.1,
2005-01-01,225.2,
2004-12-01,226.9,
2004-11-01,209.1,
2004-10-01,209.7,
2004-09-01,208.7,
2004-08-01,203.9,
2004-07-01,204.6,
2004-06-01,196.0,
2004-05-01,197.5,
2004-04-01,194.3,
2004-03-01,210.7,8.1
2004-02-01,197.3,8.3
2004-01-01,203.9,8.0
2003-12-01,202.0,7.4
2003-11-01,188.2,8.2
2003-10-01,184.4,6.2
2003-09-01,184.7,7.5
2003-08-01,182.1,5.7
2003-07-01,183.1,6.6
2003-06-01,177.3,6.7
2003-05-01,180.0,6.4
2003-04-01,174.0,4.2
2003-03-01,195.0,5.9
2003-02-01,182.2,7.0
2003-01-01,188.8,6.7
2002-12-01,188.0,6.2
2002-11-01,173.9,4.1
2002-10-01,173.6,7.0
2002-09-01,171.8,6.2
2002-08-01,172.2,6.2
2002-07-01,171.8,7.1
2002-06-01,166.2,4.5
2002-05-01,169.2,4.1
2002-04-01,167.0,4.1
2002-03-01,184.2,3.2
2002-02-01,170.3,2.4
2002-01-01,176.9,3.8
2001-12-01,177.1,3.0
2001-11-01,167.0,2.4
2001-10-01,162.2,3.2
2001-09-01,161.7,2.0
2001-08-01,162.2,3.0
2001-07-01,160.4,2.6
2001-06-01,159.0,2.6
2001-05-01,162.5,1.6
2001-04-01,160.4,2.5
2001-03-01,178.5,2.3
2001-02-01,166.3,2.9
2001-01-01,170.5,4.5
2000-12-01,171.9,3.5
2000-11-01,163.1,7.3
2000-10-01,157.2,6.6
2000-09-01,158.6,5.8
2000-08-01,157.5,4.9
2000-07-01,156.4,5.0
2000-06-01,154.9,5.9
2000-05-01,160.0,6.0
2000-04-01,156.5,6.5
2000-03-01,174.5,8.3
2000-02-01,161.6,8.2
2000-01-01,163.2,4.9
1999-12-01,166.1,8.1
1999-11-01,152.0,3.8
1999-10-01,147.4,8.4
1999-09-01,149.9,7.3
1999-08-01,150.2,7.3
1999-07-01,149.0,6.2
1999-06-01,146.3,4.8
1999-05-01,151.0,7.4
1999-04-01,147.0,4.7
1999-03-01,161.2,4.5
1999-02-01,149.4,3.5
1999-01-01,155.6,5.1
1998-12-01,153.7,4.3
1998-11-01,146.4,5.2
1998-10-01,136.0,0.0
1998-09-01,139.7,3.2
1998-08-01,140.0,4.7
1998-07-01,140.3,3.8
1998-06-01,139.6,5.4
1998-05-01,140.6,4.3
1998-04-01,140.4,4.9
1998-03-01,154.2,3.8
1998-02-01,144.3,7.0
1998-01-01,148.0,8.0
1997-12-01,147.4,7.1
1997-11-01,139.1,10.6
1997-10-01,136.0,7.0
1997-09-01,135.4,8.6
1997-08-01,133.7,5.4
1997-07-01,135.2,8.2
1997-06-01,132.4,6.5
1997-05-01,134.8,3.9
1997-04-01,133.8,4.2
1997-03-01,148.5,3.0
1997-02-01,134.8,2.3
1997-01-01,137.1,1.5
1996-12-01,137.6,3.8
1996-11-01,125.8,2.2
1996-10-01,127.1,8.7
1996-09-01,124.7,3.9
1996-08-01,126.9,8.7
1996-07-01,125.0,7.2
1996-06-01,124.3,10.0
1996-05-01,129.8,13.0
1996-04-01,128.4,11.4
1996-03-01,144.2,13.5
1996-02-01,131.8,14.4
1996-01-01,135.1,12.0
1995-12-01,132.5,12.1
1995-11-01,123.1,12.3
1995-10-01,116.9,11.4
1995-09-01,120.0,15.8
1995-08-01,116.7,12.4
1995-07-01,116.6,12.8
1995-06-01,113.0,11.2
1995-05-01,114.9,13.3
1995-04-01,115.3,15.4
1995-03-01,127.0,27.0
1995-02-01,115.2,15.2
1995-01-01,120.6,20.6
1994-12-01,118.2,18.2
1994-11-01,109.6,9.6
1994-10-01,104.9,4.9
1994-09-01,103.6,3.6
1994-08-01,103.8,3.8
1994-07-01,103.4,3.4
1994-06-01,101.6,1.6
1994-05-01,101.4,1.4
1994-04-01,99.9,-0.1
