date,series,sector,index,inflation
2026-07-01,Current,Urban,104.94,2.33
2026-07-01,Current,Combined,105.65,2.31
2026-07-01,Current,Rural,105.07,2.27
2026-07-01,Current,Urban,103.6,1.52
2026-07-01,Current,Combined,104.23,1.84
2026-07-01,Current,Rural,106.61,2.82
2026-07-01,Current,Urban,104.52,2.82
2026-07-01,Current,Combined,105.81,2.82
2026-07-01,Current,Rural,105.89,4.12
2026-07-01,Current,Urban,105.36,2.65
2026-07-01,Current,Combined,105.38,2.68
2026-07-01,Current,Rural,107.35,5.12
2026-07-01,Current,Urban,106.28,4.02
2026-07-01,Current,Combined,107.06,4.83
2026-07-01,Current,Rural,109.56,5.76
2026-07-01,Current,Urban,109.09,5.26
2026-07-01,Current,Combined,109.24,5.41
2026-07-01,Current,Rural,109.54,4.63
2026-07-01,Current,Urban,108.1,3.71
2026-07-01,Current,Combined,108.87,4.21
2026-07-01,Current,Rural,109.15,5.36
2026-07-01,Current,Urban,107.89,3.84
2026-07-01,Current,Combined,108.7,4.82
2026-07-01,Current,Rural,108.21,4.86
2026-07-01,Current,Urban,107.55,4.07
2026-07-01,Current,Combined,107.98,4.59
2026-07-01,Current,Rural,108.81,5.59
2026-07-01,Current,Urban,108.74,5.31
2026-07-01,Current,Combined,108.77,5.44
2026-07-01,Current,Rural,110.56,6.86
2026-07-01,Current,Urban,109.69,5.92
2026-07-01,Current,Combined,110.06,6.32
2026-07-01,Current,Rural,108.0,3.49
2026-07-01,Current,Urban,108.05,4.22
2026-07-01,Current,Combined,108.04,4.03
2026-07-01,Current,Rural,104.55,2.11
2026-07-01,Current,Urban,104.75,3.04
2026-07-01,Current,Combined,104.59,2.32
2026-07-01,Current,Rural,108.92,5.25
2026-07-01,Current,Urban,107.58,3.62
2026-07-01,Current,Combined,108.5,4.74
2026-07-01,Current,Rural,109.41,4.66
2026-07-01,Current,Urban,106.75,3.43
2026-07-01,Current,Combined,108.44,4.21
2026-07-01,Current,Rural,107.39,4.2
2026-07-01,Current,Urban,106.76,3.5
2026-07-01,Current,Combined,107.11,3.89
2026-06-01,Current,Rural,107.24,4.74
2026-06-01,Current,Urban,106.69,3.93
2026-06-01,Current,Combined,107.0,4.38
2026-06-01,Current,Rural,111.53,6.01
2026-06-01,Current,Urban,106.63,3.32
2026-06-01,Current,Combined,109.13,4.7
2026-06-01,Current,Rural,106.9,5.71
2026-06-01,Current,Urban,106.86,4.9
2026-06-01,Current,Combined,106.88,5.39
2026-06-01,Current,Rural,104.9,2.33
2026-06-01,Current,Urban,104.94,2.87
2026-06-01,Current,Combined,104.91,2.47
2026-06-01,Current,Rural,105.51,3.93
2026-06-01,Current,Urban,104.16,2.25
2026-06-01,Current,Combined,105.23,3.58
2026-06-01,Current,Rural,105.4,3.39
2026-06-01,Current,Urban,104.8,2.68
2026-06-01,Current,Combined,105.31,3.29
2026-06-01,Current,Urban,107.27,4.28
2026-06-01,Current,Combined,107.27,4.28
2026-06-01,Current,Rural,104.69,4.43
2026-06-01,Current,Urban,104.14,2.9
2026-06-01,Current,Combined,104.5,3.9
2026-06-01,Current,Rural,105.66,2.58
2026-06-01,Current,Urban,105.93,3.38
2026-06-01,Current,Combined,105.84,3.09
2026-06-01,Current,Rural,106.47,4.39
2026-06-01,Current,Urban,106.17,3.74
2026-06-01,Current,Combined,106.29,4.01
2026-06-01,Current,Rural,107.11,4.12
2026-06-01,Current,Urban,106.59,3.49
2026-06-01,Current,Combined,106.85,3.81
2026-06-01,Current,Rural,106.41,3.11
2026-06-01,Current,Urban,107.84,4.48
2026-06-01,Current,Combined,106.63,3.33
2026-06-01,Current,Rural,106.91,3.5
2026-06-01,Current,Urban,106.1,3.56
2026-06-01,Current,Combined,106.68,3.52
2026-06-01,Current,Rural,106.08,4.65
2026-06-01,Current,Urban,104.55,3.59
2026-06-01,Current,Combined,105.56,4.29
2026-06-01,Current,Rural,108.54,5.25
2026-06-01,Current,Urban,107.35,4.34
2026-06-01,Current,Combined,107.94,4.79
2026-06-01,Current,Rural,110.07,5.08
2026-06-01,Current,Urban,107.92,3.74
2026-06-01,Current,Combined,108.88,4.34
2026-06-01,Current,Rural,107.6,4.16
2026-06-01,Current,Urban,106.51,3.64
2026-06-01,Current,Combined,107.33,4.03
2026-06-01,Current,Rural,105.99,2.66
2026-06-01,Current,Urban,107.41,3.27
2026-06-01,Current,Combined,107.02,3.1
2026-06-01,Current,Rural,107.68,5.26
2026-06-01,Current,Urban,107.07,4.83
2026-06-01,Current,Combined,107.44,5.09
2026-06-01,Current,Rural,107.92,4.8
2026-06-01,Current,Urban,106.27,3.19
2026-06-01,Current,Combined,106.92,3.82
2026-06-01,Current,Rural,103.87,3.23
2026-06-01,Current,Urban,104.71,2.33
2026-06-01,Current,Combined,104.14,2.94
2026-06-01,Current,Rural,106.03,2.69
2026-06-01,Current,Urban,104.76,2.46
2026-06-01,Current,Combined,105.7,2.63
2026-06-01,Current,Rural,104.62,1.88
2026-06-01,Current,Urban,103.36,1.43
2026-06-01,Current,Combined,103.9,1.63
2026-06-01,Current,Rural,106.47,2.87
2026-06-01,Current,Urban,104.33,2.76
2026-06-01,Current,Combined,105.65,2.83
2026-06-01,Current,Rural,104.48,3.92
2026-06-01,Current,Urban,104.76,2.94
2026-06-01,Current,Combined,104.75,2.96
2026-06-01,Current,Rural,106.43,5.4
2026-06-01,Current,Urban,105.82,4.47
2026-06-01,Current,Combined,106.27,5.15
2026-06-01,Current,Rural,108.87,6.05
2026-06-01,Current,Urban,108.32,5.1
2026-06-01,Current,Combined,108.49,5.39
2026-06-01,Current,Rural,107.97,4.25
2026-06-01,Current,Urban,106.76,3.34
2026-06-01,Current,Combined,107.41,3.83
2026-06-01,Current,Rural,107.73,5.09
2026-06-01,Current,Urban,106.94,3.98
2026-06-01,Current,Combined,107.45,4.7
2026-06-01,Current,Rural,107.8,4.61
2026-06-01,Current,Urban,107.22,4.27
2026-06-01,Current,Combined,107.61,4.49
2026-06-01,Current,Rural,108.24,5.49
2026-06-01,Current,Urban,108.1,5.05
2026-06-01,Current,Combined,108.16,5.24
2026-06-01,Current,Rural,109.99,6.94
2026-06-01,Current,Urban,109.19,5.94
2026-06-01,Current,Combined,109.53,6.36
2026-06-01,Current,Rural,107.66,4.75
2026-06-01,Current,Urban,106.89,4.11
2026-06-01,Current,Combined,107.08,4.27
2026-06-01,Current,Rural,103.47,1.43
2026-06-01,Current,Urban,103.53,2.27
2026-06-01,Current,Combined,103.48,1.63
2026-06-01,Current,Rural,107.47,4.94
2026-06-01,Current,Urban,106.56,3.74
2026-06-01,Current,Combined,107.18,4.56
2026-06-01,Current,Rural,108.34,4.58
2026-06-01,Current,Urban,105.91,3.31
2026-06-01,Current,Combined,107.45,4.12
2026-06-01,Current,Rural,106.23,4.37
2026-06-01,Current,Urban,105.83,3.41
2026-06-01,Current,Combined,106.05,3.95
2026-05-01,Current,Rural,106.11,4.25
2026-05-01,Current,Urban,105.66,3.53
2026-05-01,Current,Combined,105.91,3.93
2026-05-01,Current,Rural,109.05,5.67
2026-05-01,Current,Urban,105.64,3.06
2026-05-01,Current,Combined,107.38,4.4
2026-05-01,Current,Rural,106.04,5.09
2026-05-01,Current,Urban,106.1,4.6
2026-05-01,Current,Combined,106.06,4.9
2026-05-01,Current,Rural,104.35,2.56
2026-05-01,Current,Urban,104.37,2.66
2026-05-01,Current,Combined,104.36,2.58
2026-05-01,Current,Rural,105.05,3.79
2026-05-01,Current,Urban,103.69,2.09
2026-05-01,Current,Combined,104.77,3.44
2026-05-01,Current,Rural,104.57,3.07
2026-05-01,Current,Urban,103.77,2.12
2026-05-01,Current,Combined,104.46,2.94
2026-05-01,Current,Urban,105.94,3.8
2026-05-01,Current,Combined,105.94,3.8
2026-05-01,Current,Rural,102.94,3.25
2026-05-01,Current,Urban,102.85,2.14
2026-05-01,Current,Combined,102.9,2.87
2026-05-01,Current,Rural,104.63,2.0
2026-05-01,Current,Urban,105.0,2.73
2026-05-01,Current,Combined,104.87,2.47
2026-05-01,Current,Rural,105.01,3.73
2026-05-01,Current,Urban,104.66,2.95
2026-05-01,Current,Combined,104.8,3.27
2026-05-01,Current,Rural,105.85,3.42
2026-05-01,Current,Urban,105.46,2.77
2026-05-01,Current,Combined,105.65,3.1
2026-05-01,Current,Rural,105.33,2.87
2026-05-01,Current,Urban,106.93,4.03
2026-05-01,Current,Combined,105.58,3.05
2026-05-01,Current,Rural,105.91,2.8
2026-05-01,Current,Urban,105.24,2.96
2026-05-01,Current,Combined,105.72,2.85
2026-05-01,Current,Rural,104.9,4.25
2026-05-01,Current,Urban,103.46,3.1
2026-05-01,Current,Combined,104.41,3.86
2026-05-01,Current,Rural,107.59,4.83
2026-05-01,Current,Urban,106.69,4.35
2026-05-01,Current,Combined,107.14,4.59
2026-05-01,Current,Rural,108.03,4.72
2026-05-01,Current,Urban,106.65,3.96
2026-05-01,Current,Combined,107.27,4.3
2026-05-01,Current,Rural,106.6,3.21
2026-05-01,Current,Urban,105.91,2.9
2026-05-01,Current,Combined,106.43,3.13
2026-05-01,Current,Rural,105.34,3.0
2026-05-01,Current,Urban,106.67,3.79
2026-05-01,Current,Combined,106.3,3.57
2026-05-01,Current,Rural,106.4,4.33
2026-05-01,Current,Urban,105.76,3.93
2026-05-01,Current,Combined,106.15,4.17
2026-05-01,Current,Rural,106.45,4.21
2026-05-01,Current,Urban,105.19,2.8
2026-05-01,Current,Combined,105.69,3.35
2026-05-01,Current,Rural,103.27,3.06
2026-05-01,Current,Urban,104.04,2.22
2026-05-01,Current,Combined,103.52,2.79
2026-05-01,Current,Rural,105.45,2.78
2026-05-01,Current,Urban,104.45,2.45
2026-05-01,Current,Combined,105.19,2.7
2026-05-01,Current,Rural,103.99,1.42
2026-05-01,Current,Urban,102.64,0.74
2026-05-01,Current,Combined,103.22,1.03
2026-05-01,Current,Rural,106.26,3.7
2026-05-01,Current,Urban,104.09,2.67
2026-05-01,Current,Combined,105.43,3.31
2026-05-01,Current,Rural,103.31,3.53
2026-05-01,Current,Urban,103.89,2.47
2026-05-01,Current,Combined,103.88,2.49
2026-05-01,Current,Rural,105.28,4.83
2026-05-01,Current,Urban,104.8,3.74
2026-05-01,Current,Combined,105.15,4.54
2026-05-01,Current,Rural,107.24,5.16
2026-05-01,Current,Urban,107.19,4.93
2026-05-01,Current,Combined,107.21,5.0
2026-05-01,Current,Rural,106.68,3.64
2026-05-01,Current,Urban,105.63,2.99
2026-05-01,Current,Combined,106.2,3.34
2026-05-01,Current,Rural,106.53,4.53
2026-05-01,Current,Urban,105.95,3.54
2026-05-01,Current,Combined,106.32,4.17
2026-05-01,Current,Rural,107.1,4.34
2026-05-01,Current,Urban,106.59,4.0
2026-05-01,Current,Combined,106.92,4.22
2026-05-01,Current,Rural,107.37,5.58
2026-05-01,Current,Urban,106.96,4.75
2026-05-01,Current,Combined,107.14,5.11
2026-05-01,Current,Rural,109.1,6.59
2026-05-01,Current,Urban,108.51,5.81
2026-05-01,Current,Combined,108.76,6.14
2026-05-01,Current,Rural,105.0,3.38
2026-05-01,Current,Urban,105.75,4.22
2026-05-01,Current,Combined,105.56,4.01
2026-05-01,Current,Rural,102.83,1.78
2026-05-01,Current,Urban,103.41,2.8
2026-05-01,Current,Combined,102.97,2.02
2026-05-01,Current,Rural,106.24,4.3
2026-05-01,Current,Urban,105.58,3.27
2026-05-01,Current,Combined,106.03,3.97
2026-05-01,Current,Rural,107.13,4.29
2026-05-01,Current,Urban,105.04,2.71
2026-05-01,Current,Combined,106.36,3.72
2026-05-01,Current,Rural,105.19,3.94
2026-05-01,Current,Urban,104.8,2.81
2026-05-01,Current,Combined,105.02,3.44
2026-04-01,Current,Rural,105.28,3.74
2026-04-01,Current,Urban,104.92,3.16
2026-04-01,Current,Combined,105.12,3.48
2026-04-01,Current,Rural,106.83,3.79
2026-04-01,Current,Urban,105.07,2.66
2026-04-01,Current,Combined,105.97,3.23
2026-04-01,Current,Rural,104.92,4.29
2026-04-01,Current,Urban,105.33,4.07
2026-04-01,Current,Combined,105.08,4.2
2026-04-01,Current,Rural,103.39,2.13
2026-04-01,Current,Urban,103.5,1.95
2026-04-01,Current,Combined,103.42,2.08
2026-04-01,Current,Rural,104.33,3.43
2026-04-01,Current,Urban,103.4,2.41
2026-04-01,Current,Combined,104.14,3.22
2026-04-01,Current,Rural,104.17,2.88
2026-04-01,Current,Urban,103.1,1.88
2026-04-01,Current,Combined,104.02,2.74
2026-04-01,Current,Urban,105.02,3.57
2026-04-01,Current,Combined,105.02,3.57
2026-04-01,Current,Rural,101.76,1.89
2026-04-01,Current,Urban,102.0,1.53
2026-04-01,Current,Combined,101.84,1.77
2026-04-01,Current,Rural,104.07,1.68
2026-04-01,Current,Urban,104.39,2.48
2026-04-01,Current,Combined,104.28,2.19
2026-04-01,Current,Rural,104.18,3.21
2026-04-01,Current,Urban,103.86,2.6
2026-04-01,Current,Combined,103.99,2.85
2026-04-01,Current,Rural,105.35,3.34
2026-04-01,Current,Urban,104.92,2.62
2026-04-01,Current,Combined,105.14,2.98
2026-04-01,Current,Rural,105.29,3.55
2026-04-01,Current,Urban,106.31,4.15
2026-04-01,Current,Combined,105.45,3.64
2026-04-01,Current,Rural,105.6,2.64
2026-04-01,Current,Urban,104.94,2.79
2026-04-01,Current,Combined,105.41,2.68
2026-04-01,Current,Rural,104.28,3.3
2026-04-01,Current,Urban,102.82,2.05
2026-04-01,Current,Combined,103.78,2.88
2026-04-01,Current,Rural,106.63,4.25
2026-04-01,Current,Urban,105.84,3.77
2026-04-01,Current,Combined,106.23,4.0
2026-04-01,Current,Rural,106.79,4.32
2026-04-01,Current,Urban,105.49,3.32
2026-04-01,Current,Combined,106.07,3.77
2026-04-01,Current,Rural,105.69,1.95
2026-04-01,Current,Urban,105.79,2.24
2026-04-01,Current,Combined,105.71,2.02
2026-04-01,Current,Rural,104.76,2.79
2026-04-01,Current,Urban,105.99,3.65
2026-04-01,Current,Combined,105.65,3.42
2026-04-01,Current,Rural,105.47,3.8
2026-04-01,Current,Urban,105.04,3.47
2026-04-01,Current,Combined,105.3,3.67
2026-04-01,Current,Rural,105.5,3.73
2026-04-01,Current,Urban,104.66,2.74
2026-04-01,Current,Combined,104.99,3.13
2026-04-01,Current,Rural,102.83,2.4
2026-04-01,Current,Urban,103.73,2.19
2026-04-01,Current,Combined,103.12,2.33
2026-04-01,Current,Rural,104.97,3.31
2026-04-01,Current,Urban,103.63,2.0
2026-04-01,Current,Combined,104.62,2.97
2026-04-01,Current,Rural,103.56,1.02
2026-04-01,Current,Urban,102.3,0.44
2026-04-01,Current,Combined,102.84,0.69
2026-04-01,Current,Rural,106.17,3.75
2026-04-01,Current,Urban,103.86,3.0
2026-04-01,Current,Combined,105.29,3.46
2026-04-01,Current,Rural,102.37,2.71
2026-04-01,Current,Urban,103.23,1.95
2026-04-01,Current,Combined,103.22,1.96
2026-04-01,Current,Rural,104.07,3.64
2026-04-01,Current,Urban,103.76,2.91
2026-04-01,Current,Combined,103.99,3.44
2026-04-01,Current,Rural,106.28,4.71
2026-04-01,Current,Urban,105.9,4.27
2026-04-01,Current,Combined,106.02,4.41
2026-04-01,Current,Rural,106.26,3.57
2026-04-01,Current,Urban,105.09,2.99
2026-04-01,Current,Combined,105.72,3.3
2026-04-01,Current,Rural,105.74,4.03
2026-04-01,Current,Urban,105.19,3.29
2026-04-01,Current,Combined,105.54,3.77
2026-04-01,Current,Rural,106.62,4.29
2026-04-01,Current,Urban,106.11,3.9
2026-04-01,Current,Combined,106.45,4.16
2026-04-01,Current,Rural,105.78,4.41
2026-04-01,Current,Urban,105.84,4.0
2026-04-01,Current,Combined,105.81,4.18
2026-04-01,Current,Rural,108.21,6.23
2026-04-01,Current,Urban,107.77,5.5
2026-04-01,Current,Combined,107.96,5.81
2026-04-01,Current,Rural,103.82,2.95
2026-04-01,Current,Urban,104.71,3.49
2026-04-01,Current,Combined,104.48,3.36
2026-04-01,Current,Rural,102.63,2.17
2026-04-01,Current,Urban,102.86,2.9
2026-04-01,Current,Combined,102.68,2.34
2026-04-01,Current,Rural,105.55,3.83
2026-04-01,Current,Urban,105.01,3.07
2026-04-01,Current,Combined,105.38,3.59
2026-04-01,Current,Rural,106.69,3.98
2026-04-01,Current,Urban,104.5,2.66
2026-04-01,Current,Combined,105.88,3.5
2026-04-01,Current,Rural,104.35,3.37
2026-04-01,Current,Urban,104.18,2.46
2026-04-01,Current,Combined,104.27,2.97
2026-03-01,Current,Rural,105.02,3.63
2026-03-01,Current,Urban,104.62,3.11
2026-03-01,Current,Combined,104.84,3.4
2026-03-01,Current,Rural,106.72,4.16
2026-03-01,Current,Urban,104.88,2.71
2026-03-01,Current,Combined,105.81,3.45
