date,age_group,gender,sector,unemployment_rate_pct
2025-10-01,All ages,person,rural + urban,5.2
2025-09-01,15-29 years,male,rural,13.0
2025-09-01,15 years and above,male,rural,4.7
2025-09-01,All ages,male,rural,4.7
2025-09-01,15-29 years,male,urban,16.0
2025-09-01,15 years and above,male,urban,6.0
2025-09-01,All ages,male,urban,6.0
2025-09-01,15-29 years,male,rural + urban,13.9
2025-09-01,15 years and above,male,rural + urban,5.1
2025-09-01,All ages,male,rural + urban,5.1
2025-09-01,15-29 years,female,rural,14.1
2025-09-01,15 years and above,female,rural,4.3
2025-09-01,All ages,female,rural,4.3
2025-09-01,15-29 years,female,urban,26.4
2025-09-01,15 years and above,female,urban,9.3
2025-09-01,All ages,female,urban,9.3
2025-09-01,15-29 years,female,rural + urban,17.8
2025-09-01,15 years and above,female,rural + urban,5.5
2025-09-01,All ages,female,rural + urban,5.5
2025-09-01,15-29 years,person,rural,13.3
2025-09-01,15 years and above,person,rural,4.6
2025-09-01,All ages,person,rural,4.6
2025-09-01,15-29 years,person,urban,18.5
2025-09-01,15 years and above,person,urban,6.8
2025-09-01,All ages,person,urban,6.8
2025-09-01,15-29 years,person,rural + urban,15.0
2025-09-01,15 years and above,person,rural + urban,5.2
2025-09-01,All ages,person,rural + urban,5.3
2025-08-01,15-29 years,male,rural,12.6
2025-08-01,15 years and above,male,rural,4.5
2025-08-01,All ages,male,rural,4.5
2025-08-01,15-29 years,male,urban,15.6
2025-08-01,15 years and above,male,urban,5.9
2025-08-01,All ages,male,urban,5.9
2025-08-01,15-29 years,male,rural + urban,13.5
2025-08-01,15 years and above,male,rural + urban,5.0
2025-08-01,All ages,male,rural + urban,5.0
2025-08-01,15-29 years,female,rural,14.3
2025-08-01,15 years and above,female,rural,4.0
2025-08-01,All ages,female,rural,4.0
2025-08-01,15-29 years,female,urban,25.7
2025-08-01,15 years and above,female,urban,8.9
2025-08-01,All ages,female,urban,9.0
2025-08-01,15-29 years,female,rural + urban,17.8
2025-08-01,15 years and above,female,rural + urban,5.2
2025-08-01,All ages,female,rural + urban,5.3
2025-08-01,15-29 years,person,rural,13.0
2025-08-01,15 years and above,person,rural,4.3
2025-08-01,All ages,person,rural,4.4
2025-08-01,15-29 years,person,urban,18.0
2025-08-01,15 years and above,person,urban,6.7
2025-08-01,All ages,person,urban,6.7
2025-08-01,15-29 years,person,rural + urban,14.6
2025-08-01,15 years and above,person,rural + urban,5.1
2025-08-01,All ages,person,rural + urban,5.1
2025-07-01,15-29 years,male,rural,13.0
2025-07-01,15 years and above,male,rural,4.6
2025-07-01,All ages,male,rural,4.6
2025-07-01,15-29 years,male,urban,17.1
2025-07-01,15 years and above,male,urban,6.6
2025-07-01,All ages,male,urban,6.7
2025-07-01,15-29 years,male,rural + urban,14.3
2025-07-01,15 years and above,male,rural + urban,5.3
2025-07-01,All ages,male,rural + urban,5.3
2025-07-01,15-29 years,female,rural,13.0
2025-07-01,15 years and above,female,rural,3.9
2025-07-01,All ages,female,rural,3.9
2025-07-01,15-29 years,female,urban,25.1
2025-07-01,15 years and above,female,urban,8.7
2025-07-01,All ages,female,urban,8.7
2025-07-01,15-29 years,female,rural + urban,16.7
2025-07-01,15 years and above,female,rural + urban,5.1
2025-07-01,All ages,female,rural + urban,5.1
2025-07-01,15-29 years,person,rural,13.0
2025-07-01,15 years and above,person,rural,4.4
2025-07-01,All ages,person,rural,4.4
2025-07-01,15-29 years,person,urban,19.0
2025-07-01,15 years and above,person,urban,7.2
2025-07-01,All ages,person,urban,7.2
2025-07-01,15-29 years,person,rural + urban,14.9
2025-07-01,15 years and above,person,rural + urban,5.2
2025-07-01,All ages,person,rural + urban,5.2
2025-06-01,15-29 years,male,rural,13.8
2025-06-01,15 years and above,male,rural,5.1
2025-06-01,All ages,male,rural,5.1
2025-06-01,15-29 years,male,urban,16.6
2025-06-01,15 years and above,male,urban,6.4
2025-06-01,All ages,male,urban,6.4
2025-06-01,15-29 years,male,rural + urban,14.7
2025-06-01,15 years and above,male,rural + urban,5.6
2025-06-01,All ages,male,rural + urban,5.6
2025-06-01,15-29 years,female,rural,13.7
2025-06-01,15 years and above,female,rural,4.4
2025-06-01,All ages,female,rural,4.4
2025-06-01,15-29 years,female,urban,25.8
2025-06-01,15 years and above,female,urban,9.1
2025-06-01,All ages,female,urban,9.1
2025-06-01,15-29 years,female,rural + urban,17.4
2025-06-01,15 years and above,female,rural + urban,5.6
2025-06-01,All ages,female,rural + urban,5.6
