symbol,signal_date,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,shares,gross_pnl_pct,net_pnl_pct,cost_pct
HDFCLIFE,2019-06-27,2019-06-28,457.95,436.8103833907751,510.7990415230622,2019-07-09,465.4,time,7,21,1.6268151544928555,1.3020707987553295,0.3247443557375259
ADANIPOWER,2019-07-01,2019-07-02,60.75,54.996494543381694,75.13376364154577,2019-07-11,63.35,time,7,164,4.279835390946496,3.9510153965432036,0.32881999440329224
NMDC,2019-07-03,2019-07-04,118.0,111.77749848719485,133.55625378201287,2019-07-05,111.77749848719485,stop,1,84,-5.273306366784025,-5.587450576437406,0.31414420965338086
IBVENTURES,2019-07-05,2019-07-08,332.35,287.84595023500583,443.6101244124855,2019-07-15,287.84595023500583,stop,5,30,-13.390717546259722,-13.692391577806502,0.30167403154677963
JUSTDIAL,2019-07-09,2019-07-10,803.0,737.1601737198284,967.5995657004289,2019-07-19,761.05,time,7,12,-5.224159402241602,-5.538379112739734,0.314219710498132
LICHSGFIN,2019-07-09,2019-07-10,573.15,542.5420157865153,649.6699605337114,2019-07-10,542.5420157865153,stop,0,17,-5.340309554825906,-5.654350832439734,0.3140412776138281
BEML,2019-07-11,2019-07-12,915.8,840.7238197782204,1103.4904505544487,2019-07-23,893.4,time,7,10,-2.4459488971391163,-2.76443656684866,0.31848766970954356
TATACOMM,2019-07-11,2019-07-12,505.8,466.0516994983672,605.170751254082,2019-07-19,466.0516994983672,stop,5,19,-7.858501483122337,-8.168674248822926,0.31017276570058894
INFY,2019-07-15,2019-07-16,777.0,745.458586727292,855.8535331817701,2019-07-25,788.25,time,7,12,1.4478764478764505,1.123406982432435,0.32446946544401545
SUNPHARMA,2019-07-15,2019-07-16,420.8,391.5881410685486,493.82964732862854,2019-07-25,425.8,time,7,23,1.18821292775666,0.864142364163504,0.32407056359315595
COLPAL,2019-07-18,2019-07-19,1207.0,1154.498236580394,1338.2544085490151,2019-07-19,1154.498236580394,stop,0,8,-4.349773274200997,-4.665336239403064,0.31556296520206734
