symbol,n_trades,mean_net_pct,total_net_pct,win_rate_pct,sector,strategy
ATGL,9,-4.637473984990058,-41.737265864910526,33.33333333333333,Oil & Gas,mean_reversion
SPICEJET,8,-3.934788750373801,-31.47831000299041,25.0,(unmapped),mean_reversion
ALKYLAMINE,5,-3.7791033279299833,-18.895516639649916,20.0,(unmapped),mean_reversion
TV18BRDCST,9,-3.6981781315295956,-33.28360318376636,33.33333333333333,(unmapped),mean_reversion
AFFLE,6,-3.4979556838217363,-20.987734102930418,16.666666666666664,Internet/Platform,mean_reversion
CROMPTON,6,-6.006304120169268,-36.03782472101561,0.0,Consumer Durables,delivery_breakout
MFSL,7,-4.316454557029033,-30.21518189920323,14.285714285714285,Financial Services,delivery_breakout
NTPC,5,-4.072912690210319,-20.364563451051595,0.0,Power,delivery_breakout
GODREJPROP,14,-4.025448161928273,-56.356274266995825,14.285714285714285,Realty,delivery_breakout
DIXON,5,-3.3263462584796004,-16.631731292398,20.0,Consumer Durables,delivery_breakout
COROMANDEL,6,-4.5413086574723955,-27.247851944834373,16.666666666666664,Chemicals,oi_momentum
POLYCAB,7,-2.6620849898893395,-18.634594929225376,28.57142857142857,Capital Goods,oi_momentum
CUMMINSIND,9,-1.3573913387559022,-12.216522048803121,44.44444444444444,Auto,oi_momentum
IOC,5,-1.1528242048482553,-5.764121024241277,40.0,Oil & Gas,oi_momentum
AARTIIND,5,-0.3962106725679149,-1.9810533628395746,40.0,Chemicals,oi_momentum
AMBUJACEM,6,-5.341851231796127,-32.051107390776764,16.666666666666664,Cement,participant_tilt
IBULHSGFIN,9,-4.073930760026385,-36.665376840237464,22.22222222222222,(unmapped),participant_tilt
ABCAPITAL,8,-3.707906691653911,-29.663253533231288,25.0,Financial Services,participant_tilt
DEEPAKNTR,6,-3.5074043438894127,-21.044426063336477,33.33333333333333,(unmapped),participant_tilt
MOTHERSUMI,7,-3.406207376520958,-23.84345163564671,42.857142857142854,(unmapped),participant_tilt
SBICARD,5,-3.5713202190536073,-17.856601095268037,0.0,Financial Services,participant_tilt_stress_gated
GLAND,9,-2.887580867136833,-25.988227804231496,22.22222222222222,Pharma,participant_tilt_stress_gated
BAJFINANCE,5,-2.2787387174957745,-11.393693587478872,20.0,Financial Services,participant_tilt_stress_gated
ABFRL,5,-1.8298121466510469,-9.149060733255235,40.0,(unmapped),participant_tilt_stress_gated
VOLTAS,7,-1.7109410776658023,-11.976587543660616,28.57142857142857,Consumer Durables,participant_tilt_stress_gated
OBEROIRLTY,5,-3.9824257394910774,-19.912128697455387,20.0,Realty,vol_squeeze_breakout
IDFC,7,-3.872087460612058,-27.104612224284406,28.57142857142857,(unmapped),vol_squeeze_breakout
CONCOR,5,-3.2730275072887354,-16.365137536443676,20.0,Logistics,vol_squeeze_breakout
APLAPOLLO,6,-3.144687399895909,-18.868124399375453,16.666666666666664,Metals,vol_squeeze_breakout
MARUTI,7,-3.0926835177836667,-21.648784624485668,14.285714285714285,Auto,vol_squeeze_breakout
IDBI,8,-6.77068502593481,-54.16548020747848,12.5,Banking,price_action_long
YESBANK,10,-4.911970635290858,-49.11970635290859,10.0,Banking,price_action_long
BOMDYEING,5,-4.494727267186543,-22.473636335932717,20.0,(unmapped),price_action_long
PIIND,12,-3.7383295430822696,-44.85995451698724,25.0,Chemicals,price_action_long
GRANULES,8,-3.403187746755913,-27.225501974047305,12.5,(unmapped),price_action_long
IRB,5,-22.74528582389745,-113.72642911948725,20.0,(unmapped),momentum
TANLA,5,-13.270467897602606,-66.35233948801303,20.0,(unmapped),momentum
CHENNPETRO,6,-8.455000461905339,-50.730002771432034,33.33333333333333,(unmapped),momentum
JPPOWER,6,-6.0132276307322945,-36.079365784393765,16.666666666666664,(unmapped),momentum
JSWSTEEL,5,-5.890246022023236,-29.451230110116178,20.0,Metals,momentum
JINDALSTEL,28,-3.0568174270056363,-85.59088795615781,35.714285714285715,Metals,pairs_reversion
BANKBARODA,6,-1.6712698511094686,-10.027619106656811,16.666666666666664,Banking,pairs_reversion
RECLTD,19,-1.2764310030736425,-24.252189058399207,31.57894736842105,Financial Services,pairs_reversion
HINDALCO,6,-1.0894176538823894,-6.536505923294337,33.33333333333333,Metals,pairs_reversion
NATIONALUM,6,-0.4623555215625028,-2.774133129375017,33.33333333333333,Metals,pairs_reversion
FSL,7,-3.882163628747091,-27.17514540122964,14.285714285714285,IT,same_sector_pairing
BANDHANBNK,8,-3.865032535691744,-30.920260285533953,37.5,Banking,same_sector_pairing
BHEL,24,-3.605360526245375,-86.528652629889,54.166666666666664,Capital Goods,same_sector_pairing
SAIL,15,-3.50729537022319,-52.60943055334785,26.666666666666668,Metals,same_sector_pairing
ALKEM,6,-3.2415784431174703,-19.449470658704822,16.666666666666664,Pharma,same_sector_pairing
