seed,n_signals,n_resolved,n_unresolved,n_no_fill,mean_net_pct,median_net_pct,std_net_pct,mean_gross_pct,win_rate_pct,hit_rate_pct,expiry_rate_pct,mean_held_days,mean_cost_pct
42,38433,37888,43,502,-0.6327530585180892,-0.6548817625183132,8.516555967185708,-0.31098560268656195,45.790223817567565,6.030444964871195,72.95185810810811,5.9461043074324325,0.3217674558315272
43,38439,37917,43,479,-0.5896063576685385,-0.645821423055547,8.579372737660808,-0.26777251677088737,45.844871693435664,6.3750854241921315,72.9857319935649,5.954505894453675,0.32183384089765116
44,38364,37819,47,498,-0.6088391700092894,-0.6467729705308798,8.553702084570931,-0.2870349205170956,45.884343848330204,5.921951219512195,72.89722097358471,5.944022845659589,0.32180424949219366
45,38513,37974,46,493,-0.6157857453350866,-0.6205614761174394,8.480610196378278,-0.29399218377159325,45.87875915099805,5.8495549251687375,73.07894875441092,5.95059777742666,0.32179356156349337
46,38384,37818,53,513,-0.5984921214458431,-0.6601741074525613,8.487339576995721,-0.27667195209211776,45.9754614204876,6.241413150147203,73.05515891903326,5.951372362367127,0.3218201693537253
47,38393,37862,35,496,-0.6152782901994742,-0.6763103680851014,8.552254213732857,-0.2934839478707759,45.85336221013153,5.947158038412791,72.90951349638159,5.941418836828483,0.3217943423286983
48,38425,37905,38,482,-0.6175208697916467,-0.7052176064657429,8.562891360622121,-0.29572997787263405,45.52433715868619,6.123044027602294,72.8558237699512,5.941828254847645,0.3217908919190126
49,38459,37908,47,504,-0.6477971662996895,-0.6973257175082992,8.485927602458544,-0.326052857176258,45.62097710245858,5.79738245273873,72.78938482642187,5.946185501741057,0.32174430912343155
50,38394,37902,36,456,-0.666271308624598,-0.7370481385358542,8.51508212183353,-0.34455542362481145,45.451427365310536,5.982575024201355,72.74550155664609,5.945095245633476,0.3217158849997865
51,38419,37873,41,505,-0.6008445107674402,-0.6621740614670428,8.465999478857395,-0.2790279607755104,45.68690095846645,6.156843643448612,72.89625854830618,5.9442610830934965,0.3218165499919297
52,38472,37958,43,471,-0.6624421683339136,-0.695084755971819,8.478353553247784,-0.34072039185861713,45.51346224774751,5.881218665638257,72.67506191053269,5.927841298277043,0.3217217764752966
