symbol,signal_date,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,shares,gross_pnl_pct,net_pnl_pct,cost_pct
AJANTPHARM,2019-06-27,2019-06-28,960.0,895.0559160099215,1122.360209975196,2019-07-09,929.7,time,7,10,-3.156249999999994,-3.473646486687494,0.31739648668750003
BIOCON,2019-06-27,2019-06-28,248.35,209.60483613780121,345.21290965549696,2019-07-09,240.7,time,7,40,-3.080330179182611,-3.3978432958727662,0.31751311669015503
CASTROLIND,2019-06-27,2019-06-28,136.4,130.0724959970105,152.2187600074738,2019-07-01,130.0724959970105,stop,1,73,-4.638932553511377,-4.954051304710426,0.3151187511990495
CGPOWER,2019-06-27,2019-06-28,29.1,24.64300877351478,40.24247806621305,2019-07-08,24.64300877351478,stop,6,343,-15.316121053213816,-15.614837229832721,0.29871617661890554
CHOLAFIN,2019-06-27,2019-06-28,285.0,138.10098950794642,652.2475262301339,2019-07-09,272.5,time,7,35,-4.385964912280704,-4.701472278947371,0.3155073666666667
EQUITAS,2019-06-27,2019-06-28,119.6,109.08902450410433,145.87743873973915,2019-07-09,116.35,time,7,83,-2.717391304347827,-3.035461977173914,0.318070672826087
GLENMARK,2019-06-27,2019-06-28,450.95,417.4319242982581,534.7451892543547,2019-07-09,438.85,time,7,22,-2.6832243042465787,-3.001347465306563,0.3181231610599845
GODFRYPHLP,2019-06-27,2019-06-28,844.5,773.9536432183106,1020.8658919542236,2019-07-09,794.0,time,7,11,-5.979869745411481,-6.292928514031966,0.31305876862048554
GRUH,2019-06-27,2019-06-28,275.15,253.346516308468,329.6587092288299,2019-07-09,283.0,time,7,36,2.8529892785753352,2.5263612422678667,0.32662803630746867
IRB,2019-06-27,2019-06-28,97.0,81.8659180781325,134.83520480466876,2019-07-09,92.0,time,7,103,-5.154639175257736,-5.468965684536086,0.31432650927835054
JISLJALEQS,2019-06-27,2019-06-28,27.85,19.407724096123687,48.95568975969079,2019-07-09,24.0,time,7,359,-13.824057450628368,-14.125065774147219,0.301008323518851
LIQUIDBEES,2019-06-27,2019-06-28,999.99,999.1963441886014,1001.9741395284965,2019-07-09,999.99,time,7,10,0.0,-0.3222452,0.3222452
