label,n_trades,mean_net_pct,win_rate_pct,t_stat,placebo_mean,placebo_max,beats_best_placebo,percentile_vs_placebos
"FULL UNIVERSE (baseline, ~200 names)",4031,0.6013887475221124,53.53510295212106,0.5503609669855355,0.7626785630494758,1.2665817372822585,False,10.0
LIQUID-50 (top 50 by turnover),942,-0.03907748731714806,54.67091295116773,-0.4482117045748823,0.23391974211882632,0.9477639766110312,False,20.0
