hypothesis_id,title,split,window,decision,n_trades,n_buckets,real_mean_pct,t_stat,prob_mean_positive_pct,mean_ci_lo_pct,mean_ci_median_pct,mean_ci_hi_pct,prob_compounded_positive_pct,compounded_ci_lo_pct,compounded_ci_median_pct,compounded_ci_hi_pct
5d7650b1840e,mean_reversion re-test (honest execution),primary,train,rejected,20499,616,-0.9716821472524911,-0.8246089970331484,23.74,-0.6412865679191045,-0.1685998372875962,0.29294020710498825,10.76,-99.14621599312812,-83.65266300721967,188.5878839334652
61fcd3023c4b,delivery_breakout (honest execution),delivery,train,rejected,2194,170,0.07686752968880095,-1.9481130415670311,4.3999999999999995,-1.3598855141058308,-0.5704569849688614,0.07437551644422712,3.2300000000000004,-92.45478697665045,-67.01735467223267,4.925809096593125
80aff81a749e,oi_momentum (honest execution),primary,train,rejected,2448,328,-0.6272720050426498,-4.524196006424618,0.01,-1.9013093710629076,-1.261512210134681,-0.616607712404124,0.0,-99.87526795285444,-98.97487740770472,-91.67682761064177
ee447825d3a7,participant_tilt (honest execution),delivery,train,rejected,2916,125,-0.5152768107504366,1.999294167646228,97.57000000000001,0.0038548891403296036,0.9819059196593785,2.142242209569252,95.94,-11.139867691905215,186.00116730549678,970.250100866039
663cebb9f054,vol_squeeze_breakout (honest execution),primary,train,rejected,4792,558,-0.3819995458716935,-5.984968856407491,0.0,-1.4984849318976348,-1.093077304283527,-0.7025800989803573,0.0,-99.98711541400885,-99.87241817553885,-98.83269868356774
e39de46a0f24,"vol_squeeze_breakout (delay=2, honest execution)",primary,train,rejected,4802,550,0.07737708047243456,-1.7651134564207416,7.630000000000001,-0.8199113273091294,-0.33818008834748325,0.12225260765462824,3.1199999999999997,-99.42178008418963,-91.26257615064162,10.296997598115759
ddc14822fb70,price_action LONG (honest execution),primary,train,rejected,8807,618,-0.590941119880795,-6.170574796786849,0.0,-1.6258170929890765,-1.1619428190046193,-0.7240324724569549,0.0,-99.99805143273836,-99.96366637726254,-99.42760005209757
0b11b017cef9,pairs_reversion (honest fills + costs),primary,train,rejected,216,160,0.1760419617914634,0.5776570522850745,81.23,-0.1654891272129494,0.15626579639082178,0.5698790035265194,76.67,-25.783433655474663,22.23919957332904,124.82156352155482
c55019a896e7,same_sector_pairing (random draw),primary,train,accepted,3409,468,0.274762587370361,3.4913311580438458,99.92,0.10925284738388824,0.2829420256712038,0.4525425292547827,99.83999999999999,54.37470539404507,247.7692744513765,664.509807237821
1d82fec2bbbc,same_sector_pairing (liquidity-ranked),primary,train,accepted,3705,467,0.24323380302258918,3.703167914004793,99.99,0.12011777386801614,0.27536466811338833,0.44165363210936304,99.95,63.59705144760816,236.57852439112742,624.6649758827815
5dbcd00310b3,same_sector_pairing (random draw),primary,val,rejected,2068,248,0.052055364377244874,0.7682841121871135,73.81,-0.14681823662857102,0.06821093360041794,0.2778157959664638,69.15,-33.19022839382199,14.13086043009929,91.87528832541993
a7f9414d3392,same_sector_pairing (liquidity-ranked),primary,val,rejected,2301,247,0.06631151345266428,0.945466983103245,73.44000000000001,-0.16674080062005087,0.07468160428562001,0.3048662351659885,69.39,-36.55424485022001,16.16300259900183,105.39645044031994
71357c1af8cd,same_sector_pairing (random draw),delivery,train,rejected,1739,209,-0.07386091423251044,0.3725018206941513,63.79,-0.16683727093897835,0.03665743630242581,0.25404399023606555,60.150000000000006,-30.905297900739647,5.667592330133841,66.20671763925735
99a2610cabee,same_sector_pairing (liquidity-ranked),delivery,train,rejected,2021,208,-0.061487801324069453,0.530050249263779,47.57,-0.24311923457877874,-0.00714519602877811,0.2303120082083628,43.5,-41.87378456545887,-4.034918750426042,57.26103164389897
fac149cb6b0b,vol_squeeze_breakout (honest execution),delivery,train,rejected,1725,194,-0.17793070046124138,-0.8215488062965026,21.23,-0.7709266719802603,-0.23168727209592682,0.3436357162279506,14.57,-80.24108314507363,-44.343287355466316,65.51147002110211
423c548cc0d3,"momentum (12-1 month, long-only, honest execution)",primary,train,rejected,4031,143,0.6013887475221125,0.5503609669855355,70.7,-1.073471783893606,0.4194327546556753,1.9474261331942226,49.46,-89.72031944698708,-1.4795065448549194,827.700415921057
0d8f2ac002c2,mean_reversion re-test (honest execution),delivery,train,rejected,6408,203,-0.44072777889089637,2.026903621494545,96.87,-0.03129579042044814,0.7141344105991856,1.5643794708765915,94.45,-22.353384050907668,236.500426302449,1579.2816740956093
c9d3ab9ffc36,oi_momentum (honest execution),delivery,train,rejected,497,129,-1.096952695544231,-2.7652428287203947,0.16,-1.7761360624709617,-1.0821640146544111,-0.3637807912839495,0.02,-91.18833684034725,-78.30718746363847,-45.25736417074735
fc8303956df7,price_action LONG (honest execution),delivery,train,rejected,3389,210,-0.3813636626048663,-1.8652168702972964,6.17,-1.0589981921552882,-0.44957908993842877,0.1266750123434921,4.12,-90.71054545077061,-65.94910851321158,15.693151228263316
0151b95c725e,"momentum (12-1 month, long-only, honest execution)",delivery,train,accepted,1367,49,2.0160188794199825,1.575571745213054,94.26,-0.37438642473631184,1.6893467368978556,3.8302648592062463,89.81,-30.78805922824841,97.77375291091496,470.9945332073417
f68079c5b0b8,pairs_reversion (honest fills + costs),delivery,train,rejected,161,113,0.5280968256949878,0.8468935076677514,56.08,-0.3957050821059638,0.037599567258731155,0.5225260453925368,50.970000000000006,-38.29480891302241,0.6651320750007739,71.42556099703971
ee89fa192a3e,"momentum (12-1 month, long-only, honest execution)",delivery,val,accepted,233,9,6.552057781363316,0.9767347892641696,81.53,-4.455060256046942,6.626922065143991,17.718972392228167,79.24,-36.420787044988124,56.69914651629819,279.463232577939
