label,n_trades,mean_net_pct,win_rate_pct,t_stat,placebo_max,beats_best_placebo,percentile_vs_placebos
UNGATED (baseline),20499,-0.9716821472524911,45.39245816869116,-0.8246089970331484,-0.5701476925210732,False,0.0
BULL-GATED,9556,-1.4660433511440907,42.182921724570946,-2.366354499212819,-0.535566778651766,False,0.0
BEAR-GATED,13134,-0.8127767499477563,47.26663621135983,-0.6142499901204898,-0.5850897285816141,False,0.0
