amfi_code,scheme_name,amc_name,category,period_end,filing_date,average_aum_lakhs
105085,Gold Benchmark Exchange Traded Scheme (Gold BeES),Benchmark Mutual Fund,GOLD ETFs,2008-02-29,2008-03-15,14323.42
101884,Liquid Benchmark Exchange Traded Scheme (Liquid BeES),Benchmark Mutual Fund,Other ETFs,2008-02-29,2008-03-15,20356.71
101325,Nifty Benchmark Exchange Traded Scheme- Nifty BeES,Benchmark Mutual Fund,Other ETFs,2008-02-29,2008-03-15,43125.95
101621,Nifty Junior Benchmark Exchange Traded Scheme (Junior BeES),Benchmark Mutual Fund,Other ETFs,2008-02-29,2008-03-15,2963.15
106858,PSU Bank Benchmark Exchange Traded Scheme (PSU Bank BeES),Benchmark Mutual Fund,Other ETFs,2008-02-29,2008-03-15,30591.96
105067,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND - IDCW,Franklin Templeton Mutual Fund,Other Scheme - Index Funds,2008-02-29,2008-03-15,4151.34
100484,Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth,Franklin Templeton Mutual Fund,Other Scheme - Index Funds,2008-02-29,2008-03-15,5644.23
101281,HDFC BSE Sensex Index Fund - Growth Plan,HDFC Mutual Fund,Other Scheme - Index Funds,2008-02-29,2008-03-15,7423.07
101525,HDFC Nifty 50 Index Fund - Growth Plan,HDFC Mutual Fund,Other Scheme - Index Funds,2008-02-29,2008-03-15,4142.71
101705,ICICI Prudential BSE Sensex ETF,ICICI Prudential Mutual Fund,Other Scheme - Other  ETFs,2008-02-29,2008-03-15,97.56
